name,state,dept_type,url
abbeville police department,alabama,municipal agencies,http://www.cityofabbeville.org/city-services/police/
adamsville police department,alabama,municipal agencies,https://www.aacop.com/index.php?option=com_community&view=profile&userid=32376752
alabama a&m university,alabama,college and university agencies,https://www.aamu.edu/
alabama board of pardons and parole,alabama,state agencies,https://paroles.alabama.gov/
alabama department of conservation and natural resources,alabama,state agencies,https://outdooralabama.com/
alabama department of corrections,alabama,state agencies,http://www.doc.state.al.us/InmateSearch
alabama department of insurance,alabama,state agencies,https://www.aldoi.gov/
alabama department of mental health police,alabama,state agencies,https://mh.alabama.gov/
alabama law enforcement agency,alabama,state agencies,http://www.alea.gov/
alabama national guard,alabama,state agencies,https://al.ng.mil/
alabama securities commission,alabama,state agencies,https://asc.alabama.gov/
alabama state lands security,alabama,state agencies,https://www.outdooralabama.com/about-us/state-lands-division
alabama state parks ranger service,alabama,state agencies,https://www.nps.gov/state/al/index.htm
alabama state port authority police,alabama,state agencies,http://www.asdd.com/
alabama state university,alabama,college and university agencies,https://www.alasu.edu/
alabama wildlife and freshwater fisheries division,alabama,state agencies,https://www.outdooralabama.com/about-us/wildlife-and-freshwater-fisheries-division
alabaster police department,alabama,municipal agencies,https://cityofalabaster.com/253/Police-Department
albertville police department,alabama,municipal agencies,https://www.cityofalbertville.com/government/city-services/police-department
alexander city police department,alabama,municipal agencies,https://alexandercityal.gov/police
aliceville police department,alabama,municipal agencies,https://www.thecityofaliceville.com/about/departments/police-department
altoona police department,alabama,municipal agencies,https://www.ci.altoona.wi.us/police/
andalusia police department,alabama,municipal agencies,http://www.andalusiapolice.com/
anniston police department,alabama,municipal agencies,http://www.annistonal.gov/police/
arab police department,alabama,municipal agencies,https://www.arabcity.org/police-department/
ardmore police department,alabama,municipal agencies,http://www.townofardmorealabama.com/about-us/police-department/
ashford police department,alabama,municipal agencies,http://www.cityofashford.com/Police-Department/
ashville police department,alabama,municipal agencies,http://www.cityofashville.org/Default.asp?ID=49&pg=Police+Department
athens police department,alabama,municipal agencies,https://www.athensalabama.us/206/Police
atmore police department,alabama,municipal agencies,https://welcometoatmore.com/police-department/
attalla police department,alabama,municipal agencies,https://attallacity.com/city-services/departments/police-department
auburn police department,alabama,municipal agencies,https://www.auburnalabama.org/police/
auburn university,alabama,college and university agencies,https://www.auburn.edu/
autauga county sheriff's office,alabama,county agencies,https://www.autaugasheriff.org/roster.php
baldwin county sheriff's office,alabama,county agencies,https://sheriff.baldwincountyal.gov/home
barbour county sheriff's office,alabama,county agencies,https://www.alabamasheriffs.com/county_map/county/3
bay minette police department,alabama,municipal agencies,http://www.cityofbayminette.org/Police-Department
bayou la batre police department,alabama,municipal agencies,http://www.cityofbayoulabatre.com/staff_directory/police_department.php
bessemer police department,alabama,municipal agencies,https://www.bessemeral.org/police-department/
bibb county sheriff's department,alabama,county agencies,http://bibbcosoal.org/
birmingham police department,alabama,municipal agencies,https://police.birminghamal.gov/
birmingham southern college,alabama,college and university agencies,https://www.bsc.edu/
blount county sheriff's office,alabama,county agencies,https://www.blountalsheriff.org/
blountsville police department,alabama,municipal agencies,https://www.blountsvilleal.com/departments/police/index.html
boaz police department,alabama,municipal agencies,https://www.cityofboaz.org/149/Police
brantley police department,alabama,municipal agencies,https://www.aacop.com/index.php?option=com_community&view=profile&userid=14065683
brewton police department,alabama,municipal agencies,https://www.cityofbrewton.org/
bridgeport police department,alabama,municipal agencies,https://www.usacops.com/al/p35740/index.html
brookwood police department,alabama,municipal agencies,http://www.brookwoodalabama.com/
brundidge police department,alabama,municipal agencies,https://brundidge.org/
bullock county sheriff's office,alabama,county agencies,https://alabamasheriffs.com/county_map/county/6
bureau of special investigations,alabama,state agencies,http://www.alea.gov/sbi
butler county sheriff's office,alabama,county agencies,https://www.alabamasheriffs.com/county_map/county/7
calera police department,alabama,municipal agencies,https://www.cityofcalera.org/104/Police
calhoun community college police department,alabama,college and university agencies,https://calhoun.edu/group/public-safety/
calhoun county sheriff's department,alabama,county agencies,https://www.calcoso.org/
camp hill police department,alabama,municipal agencies,https://www.wsfa.com/2020/03/27/camp-hill-homicide-suspect-surrenders-after-seeing-media-report/
centerville police department,alabama,municipal agencies,https://cityofcentreville.com/police-department/
centre police department,alabama,municipal agencies,https://www.cityofcentre.com/police-dept/
centreville police department,alabama,municipal agencies,https://cityofcentreville.com/police-department/
chambers county sheriff's office,alabama,county agencies,https://www.chamberscountyal.gov/departments/sheriffs-department
chatom police department,alabama,municipal agencies,https://chatom.org/dept/
cherokee county sheriff's department,alabama,county agencies,https://www.cherokeecountyalsheriff.com/roster-choose
cherokee police department,alabama,municipal agencies,https://www.welcometocherokeeal.org/town-government/
childersburg police department,alabama,municipal agencies,http://www.childersburg.org/policedepartment.shtml
chilton county sheriff's department,alabama,county agencies,http://www.chiltoncountyso.org/
