name,state,dept_type,url
adak police department,alaska,city agencies,https://adak-ak.us/
akiachak police department,alaska,city agencies,https://www.cityofbethel.org/police
akiak police department,alaska,city agencies,https://dps.alaska.gov/AST/VPSO/OrgPages/AVCP
alaska alcohol and marijuana control office,alaska,state agencies,https://www.commerce.alaska.gov/web/amco/
alaska commercial vehicle enforcement,alaska,state agencies,http://dot.alaska.gov/mscve/index.cfm?go=mscve.main
alaska court services officers,alaska,state agencies,https://dps.alaska.gov/AST/Recruit/JS
alaska department of corrections,alaska,state agencies,https://doc.alaska.gov/
alaska department of environmental conservation,alaska,state agencies,https://dec.alaska.gov/
alaska department of public safety,alaska,state agencies,https://dps.alaska.gov/Home
alaska railroad corporation police department,alaska,other agencies,https://www.alaskarailroad.com/corporate/safety
alaska state crime lab,alaska,state agencies,https://dps.alaska.gov/Comm/CrimeLab/Home
alaska state fire marshal's office,alaska,state agencies,https://dps.alaska.gov/fire/
alaska state park rangers,alaska,state agencies,http://dnr.alaska.gov/parks/vip/vvi.htm
alaska state parks,alaska,state agencies,http://dnr.alaska.gov/parks/
alaska state troopers,alaska,state agencies,https://dps.alaska.gov/AST/Home
anchorage police department,alaska,city agencies,http://www.muni.org/departments/police
angoon public safety department,alaska,city agencies,https://dps.alaska.gov/AST/VPSO/OrgPages/CCTHITA
bethel police department,alaska,city agencies,https://www.cityofbethel.org/police
bristol bay borough police department,alaska,borough agencies,http://www.bristolbayboroughak.us/adminstration/police/index.php
chignik bay department of public safety,alaska,city agencies,https://dps.alaska.gov/ast/vpso/orgpages/bbna
cordova police department,alaska,city agencies,https://www.cityofcordova.net/government/public-safety/police
craig police department,alaska,city agencies,https://www.craigak.com/police
dillingham police department,alaska,city agencies,https://www.dillinghamak.us/?SEC=5FECA510-ADDE-4B03-B8ED-AC126F9540C6
fairbanks international airport police and fire department,alaska,state agencies,http://dot.alaska.gov/faiiap/police-fire/
fairbanks police department,alaska,city agencies,https://www.fairbanksalaska.us/police
fort yukon police department,alaska,city agencies,https://dps.alaska.gov/getmedia/3a52868b-2245-441c-ab1c-f7f0fc943da5/Fort-Yukon-Police-Officer
galena police department,alaska,city agencies,https://www.ci.galena.ak.us/?SEC=EAAAD67F-2D31-4BC7-B6F9-0013EC2B3297
haines police department,alaska,city agencies,https://www.hainesalaska.gov/police
homer police department,alaska,city agencies,https://www.cityofhomer-ak.gov/police
