name,state,dept_type,url
agency support division,arizona,state agencies,https://www.azdps.gov/organization/asd
ak-chin police department,arizona,tribal agencies,https://www.ak-chin.nsn.us/
apache county sheriff's office,arizona,county agencies,https://www.co.apache.az.us/sheriff/
apache junction police department,arizona,municipal agencies,https://www.ajcity.net/112/Police-Department
arizona commercial vehicle enforcement,arizona,state agencies,https://www.azdps.gov/organization/hpd/cve
arizona counter terrorism information center,arizona,state agencies,https://azactic.gov/
arizona department of corrections,arizona,state agencies,https://corrections.az.gov/public-resources/inmate-datasearch
arizona department of economic security,arizona,state agencies,https://des.az.gov/
arizona department of homeland security,arizona,state agencies,https://azdohs.gov/
arizona department of public safety,arizona,state agencies,https://www.azdps.gov/
arizona department of revenue criminal investigations unit,arizona,state agencies,https://azdor.gov/contact-us/report-tax-fraud
arizona department of transportation,arizona,state agencies,https://azdot.gov/
arizona division of emergency management,arizona,state agencies,https://dema.az.gov/
arizona game and fish department,arizona,state agencies,https://www.azgfd.com/
arizona gang task force,arizona,regional agencies,https://www.azdps.gov/about/programs/giitem
arizona highway patrol,arizona,state agencies,https://www.azdps.gov/organization/hpd
arizona office of inspector general,arizona,state agencies,https://azdot.gov/motor-vehicles/enforcement/office-inspector-general
arizona rangers,arizona,state agencies,https://azrangers.gov/
arizona state capitol police,arizona,state agencies,https://www.azdps.gov/
arizona state park ranger police,arizona,state agencies,https://azstateparks.com/employment/
arizona state university police department,arizona,school/college agencies,https://cfo.asu.edu/police
arizona western college police,arizona,school/college agencies,https://www.azwestern.edu/student-support/campus-police
avondale police department,arizona,municipal agencies,https://www.avondaleaz.gov/government/departments/police
benson police department,arizona,municipal agencies,https://www.cityofbenson.com/?SEC=09D2BBB8-0255-4B1D-AC11-D867E7CAE5E3
bisbee police department,arizona,municipal agencies,https://www.bisbeeaz.gov/2162/Police
buckeye police department,arizona,municipal agencies,https://www.buckeyeaz.gov/police/
bullhead city police department,arizona,municipal agencies,https://www.bullheadcity.com/community/police
bureau of indian affairs,arizona,federal agencies,https://www.bia.gov/regional-offices/western
camp verde marshal's office,arizona,municipal agencies,http://www.campverde.az.gov/government/marshals-office/
capitol police department,arizona,municipal agencies,https://www.azdps.gov/
casa grande police department,arizona,municipal agencies,https://casagrandeaz.gov/police/
central arizona college police department,arizona,school/college agencies,https://centralaz.edu/contact-us/cac-police-department/
chandler police department,arizona,municipal agencies,https://www.chandlerpd.com/
chinle school district police,arizona,school/college agencies,https://www.chinleusd.k12.az.us/
chino valley police department,arizona,municipal agencies,https://www.chinoaz.net/149/Police-Department
clarkdale police department,arizona,municipal agencies,https://www.clarkdale.az.gov/your_government/police/index.php
clifton police department,arizona,municipal agencies,https://cliftonaz.com/police-dept
cochise county sheriff's office,arizona,county agencies,https://www.cochise.az.gov/sheriff/home
coconino county sheriff's office,arizona,county agencies,https://www.coconino.az.gov/325/Sheriffs-Office
cocopah tribal police,arizona,tribal agencies,https://www.cocopah.com/departments.html
colorado city marshal's office,arizona,municipal agencies,http://www.tocc.us/
colorado river tribal police,arizona,tribal agencies,https://www.crit-nsn.gov/critpolice/
coolidge police department,arizona,municipal agencies,https://www.coolidgeaz.com/?SEC=67BEEB86-EBBF-4FF6-BC45-F01DD17088DF
cottonwood police department,arizona,municipal agencies,https://cottonwoodaz.gov/328/Police-Department
criminal investigations division,arizona,state agencies,https://www.azdps.gov/organization/cid
douglas police department,arizona,municipal agencies,https://www.douglasaz.gov/255/Police-Department
eagar police department,arizona,municipal agencies,https://www.eagaraz.gov/departments/fire-department
eastern arizona college police department,arizona,school/college agencies,https://www.eac.edu/About_EAC/Consumer_Information/Safety.shtm
east valley dui task force,arizona,regional agencies,https://www.azdps.gov/organization/hpd/dui
el mirage police department,arizona,municipal agencies,https://www.elmirageaz.gov/322/Police-Department
eloy police department,arizona,municipal agencies,https://www.eloyaz.gov/175/Police-Department
enforcement and compliance division,arizona,state agencies,https://azdot.gov/motor-vehicles/enforcement
flagstaff police department,arizona,municipal agencies,https://www.flagstaff.az.gov/422/Police-Department
florence police department,arizona,municipal agencies,http://www.florenceaz.gov/police/
fort mcdowell yavapai nation police department,arizona,tribal agencies,https://www.fmyn.org/departments/police-department/
fredonia marshal's office,arizona,municipal agencies,http://www.fredoniaaz.net/Departments/PoliceDepartment.aspx
gila county sheriff's office,arizona,county agencies,https://www.gilacountyaz.gov/government/sheriff/index.php
gila river indian community police department,arizona,tribal agencies,http://www.gricsafety.org/gila-river-police-department
gilbert police department,arizona,municipal agencies,https://www.gilbertaz.gov/departments/police
glendale park rangers,arizona,municipal agencies,https://www.glendaleaz.com/play/parks_and_recreation/park_rangers
glendale police department,arizona,municipal agencies,https://www.glendaleaz.com/live/city_services/public_safety/police_department
globe police department,arizona,municipal agencies,http://www.globeaz.gov/departments/police
goodyear police department,arizona,municipal agencies,https://www.goodyearaz.gov/government/departments-divisions-a-z/police-department
graham county sheriff's office,arizona,county agencies,https://www.graham.az.gov/224/Sheriff
greenlee county sheriff's office,arizona,county agencies,https://www.co.greenlee.az.us/elected-officials/sheriff
hayden police department,arizona,municipal agencies,http://www.townofhaydenaz.gov/
holbrook police department,arizona,municipal agencies,http://www.ci.holbrook.az.us/police/4593679935
hoover dam police department,arizona,federal agencies,https://www.usbr.gov/lc/hooverdam/police/aboutus.html
