name,state,dept_type,url
adelanto police department,california,municipal agencies,https://www.ci.adelanto.ca.us/
alameda county,california,county agencies,https://www.acgov.org/
alameda county probation department,california,county agencies,https://probation.acgov.org/index.page
alameda county sheriff's office,california,county agencies,https://www.alamedacountysheriff.org/
alameda police department,california,municipal agencies,https://www.alamedaca.gov/Departments/Police-Department
alhambra police department,california,municipal agencies,https://www.cityofalhambra.org/departments/police-department
allan hancock community college police department,california,college and university agencies,https://www.hancockcollege.edu/police/index.php?locale=en
alpine county sheriff's office,california,county agencies,https://www.alpinecountyca.gov/index.aspx?NID=204
amador county sheriff's office,california,county agencies,https://www.amadorsheriff.org/
anaheim police department,california,municipal agencies,https://www.anaheim.net/171/Police-Department
antelope valley college district police,california,college and university agencies,http://www.avc.edu/administration/police
antioch police department,california,municipal agencies,https://www.antiochca.gov/police/
apple valley unified school district police department,california,school agencies,https://www.avusd.org/departments/district-police
arcadia police department,california,municipal agencies,https://www.arcadiaca.gov/protect/police_department/index.php
arcata police department,california,municipal agencies,https://www.cityofarcata.org/206/Police
arvin police department,california,municipal agencies,https://www.arvin.org/government/police/
atascadero police department,california,municipal agencies,https://www.atascadero.org/index.php?option=com_content&view=article&id=620&Itemid=475
atherton police department,california,municipal agencies,https://www.ci.atherton.ca.us/489/Police
auburn police department,california,municipal agencies,https://www.auburn.ca.gov/168/Police
azusa pacific university campus safety,california,college and university agencies,https://www.apu.edu/campussafety/
azusa police department,california,municipal agencies,https://azusapd.org/
bakersfield police department,california,municipal agencies,https://bakersfieldcity.us/gov/depts/police/default.htm
baldwin park police department,california,municipal agencies,https://www.baldwinparkpolice.com/
baldwin park unified school district police department,california,school agencies,https://www.bpusd.net/apps/pages/index.jsp?uREC_ID=887796&type=d&pREC_ID=1243211
banning police department,california,municipal agencies,http://www.banning.ca.us/17/Banning-Police-Department
barstow police department,california,municipal agencies,https://www.barstowca.org/departments/police
bay area rapid transit police department,california,special district agencies,https://www.bart.gov/about/police
bear valley police department (bear valley community services district),california,special district agencies,https://www.bvcsd.com/
beaumont police department,california,municipal agencies,http://beaumontpd.org/
bell gardens police department,california,municipal agencies,https://www.bellgardens.org/government/public-safety/police-department
bell police department,california,municipal agencies,http://www.cityofbell.org/?navid=106
belmont police department,california,municipal agencies,https://www.belmont.gov/departments/police
benicia police department,california,municipal agencies,https://www.ci.benicia.ca.us/police
berkeley police department,california,municipal agencies,https://www.cityofberkeley.info/police/
bethel island municipal improvement district (bimid),california,special district agencies,https://bimid.com/
beverly hills police department,california,municipal agencies,http://www.beverlyhills.org/departments/policedepartment
bishop police department,california,municipal agencies,https://www.cityofbishop.com/departments/police/
blythe police department,california,municipal agencies,https://www.cityofblythe.ca.gov/Directory.aspx?did=73
brawley police department,california,municipal agencies,http://www.brawley-ca.gov/section/Police-Department
brea police department,california,municipal agencies,http://www.cityofbrea.net/336/Police-Services
