name,state,dept_type,url
adams county sheriff's office,colorado,county agencies,https://www.adamssheriff.org/
adams state college public safety department,colorado,college and university agencies,https://www.adams.edu/police/
alamosa county sheriff's office,colorado,county agencies,https://alamosacounty.colorado.gov/
alamosa police department,colorado,municipality agencies,https://cityofalamosa.org/departments/police-department/
arapahoe community college campus police department,colorado,college and university agencies,https://www.arapahoe.edu/advising-support/student-support/campus-safety
arapahoe county sheriff's office,colorado,county agencies,https://www.arapahoegov.com/1721/Sheriffs-Office
archuleta county sheriff's office,colorado,county agencies,https://www.archuletacounty.org/95/Sheriff
arvada police department,colorado,municipality agencies,https://arvada.org/residents/police-services/police-services
aspen police department,colorado,municipality agencies,https://cityofaspen.com/404/Police
ault police department,colorado,municipality agencies,https://www.townofault.org/index.asp?SEC=65097D7C-649B-4CCA-AB1A-737222A84211&Type=B_BASIC
auraria campus police department,colorado,college and university agencies,https://www.ahec.edu/services-departments/police
aurora police department,colorado,municipality agencies,https://www.auroragov.org/residents/public_safety/police
avon police department,colorado,municipality agencies,https://www.avon.org/111/Police-Department
baca county sheriff's office,colorado,county agencies,https://www.bacacountyco.gov/departments/sheriffs-office/
bayfield marshal's office,colorado,municipality agencies,http://www.bayfieldmarshalsoffice.com/
bent county sheriff's office,colorado,county agencies,https://bentsheriff.com/inmate-info/
berthoud police department,colorado,municipality agencies,https://www.berthoud.org/residents/public-safety
black hawk police department,colorado,municipality agencies,http://site.cityofblackhawk.org/city-departments/police-department/
boulder county sheriff's office,colorado,county agencies,https://www.bouldercounty.org/safety/sheriff/
boulder police department,colorado,municipality agencies,https://bouldercolorado.gov/police
bow mar police department,colorado,municipality agencies,https://townofbowmar.colorado.gov/
breckenridge police department,colorado,municipality agencies,https://www.townofbreckenridge.com/work/police
brighton police department,colorado,municipality agencies,https://www.brightonco.gov/264/Police-Department
broomfield police department,colorado,municipality agencies,https://www.broomfield.org/296/Police
brush police department,colorado,municipality agencies,https://www.brushpolice.org/
buena vista police department,colorado,municipality agencies,https://buenavistaco.gov/187/Police-Department
burlington police department,colorado,municipality agencies,https://www.burlingtoncolo.com/police
calhan police department,colorado,municipality agencies,https://www.calhan.co/police_fire_rescue/police_department.php
canon city police department,colorado,municipality agencies,https://www.canoncity.org/207/Police-Public-Safety
castle rock police department,colorado,municipality agencies,https://crgov.com/1669/Castle-Rock-Police
cedaredge police department,colorado,municipality agencies,https://www.cedaredgecolorado.com/74/Police-Department
chaffee county sheriff's office,colorado,county agencies,http://chaffeesheriff.org/
cheyenne county sheriff's office,colorado,county agencies,http://www.co.cheyenne.co.us/countydepartments/sheriff.htm
clear creek county sheriff's office,colorado,county agencies,https://www.co.clear-creek.co.us/761/Sheriffs-Office
colorado bureau of investigation,colorado,state agencies,https://www.colorado.gov/cbi
colorado department of corrections,colorado,state agencies,https://www.colorado.gov/cdoc
colorado department of natural resources,colorado,state agencies,https://cdnr.us/
colorado department of public safety,colorado,state agencies,https://www.colorado.gov/publicsafety
colorado division of youth services,colorado,state agencies,https://www.colorado.gov/pacific/cdhs/dys
colorado rangers,colorado,state agencies,https://coloradorangers.org/
colorado springs police department,colorado,municipality agencies,https://coloradosprings.gov/police-department
colorado state patrol,colorado,state agencies,https://www.colorado.gov/csp
colorado state university police department,colorado,college and university agencies,https://police.colostate.edu/
columbine valley police department,colorado,municipality agencies,https://columbinevalley.org/police/
commerce city police department,colorado,municipality agencies,https://www.c3gov.com/living-in/public-safety
conejos county sheriff's office,colorado,county agencies,https://www.conejoscounty.org/departments/elected/sheriff
cortez police department,colorado,municipality agencies,https://www.cityofcortez.com/202/Police
costilla county sheriff's office,colorado,county agencies,https://www.colorado.gov/pacific/costillacounty/sheriff
craig police department,colorado,municipality agencies,http://www.craigpolice.com/
cripple creek police department,colorado,municipality agencies,https://cityofcripplecreek.com/departments/police-department/
crowley county sheriff's office,colorado,county agencies,https://www.colorado.gov/pacific/crowleycounty/sheriff-0
custer county sheriff's office,colorado,county agencies,http://www.custercountygov.com/sheriff.php
dacono police department,colorado,municipality agencies,https://www.cityofdacono.com/187/Police-Department
debeque marshal's department,colorado,municipality agencies,https://www.colorado.gov/pacific/debeque/marshal
delta county sheriff's office,colorado,county agencies,https://www.deltacounty.com/12/Sheriff
delta police department,colorado,municipality agencies,https://cityofdelta.net/police
denver police department,colorado,municipality agencies,https://www.denvergov.org/content/denvergov/en/police-department.html
denver sheriff department,colorado,county agencies,https://www.denvergov.org/content/denvergov/en/sheriff.html
dolores county sheriff's office,colorado,county agencies,http://www.dolorescounty.org/departments-and-contacts/
douglas county sheriff's office,colorado,county agencies,https://www.dcsheriff.net/
durango police department,colorado,municipality agencies,https://co-durango.civicplus.com/police
eagle county sheriff's office,colorado,county agencies,https://www.eaglecounty.us/Sheriff/
edgewater police department,colorado,municipality agencies,https://nextdoor.com/agency-detail/co/edgewater/edgewater-police-department-2/
elbert county sheriff's office,colorado,county agencies,https://www.elbertcounty-co.gov/sheriff/index.php
el paso county coroner's office,colorado,county agencies,https://coroner.elpasoco.com/
el paso county department of human services - fraud & investigations unit,colorado,county agencies,https://humanservices.elpasoco.com/
el paso county district attorney's office - 4th judicial district,colorado,county agencies,http://www.4thjudicialda.com/
el paso county security department,colorado,county agencies,https://www.epcsheriffsoffice.com/sections/detention-bureau/security-division
el paso county sheriff's office,colorado,county agencies,https://www.epcsheriffsoffice.com/
englewood police department,colorado,municipality agencies,https://www.englewoodco.gov/inside-city-hall/city-departments/police-department
erie police department,colorado,municipality agencies,https://www.erieco.gov/246/Police-Department
estes park police department,colorado,municipality agencies,https://estespark.colorado.gov/pd
evans police department,colorado,municipality agencies,https://www.evanscolorado.gov/police
federal heights police department,colorado,municipality agencies,https://www.fedheights.org/?SEC=7E55B1CC-00E0-4A36-B0CE-947858963B67
firestone police department,colorado,municipality agencies,https://www.firestoneco.gov/178/Police
florence police department,colorado,municipality agencies,https://www.colorado.gov/pacific/florencecolorado/police-department-1
fort collins police services,colorado,municipality agencies,https://www.fcgov.com/police/
fort lewis college police department,colorado,college and university agencies,https://www.fortlewis.edu/life-at-flc/health-safety/campus-police-parking/about-us/department
fort morgan police department,colorado,municipality agencies,https://www.cityoffortmorgan.com/231/Police-Department
fountain police department,colorado,municipality agencies,https://www.fountaincolorado.org/government/city_departments___divisions/police
fowler police department,colorado,municipality agencies,https://coloradosun.com/2019/09/23/springfield-colorado-police-department-open-records/
fremont county sheriff's office,colorado,county agencies,https://www.fremontco.com/sheriff/sheriffs-office
fruita police department,colorado,municipality agencies,https://www.fruita.org/police
garfield county sheriff's office,colorado,county agencies,http://www.garcosheriff.com/
gilpin county sheriff's office,colorado,county agencies,https://www.gilpincountysheriff.com/
glendale police department,colorado,municipality agencies,https://www.glendale.co.us/157/Police
glenwood springs police department,colorado,municipality agencies,https://glenwoodpolice.com/
golden police department,colorado,municipality agencies,https://www.cityofgolden.net/government/departments-divisions/police/
grand county sheriff's office,colorado,county agencies,https://www.co.grand.co.us/255/Sheriffs-Office
grand junction police department,colorado,municipality agencies,https://www.gjcity.org/residents/public-safety/police-department/
greeley police department,colorado,municipality agencies,https://greeleypd.com/
green mountain falls marshal's office,colorado,municipality agencies,https://www.colorado.gov/pacific/greenmountainfalls/marshal-0
greenwood village police department,colorado,municipality agencies,https://www.greenwoodvillage.com/1069/Police
gunnison county sheriff's office,colorado,county agencies,https://www.gunnisoncounty.org/160/Sheriffs-Office
gunnison police department,colorado,municipality agencies,https://www.gunnisonco.gov/departments/police/index.php
hinsdale county sheriff's office,colorado,county agencies,https://hinsdalecountysheriff.com/
huerfano county sheriff's office,colorado,county agencies,https://www.huerfano.us/
humane society of the pikes peak region - el paso county,colorado,county agencies,https://www.hsppr.org/
jackson county sheriff's office,colorado,county agencies,https://jacksoncountycogov.com/sheriffs-department/
jefferson county sheriff's office,colorado,county agencies,https://www.jeffco.us/sheriff
johnstown police department,colorado,municipality agencies,http://www.johnstownpolice.org/
kiowa county sheriff's office,colorado,county agencies,http://kiowasheriff.co/
kit carson county sheriff's office,colorado,county agencies,https://kitcarsoncounty.colorado.gov/sheriffs-office
la junta police department,colorado,municipality agencies,https://lajuntacolorado.org/
lake county sheriff's office,colorado,county agencies,http://www.lakecountyco.com/sheriff/
lakeside police department,colorado,municipality agencies,https://lakesidepoliceco.org/
lakewood police department,colorado,municipality agencies,https://www.lakewood.org/Government/Departments/Police
lamar police department,colorado,municipality agencies,https://www.ci.lamar.co.us/?SEC=5A3D6A51-09BF-4111-908A-21619E390A1C
la plata county sheriff's office,colorado,county agencies,https://www.co.laplata.co.us/sheriff.php
larimer county sheriff's office,colorado,county agencies,https://www.larimer.org/sheriff
las animas county sheriff's office,colorado,county agencies,https://www.lasanimascounty.net/departments/elected-officials/sheriff
lincoln county sheriff's office,colorado,county agencies,http://lincolncountyco.us/sheriff/sheriff.html
littleton police department,colorado,municipality agencies,https://www.littletongov.org/police
logan county sheriff's office,colorado,county agencies,http://www.logancosheriff.com/
lone tree police department,colorado,municipality agencies,https://cityoflonetree.com/departments/police-department/
longmont police department,colorado,municipality agencies,https://www.longmontcolorado.gov/departments/departments-n-z/public-safety-department
louisville police department,colorado,municipality agencies,https://www.louisvilleco.gov/residents/police-262
loveland police department,colorado,municipality agencies,http://www.cityofloveland.org/departments/police
mancos marshal's office,colorado,municipality agencies,https://www.usacops.com/co/s81328/
mesa county sheriff's office,colorado,county agencies,https://sheriff.mesacounty.us/
mineral county sheriff's office,colorado,county agencies,https://www.colorado.gov/pacific/mineralcountycolorado/mineral-county-sheriffs-office
montezuma county sheriff's office,colorado,county agencies,http://www.montezumasheriff.org/
montrose county sheriff's office,colorado,county agencies,https://montrosecountysheriffsoffice.com/
monument police department,colorado,municipality agencies,https://www.townofmonument.org/185/Police-Department
morgan county sheriff's office,colorado,county agencies,http://www.morgansheriff.net/
new castle police department,colorado,municipality agencies,https://www.newcastlecolorado.org/police
northglenn police department,colorado,municipality agencies,https://www.northglenn.org/public_safety/police/
nunn police department,colorado,municipality agencies,http://www.nunncolorado.com/police_25.html
olathe police department,colorado,municipality agencies,http://www.townofolathe.org/police-department.html
otero county sheriff's office,colorado,county agencies,https://www.oterogov.com/elected-officials/sheriff
ouray county sheriff's office,colorado,county agencies,https://ouraycountyco.gov/152/Sheriff
park county sheriff's office,colorado,county agencies,https://parkco.us/88/Sheriffs-Office
parker police department,colorado,municipality agencies,https://www.parkerpolice.org/
phillips county sheriff's office,colorado,county agencies,https://pcsheriff.us/
pikes peak community college police department,colorado,college and university agencies,https://www.ppcc.edu/campus-police
pitkin county sheriff's office,colorado,county agencies,https://www.pitkincounty.com/149/Sheriff
prowers county sheriff's office,colorado,county agencies,https://www.prowerscounty.net/departments/sheriff/
pueblo county sheriff's office,colorado,county agencies,https://www.pueblosheriff.com/
pueblo police department,colorado,municipality agencies,https://www.pueblo.us/102/Police-Department
red rocks community college campus police department,colorado,college and university agencies,https://www.rrcc.edu/campus-police/contact
ridgway marshal's office,colorado,municipality agencies,https://ouraycountyco.gov/152/Sheriff
rifle police department,colorado,municipality agencies,https://www.rifleco.org/17/Police-Department
rio blanco county sheriff's office,colorado,county agencies,https://www.rbc.us/297/Sheriffs-Office
rio grande county sheriff's office,colorado,county agencies,https://www.riograndecounty.org/sheriff
rocky ford police department,colorado,municipality agencies,https://www.colorado.gov/pacific/rockyford/rocky-ford-police-department
routt county sheriff's office,colorado,county agencies,http://www.co.routt.co.us/204/Sheriff
saguache county sheriff's office,colorado,county agencies,https://www.saguachecounty.net/index.php/sheriff
salida police department,colorado,municipality agencies,https://cityofsalida.com/departments/police/
san juan county sheriff's office,colorado,county agencies,http://sheriffsjc.com/
san miguel county sheriff's office,colorado,county agencies,https://www.sanmiguelcountyco.gov/201/Sheriff
sedgwick county sheriff's office,colorado,county agencies,https://sedgwickcounty.colorado.gov/
sheridan police department,colorado,municipality agencies,https://www.ci.sheridan.co.us/137/Police-Department
silt police department,colorado,municipality agencies,https://www.townofsilt.org/police_department
silverthorne police department,colorado,municipality agencies,https://www.silverthorne.org/town-services/police-department
steamboat springs police department,colorado,municipality agencies,https://steamboatsprings.net/145/Police-Services
summit county sheriff's office,colorado,county agencies,http://www.co.summit.co.us/109/Sheriffs-Office
teller county district attorney's office - 4th judicial district,colorado,county agencies,http://www.4thjudicialda.com/
teller county sheriff's office,colorado,county agencies,http://www.co.teller.co.us/
thornton police department,colorado,municipality agencies,https://www.thorntonco.gov/public-safety/police-department/Pages/default.aspx
university of colorado anschutz medical campus police department,colorado,college and university agencies,https://www.cuanschutz.edu/police
university of colorado at colorado springs department of public safety,colorado,college and university agencies,https://psi.uccs.edu/
university of colorado denver police department,colorado,college and university agencies,https://www.cuanschutz.edu/police
university of colorado police department,colorado,college and university agencies,https://www.colorado.edu/police/
university of northern colorado police department,colorado,college and university agencies,https://www.unco.edu/police/
walsenburg police department,colorado,municipality agencies,https://koaa.com/news/covering-colorado/2018/09/30/rural-towns-and-counties-struggle-with-law-enforcement-staffing/
washington county sheriff's office,colorado,county agencies,https://www.washcountysheriff.com/
weld county sheriff's office,colorado,county agencies,https://www.weldsheriff.com/
westminster police department,colorado,municipality agencies,https://www.cityofwestminster.us/police
wheat ridge police department,colorado,municipality agencies,https://www.ci.wheatridge.co.us/205/Police-Department
windsor police department,colorado,municipality agencies,https://www.windsorpd.com/
wray police department,colorado,municipality agencies,https://www.cityofwray.org/152/Police-Department
yuma county sheriff's office,colorado,county agencies,http://yumacountysheriff.net/
yuma police department,colorado,municipality agencies,https://www.colorado.gov/pacific/cityofyuma/police-department-8
