name,state,dept_type,url
ansonia police department,connecticut,city and town agencies,https://www.cityofansonia.com/content/8132/8142/8174/default.aspx
aquarion water company police,connecticut,security police agencies,https://www.cga.ct.gov/2016/rpt/pdf/2016-R-0275.pdf
avon police department,connecticut,city and town agencies,https://www.avonct.gov/police-department
berlin police department,connecticut,city and town agencies,https://www.town.berlin.ct.us/police/
bethel police department,connecticut,city and town agencies,http://www.bethelpd.com/
bloomfield police department,connecticut,city and town agencies,https://www.bloomfieldct.gov/police
branford police department,connecticut,city and town agencies,https://www.branford-ct.gov/departments/police-department
bridgeport park police department,connecticut,city and town agencies,https://www.bridgeportct.gov/police
bridgeport police department,connecticut,city and town agencies,https://www.bridgeportct.gov/police
bristol police department,connecticut,city and town agencies,http://www.ci.bristol.ct.us/200/Police-Department
brookfield police department,connecticut,city and town agencies,https://www.brookfieldct.gov/police/pages/staff-directory
canton police department,connecticut,city and town agencies,http://www.townofcantonct.org/police-department
central connecticut state university police department,connecticut,college and university agencies,https://www.ccsu.edu/police/
cheshire police department,connecticut,city and town agencies,https://www.cheshirect.org/police-services/
clinton police department,connecticut,city and town agencies,https://clintonct.org/167/Police-Department
connecticut airport police,connecticut,state agencies,https://patch.com/connecticut/windsorlocks/country-music-star-arrested-bradley-airport-police
connecticut capitol police,connecticut,state agencies,https://www.cga.ct.gov/cop/
connecticut department of correction,connecticut,state agencies,https://portal.ct.gov/DOC
connecticut department of mental health and addiction services police,connecticut,state agencies,https://portal.ct.gov/DMHAS/Divisions/Safety-Services/DSS--Public-Safety-Police
connecticut department of public works police,connecticut,state agencies,http://www.hartford.gov/dpw
connecticut judicial marshal,connecticut,state agencies,https://www.jud.ct.gov/external/news/jobs/marshals.htm
connecticut state environmental conservation police,connecticut,state agencies,https://portal.ct.gov/DEEP/Environmental-Conservation-Police/Environmental-Conservation-Police-Officers
connecticut state marshal,connecticut,state agencies,https://www.jud.ct.gov/faq/marshals.htm
connecticut state police,connecticut,state agencies,https://portal.ct.gov/DESPP/Division-of-State-Police/Home
coventry police department,connecticut,city and town agencies,https://www.coventryct.org/130/Police-Department
cromwell police department,connecticut,city and town agencies,https://www.cromwellct.com/police-department
danbury police department,connecticut,city and town agencies,https://www.danbury-ct.gov/government/departments/police-department/
darien police department,connecticut,city and town agencies,http://www.darienpolice.org/
derby police department,connecticut,city and town agencies,https://www.policeapp.com/Derby-CT-Police-Department/245/
eastern connecticut state university police department,connecticut,college and university agencies,https://www.easternct.edu/police/index.html
east hampton police department,connecticut,city and town agencies,https://www.easthamptonct.gov/police-department
east hartford police department,connecticut,city and town agencies,https://www.easthartfordct.gov/police-department
east haven police department,connecticut,city and town agencies,https://www.easthavenpolice.com/
east lyme police department,connecticut,city and town agencies,https://eltownhall.com/government/departments/police/
easton police department,connecticut,city and town agencies,https://www.eastonct.gov/police
east windsor police department,connecticut,city and town agencies,https://eastwindsorpd.net/
enfield police department,connecticut,city and town agencies,https://www.enfield-ct.gov/181/Police
fairfield police department,connecticut,city and town agencies,https://www.fpdct.com/
farmington police department,connecticut,city and town agencies,https://www.farmington-ct.org/departments/police-department
glastonbury police department,connecticut,city and town agencies,https://www.glastonbury-ct.gov/departments/department-directory-l-z/police
granby police department,connecticut,city and town agencies,https://www.granby-ct.gov/police-department
greenwich police department,connecticut,city and town agencies,https://www.greenwichct.gov/345/Police
groton city police department,connecticut,city and town agencies,https://cityofgroton.com/government-services/departments/city-of-groton-police/
groton long point police department,connecticut,city and town agencies,https://www.glpct.org/police.php
groton town police department,connecticut,city and town agencies,http://www.groton-ct.gov/depts/police/
guilford police department,connecticut,city and town agencies,https://guilfordpd.com/
hamden police department,connecticut,city and town agencies,http://www.hamdenpd.com/
hartford police department,connecticut,city and town agencies,http://www.hartford.gov/police
madison department of police services,connecticut,city and town agencies,https://www.madisonct.org/197/Police-Department
manchester community college police department,connecticut,college and university agencies,https://www.manchestercc.edu/offices/administrative-affairs/police/
manchester police department,connecticut,city and town agencies,http://www.manchesterpolice.org/
mansfield police department,connecticut,city and town agencies,https://www.mansfieldct.gov/255/Police
mashantucket pequot police department,connecticut,tribal police agencies,https://www.mptn-nsn.gov/TribalPoliceDept.aspx
meriden police department,connecticut,city and town agencies,https://www.meridenct.gov/city-services/police/
metropolitan district commission police,connecticut,security police agencies,https://www.policeapp.com/CT-Metropolitan-District-Commission-Police-Department/327/
metropolitan transportation authority police,connecticut,security police agencies,https://new.mta.info/agency/mta-police
middlebury police department,connecticut,city and town agencies,http://www.middleburypolice-ct.org/
middletown police department,connecticut,city and town agencies,http://www.cityofmiddletown.com/232/Police
milford police department,connecticut,city and town agencies,https://www.ci.milford.ct.us/police-department
mohegan tribal police,connecticut,tribal police agencies,http://police.mohegan.nsn.us/
monroe police department,connecticut,city and town agencies,http://www.monroect.org/monroepd
montville police department,connecticut,city and town agencies,https://www.townofmontville.org/department-services/police-department/
naugatuck police department,connecticut,city and town agencies,http://naugatuckpd.org/
new britain police department,connecticut,city and town agencies,http://www.newbritainpolice.org/
new canaan police department,connecticut,city and town agencies,http://newcanaanpolice.org/
new haven police department,connecticut,city and town agencies,https://www.newhavenct.gov/gov/depts/nhpd/
newington police department,connecticut,city and town agencies,https://www.newingtonct.gov/2427/Police
new london police department,connecticut,city and town agencies,http://www.ci.new-london.ct.us/0
new milford police department,connecticut,city and town agencies,http://www.newmilfordpolice.org/
newtown police department,connecticut,city and town agencies,https://www.newtown-ct.gov/newtown-police-department
north branford police department,connecticut,city and town agencies,http://www.townofnorthbranfordct.com/
north haven police department,connecticut,city and town agencies,http://northhavenpd.com/
