name,state,dept_type,url
alfred i. dupont hospital for children,delaware,other agencies,https://www.nemours.org/locations/wilmington-ai-dupont-childrens-hospital.html
bayhealth medical center constable,delaware,other agencies,https://www.bayhealth.org/careers
bethany beach police department,delaware,municipal agencies,https://www.townofbethanybeach.com/95/Police-Department
blades police department,delaware,municipal agencies,https://blades.delaware.gov/police-department/
bridgeville police department,delaware,municipal agencies,https://bridgeville.delaware.gov/police-department/
camden police department,delaware,municipal agencies,https://camden.delaware.gov/tag/camden-police-department/
cheswold police department,delaware,municipal agencies,https://cheswold.delaware.gov/police-department/
christiana care health system constable,delaware,other agencies,https://careers.christianacare.org/
clayton police department,delaware,municipal agencies,http://clayton.delaware.gov/page/public-safety
dagsboro police department,delaware,municipal agencies,https://dagsboro.delaware.gov/police-department/
delaware capitol police,delaware,state agencies,https://capitolpd.delaware.gov/
delaware city police department,delaware,municipal agencies,https://delawarecity.delaware.gov/police-department/
delaware department of correction,delaware,state agencies,https://doc.delaware.gov/
delaware department of justice,delaware,state agencies,https://attorneygeneral.delaware.gov/
delaware department of natural resources and environmental control,delaware,state agencies,https://dnrec.alpha.delaware.gov/
delaware division of alcohol and tobacco enforcement,delaware,state agencies,https://date.delaware.gov/
delaware metropolitan transit authority constable and public safety,delaware,other agencies,https://en.wikipedia.org/wiki/List_of_law_enforcement_agencies_in_Delaware
delaware office of the fire marshal,delaware,state agencies,https://statefiremarshal.delaware.gov/
delaware river and bay authority police,delaware,other agencies,http://www.drba.net/police/
delaware spca law enforcement,delaware,other agencies,https://en.wikipedia.org/wiki/Delaware_SPCA_Law_Enforcement
delaware state police,delaware,state agencies,https://dsp.delaware.gov/
delaware state probation and parole,delaware,state agencies,https://delawarestatejobs.com/careers/corrections/probation-parole/index.shtml
delaware state university,delaware,university agencies,https://www.desu.edu/
delaware technical community college public safety department,delaware,university agencies,https://www.dtcc.edu/about/public-safety
delmar police department,delaware,municipal agencies,https://www.delmarpolice.com/
dewey beach police department,delaware,municipal agencies,http://police.deweytown.us/
dover air force base,delaware,other agencies,https://www.dover.af.mil/
dover police department,delaware,municipal agencies,https://doverpolice.org/
ellendale police department,delaware,municipal agencies,https://ellendale.delaware.gov/police-department/
elsmere police department,delaware,municipal agencies,https://cityofelsmere.com/elsmere-police-department/
environmental protection officers,delaware,state agencies,https://dnrec.alpha.delaware.gov/
felton police department,delaware,municipal agencies,https://felton.delaware.gov/police/
fenwick island police department,delaware,municipal agencies,https://fenwickisland.delaware.gov/about-the-fenwick-island-pd/
fish & wildlife natural resources police officers,delaware,state agencies,http://www.fw.delaware.gov/Pages/Enforcement.aspx
frederica police department,delaware,municipal agencies,https://frederica.delaware.gov/police-department/
georgetown police department,delaware,municipal agencies,http://www.georgetowndel.com/Ralph-Holm-4939/
greenwood police department,delaware,municipal agencies,https://greenwood.delaware.gov/police-dept/
harrington police department,delaware,municipal agencies,https://harrington.delaware.gov/police-department/
justice of the peace constables,delaware,other agencies,https://courts.delaware.gov/jpcourt/constablesales.aspx
kenton police department,delaware,municipal agencies,https://kenton.delaware.gov/about-the-kenton-police-department/
laurel police department,delaware,municipal agencies,https://www.townoflaurel.net/police.htm
lewes police department,delaware,municipal agencies,https://www.ci.lewes.de.us/150/Police-Department
middletown police department,delaware,municipal agencies,https://police.middletown.delaware.gov/
milford police department,delaware,municipal agencies,https://milfordpolicede.org/
millsboro police department,delaware,municipal agencies,https://www.millsboropd.com/
milton police department,delaware,municipal agencies,https://milton.delaware.gov/police-overview/
newark police department,delaware,municipal agencies,https://newarkde.gov/17/Police
new castle county police department,delaware,county agencies,https://www.nccde.org/238/Police
new castle police department,delaware,municipal agencies,https://www.nccde.org/238/Police
newport police department,delaware,municipal agencies,https://newport.delaware.gov/police-department/
ocean view police department,delaware,municipal agencies,http://www.oceanviewde.com/Police-Department/
office of the united states marshal for the district of delaware,delaware,other agencies,https://www.usmarshals.gov/district/de/general/marshal.htm
parks & recreation natural resources police officers,delaware,state agencies,https://dnrec.alpha.delaware.gov/tip-411/
port of wilmington harbor police department,delaware,other agencies,https://en.wikipedia.org/wiki/List_of_law_enforcement_agencies_in_Delaware
recovery response center constable,delaware,other agencies,https://www.usacops.com/de/p19941/index.html
rehoboth beach police department,delaware,municipal agencies,https://www.cityofrehoboth.com/government/departments/police
seaford police department,delaware,municipal agencies,http://www.seafordde.com/index.cfm?ref=48100
selbyville police department,delaware,municipal agencies,https://selbyville.delaware.gov/about-selbyville-pd/
smyrna police department,delaware,municipal agencies,https://smyrnapolice.org/
south bethany police department,delaware,municipal agencies,https://southbethany.delaware.gov/police-department/
special investigators,delaware,state agencies,https://dsp.delaware.gov/private-investigators/
state detectives,delaware,state agencies,https://dsp.delaware.gov/private-investigators/
tower hill school constable,delaware,other agencies,https://www.towerhill.org/
united states department of veterans affairs police,delaware,other agencies,https://www.wilmington.va.gov/features/WVAMC.asp
university of delaware department of public safety,delaware,university agencies,https://www1.udel.edu/police/
university of delaware police department,delaware,university agencies,https://www1.udel.edu/police/
wilmington police department,delaware,municipal agencies,https://www.wilmingtonde.gov/government/city-departments/department-of-police
wilmington university,delaware,university agencies,https://www.wilmu.edu/
wyoming police department,delaware,municipal agencies,https://wyoming.delaware.gov/police-department/
