name,state,dept_type,url
"administrative office of the united states courts, office of probation and pretrial services",florida,federal agencies,https://www.uscourts.gov/careers/search-judiciary-jobs
alachua county department of court services,florida,county agencies,https://www.alachuacounty.us/depts/courtservices/
alachua county public schools' office of safety and security,florida,school district agencies,https://www.sbac.edu/Page/28986
alachua county sheriff's office,florida,county agencies,https://acso.us/
alachua police department,florida,city agencies,http://cityofalachua.com/index.php/police-department
altamonte springs police department,florida,city agencies,https://www.altamonte.org/421/Police-Department
altha police department,florida,city agencies,https://www.fdle.state.fl.us/CJSTC/Documents/Agency-Addresses/Police-Department-Directory.aspx
amtrak police department,florida,federal agencies,https://jobs.amtrak.com/go/Amtrak-Police-Department-Jobs/400408/
anna maria police department,florida,disbanded agencies,http://www.cityofannamaria.com/departments/law_enforcement_(mcso)/index.php
apalachicola police department,florida,city agencies,http://www.apalachicolapolice.com/
apopka police department,florida,city agencies,https://www.apopka.net/545/Welcome
arcadia police department,florida,city agencies,https://arcadia-fl.gov/departments/police/
astatula police department,florida,city agencies,http://townofastatula.com/docs/police-department/
atlantic beach police department,florida,city agencies,https://coab.us/25/Police
atlantis police department,florida,city agencies,https://www.atlantisfl.gov/165/Police
auburndale police department,florida,city agencies,http://www.auburndalefl.com/apd-home/
aventura police department,florida,city agencies,https://www.cityofaventura.com/240/Police
avon park police department,florida,disbanded agencies,http://www.avonpark.cc/departments/public_safety/law_enforcement.php
baker county sheriff's office,florida,county agencies,http://www.bakersheriff.org/
baldwin police department,florida,disbanded agencies,"https://en.wikipedia.org/wiki/Baldwin,_Florida"
bal harbour village police department,florida,city agencies,https://www.balharbourfl.gov/police
bartow police department,florida,city agencies,https://www.baynews9.com/fl/tampa/news/2020/02/28/bartow-police-officer-retires-amid-allegations-he-used-racial-slur
bay correctional facility,florida,private corrections,http://www.dc.state.fl.us/ci/112.html
bay county sheriff's office,florida,county agencies,http://www.bayso.org/
bay district schools department of safety & security,florida,school district agencies,http://www.bay.k12.fl.us/safety-security
bay harbor islands police department,florida,city agencies,https://www.bayharborislands-fl.gov/264/Pursuing-Excellence
bellaire police department,florida,city agencies,https://www.townofbelleair.com/428/Police
belle glade police department,florida,disbanded agencies,https://www.pbso.org/our-communities/western-regional-bureau/d13/
belle isle police department,florida,city agencies,https://www.cityofbelleislefl.org/police-department
belleview police department,florida,city agencies,https://www.belleviewfl.org/180/Police
biscayne park police department,florida,city agencies,https://www.biscayneparkfl.gov/?SEC=D4C91E1B-FFB7-4A0B-87C1-91B1202C36D5
blackwater river correctional facility,florida,private corrections,http://www.dc.state.fl.us/ci/185.html
blountstown police department,florida,city agencies,http://www.blountstownpd.com/
boca raton police department,florida,city agencies,https://myboca.us/178/Police-Services
bonifay police department,florida,city agencies,https://www.bonifaypolice.com/
bowling green police department,florida,city agencies,http://bowlinggreenfl.org/city-departments/police-department/
boynton beach police department,florida,city agencies,https://bbpd.org/
bradenton beach police department,florida,city agencies,https://bradentonpd.com/
bradenton police department,florida,city agencies,https://bradentonpd.com/
bradford county sheriff's office,florida,county agencies,http://www.bradfordsheriff.org/
brevard county schools office of district and school security,florida,school district agencies,https://www.brevardschools.org/Page/2327
brevard county sheriff's office,florida,county agencies,https://www.brevardsheriff.com/home/
bridges international,florida,private corrections,https://www.bridgesofamerica.com/
brooksville police department,florida,disbanded agencies,https://www.tampabay.com/news/publicsafety/Brooksville-Police-Department-closing-its-doors-Hernando-sheriff-promises-community-quality-service_168253256/
broward county public schools special investigative unit,florida,school district agencies,https://www.browardschools.com/Page/35279
broward county sheriff's office,florida,county agencies,https://www.sheriff.org/
bunnell police department,florida,city agencies,https://www.bunnellcity.us/police
"bureau of alcohol, tobacco, firearms and explosives",florida,federal agencies,https://www.atf.gov/tampa-field-division
bureau of fire and arson investigation,florida,state agencies,https://www.myfloridacfo.com/Division/DIFS/BFAI/
bureau of forensic services,florida,state agencies,https://www.myfloridacfo.com/Division/DIFS/BFFEA/
"bureau of industry and security, office of export enforcement",florida,federal agencies,https://www.bis.doc.gov/index.php/enforcement/oee/investigations
bureau of insurance fraud,florida,state agencies,https://www.myfloridacfo.com/division/DIFS/Offices/
bureau of worker's compensation fraud,florida,state agencies,https://www.myfloridacfo.com/Division/DIFS/WCFraud/
bushnell police department,florida,disbanded agencies,https://www.cityofbushnellfl.com/departments/police_department/index.php
calhoun county probation office,florida,county agencies,https://www.countyoffice.org/calhoun-county-probation-department-blountstown-fl-c4c/
calhoun county sheriff's office,florida,county agencies,https://www.calhounsheriff.com/
callahan police department,florida,disbanded agencies,https://www.townofcallahan-fl.gov/
cape canaveral police department,florida,disbanded agencies,https://www.cityofcapecanaveral.org/
cape coral police department,florida,city agencies,https://www.capecops.com/
carabelle police department,florida,city agencies,http://www.carrabellepolice.com/
casselberry police department,florida,city agencies,https://www.casselberry.org/17/Police
cedar key police department,florida,city agencies,http://cedarkey.org/
center hill police department,florida,city agencies,https://sumtercountyfl.gov/544/City-of-Center-Hill
charlotte county probation department,florida,county agencies,https://www.ca.cjis20.org/home/main/probation.asp?County=charlotte
charlotte county sheriff's office,florida,county agencies,https://www.ccso.org/
chattahoochee police department,florida,city agencies,https://chattgov.org/departments/
chiefland police department,florida,city agencies,https://chieflandpd.com/
chipley police department,florida,city agencies,https://www.cityofchipley.com/183/Police-Department
citrus county detention center,florida,private corrections,https://www.sheriffcitrus.org/arrest-records-citrus-county.php
citrus county school district police department,florida,school district agencies,https://www.citrusschools.org/
citrus county sheriff's office,florida,county agencies,https://www.sheriffcitrus.org/
clay county district schools department of safety and security,florida,school district agencies,https://www.oneclay.net/Page/5137
clay county sheriff's office,florida,county agencies,https://www.claysheriff.com/
clearwater police department,florida,city agencies,https://www.clearwaterpolice.org/how-do-i/contact-us
clermont police department,florida,city agencies,http://www.clermontfl.gov/departments/police-department/
clewiston police department,florida,city agencies,https://www.clewiston-fl.gov/department/index.php?structureid=9
cocoa beach police department,florida,city agencies,https://www.cityofcocoabeach.com/165/Police
cocoa police department,florida,city agencies,https://www.cocoafl.org/313/Police
coconut creek police department,florida,city agencies,https://www.coconutcreek.net/pd/police
collier county probation department,florida,county agencies,https://www.ca.cjis20.org/home/collier/collprobation.asp
collier county sheriff's office,florida,county agencies,https://www.colliersheriff.org/
columbia county sheriff's office,florida,county agencies,https://www.columbiasheriff.org/
cooper city police department,florida,disbanded agencies,https://www.coopercityfl.org/index.asp?SEC=B5D4B744-C4A5-4E4F-AF7D-4CD0444A7527&DE=53A8BA8A-BB20-4F8A-AAB1-466EDFCE26F7
coral gables police department,florida,city agencies,https://www.coralgables.com/departments/Police
coral springs police department,florida,city agencies,https://www.coralsprings.org/government/other-departments-and-services/police
corecivic,florida,private corrections,https://www.corecivic.com/facilities
correct care solutions,florida,private corrections,https://en.wikipedia.org/wiki/Correct_Care_Solutions
cottondale police department,florida,city agencies,https://www.cityofcottondale.net/
crescent city police department,florida,city agencies,https://crescentcity-fl.com/
crestview police department,florida,city agencies,http://www.crestviewpd.org/
cross city police department,florida,city agencies,https://townofcrosscity.com/contact.htm
crystal river police department,florida,disbanded agencies,https://www.crystalriverfl.org/
csx police department,florida,railroad police,https://www.csx.com/index.cfm/about-us/company-overview/csx-police-department/
dade city police department,florida,city agencies,http://www.dadecitypolice.com/
dade county sheriff's office,florida,disbanded agencies,https://www.miamidade.gov/global/police/home.page
davenport police department,florida,city agencies,https://www.mydavenport.org/police
davie police department,florida,city agencies,https://www.davie-fl.gov/150/Police
daytona beach police department,florida,city agencies,http://codb.us/280/Police-Department
daytona beach shores department of public safety,florida,city agencies,https://dbshores.org/177/Public-Safety
defuniak springs police department,florida,city agencies,https://www.defuniaksprings.net/187/City-Marshal-Police
deland police department,florida,city agencies,https://www.deland.org/departments/police-department
delray beach police department,florida,city agencies,https://www.delraybeachfl.gov/our-city/safety/police
department of the air force police,florida,federal agencies,https://www.af.mil/
department of the navy police,florida,federal agencies,https://www.flra.gov/decisions/v61/61-027.html
desoto county probation department,florida,county agencies,http://desotobocc.com/departments/probation
desoto county sheriff's office,florida,county agencies,https://www.desotosheriff.com/
developmental disabilities defendant program security,florida,state agencies,https://apd.myflorida.com/ddc/dddp/
division of alcoholic beverages and tobacco,florida,state agencies,https://www.myfloridalicense.com/intentions2.asp?chBoard=true&boardid=400
division of investigative and forensic services,florida,state agencies,https://www.myfloridacfo.com/Division/DIFS/
division of security,florida,state agencies,https://www.fdacs.gov/Divisions-Offices/Licensing
dixie county sheriff's office,florida,county agencies,http://www.dixiecountysheriff.com/
doral police department,florida,city agencies,https://www.cityofdoral.com/police/
drug enforcement administration,florida,federal agencies,https://www.dea.gov/
