name,state,dept_type,url
abbeville police department,georgia,city police agencies,http://www.abbevillega.org/policedept.html
abraham baldwin agricultural college police,georgia,college and university agencies,https://www.abac.edu/campus-life/police-department/
acworth police department,georgia,city police agencies,https://acworthpolice.org/
adairsville police department,georgia,city police agencies,https://www.adairsvillega.net/police
adel police department,georgia,city police agencies,http://www.cityofadel.us/police.html
adrian police department,georgia,city police agencies,https://www.cityofadrian.org/departments
agnes scott college department of public safety,georgia,college and university agencies,https://www.agnesscott.edu/publicsafety/
alamo police department,georgia,city police agencies,http://wgxa.tv/news/local/gbi-investigates-shooting-death-at-graduation-party-in-wheeler-county
albany police department,georgia,city police agencies,https://www.albanyga.gov/about-us/city-departments/albany-police-department
alma police department,georgia,city police agencies,https://www.cityofalmaga.gov/police_department/alma_police_department.php
alpharetta police department,georgia,city police agencies,https://www.alpharetta.ga.us/government/departments/public-safety/police
alto police department,georgia,city police agencies,https://www.townofaltoga.org/PoliceDepartment.aspx
americus police department,georgia,city police agencies,https://www.americusga.gov/police-department
appling county sheriff's office,georgia,county sheriff agencies,http://www.applingcountysheriffsoffice.com/
aragon police department,georgia,city police agencies,https://www.cityofaragon.com/
arcade police department,georgia,city police agencies,http://www.cityofarcade.org/police-department.html
arlington police department,georgia,city police agencies,https://www.walb.com/2019/07/31/new-arlington-police-chief-discusses-plans-department/
ashburn police department,georgia,city police agencies,https://cityofashburn.net/
athens-clarke county police department,georgia,county police agencies,https://www.athensclarkecounty.com/200/Police
athens-clarke county school police,georgia,board of education agencies,https://www.clarke.k12.ga.us/Page/183
atkinson county sheriff's office,georgia,county sheriff agencies,http://atkinsonsheriff.org/
atlanta police department,georgia,city police agencies,https://www.atlantapd.org/
atlanta public school police department,georgia,board of education agencies,https://www.atlantapublicschools.us/Page/34362
auburn police department,georgia,city police agencies,https://www.cityofauburn-ga.org/PoliceDepartment.aspx
augusta university police,georgia,college and university agencies,https://www.augusta.edu/police/
austell police department,georgia,city police agencies,https://www.austellga.gov/Policeand911.aspx
avondale estates  police department,georgia,city police agencies,https://www.avondaleestates.org/2342/Police
bacon county sheriff's office,georgia,county sheriff agencies,http://www.baconcountyso.com/
