name,state,dept_type,url
airport police,hawaii,state agencies,https://www.civilbeat.org/2016/01/airport-security/
hawaii corrections division,hawaii,state agencies,https://dps.hawaii.gov/about/divisions/corrections/
hawai'i county police department,hawaii,county agencies,https://www.hawaiipolice.com/
hawaii department of public safety,hawaii,state agencies,http://dps.hawaii.gov/
"hawaii department of the attorney general, criminal investigations division",hawaii,state agencies,https://ag.hawaii.gov/about-us/divisions/
hawaii department of transportation,hawaii,state agencies,https://hidot.hawaii.gov/
hawaii department of transportation harbor police,hawaii,state agencies,https://en.wikipedia.org/wiki/Hawaii_Harbor_Police
hawaii division of conservation and resource enforcement,hawaii,state agencies,https://dlnr.hawaii.gov/docare/
"hawaii prosecuting attorney office, criminal investigations unit",hawaii,prosecutor offices,http://www.hawaiicounty.gov/departments/prosecuting-attorney
honolulu police department,hawaii,city police department,http://www.honolulupd.org/
kaua'i county police department,hawaii,county agencies,https://www.kauai.gov/police
maui county police department,hawaii,county agencies,https://www.mauicounty.gov/122/Police-Department
narcotics enforcement division,hawaii,state agencies,http://dps.hawaii.gov/ned/
state of hawaii sheriff's office,hawaii,state agencies,https://dps.hawaii.gov/about/divisions/law-enforcement-division/sheriff-division/
