name,state,dept_type,url
aberdeen police department,idaho,city agencies,http://www.aberdeenidaho.us/
adams county sheriff's office,idaho,county agencies,https://co.adams.id.us/departments/sheriff/
american falls police department,idaho,city agencies,http://www.cityofamericanfalls.com/city-departments/police-department/
ashton police department,idaho,city agencies,https://cityofashton.com/city-departments/police-department
bannock county sheriff's office,idaho,county agencies,https://www.bannockcounty.us/sheriff/
bear lake county sheriff's office,idaho,county agencies,https://www.bearlakecounty.info/sheriff.html
benewah county sheriff's office,idaho,county agencies,http://www.benewahcountysheriff.com/
bingham county sheriff's office,idaho,county agencies,https://www.co.bingham.id.us/Sheriff/
blackfoot police department,idaho,city agencies,http://blackfootpolice.org/
blaine county sheriff's office,idaho,county agencies,https://www.blainesheriff.com/
boise county sheriff's office,idaho,county agencies,https://boisecounty.us/sheriffs-office/
boise police department,idaho,city agencies,https://www.cityofboise.org/departments/police/
boise state university security,idaho,school agencies,https://www.boisestate.edu/publicsafety-security/
bonner county sheriff's office,idaho,county agencies,https://bonnerso.org/
bonners ferry police department,idaho,city agencies,https://bonnersferry.id.gov/police-department/
bonneville county sheriff's office,idaho,county agencies,https://bonnevillesheriff.com/
boundary county sheriff's office,idaho,county agencies,https://www.boundarysheriff.org/
buhl police department,idaho,city agencies,http://www.buhlpolice.us/
butte county sheriff's office,idaho,county agencies,http://www.buttecountyid.us/about/butte-county-sheriffs-office/
caldwell police department,idaho,city agencies,https://www.cityofcaldwell.org/departments/public-safety/caldwell-police
camas county sheriff's office,idaho,county agencies,http://camascounty.id.gov/camas-county-sheriffs-office/
canyon county sheriff's office,idaho,county agencies,https://www.canyonco.org/elected-officials/sheriff/
caribou county sheriff's office,idaho,county agencies,https://www.cariboucountysheriff.com/
cascade police department,idaho,city agencies,https://www.policeone.com/law-enforcement-directory/police-departments/cascade-police-department-cascade-id-6yki8B1fzRBwfKNn/
cassia county sheriff's office,idaho,county agencies,https://www.cassiacounty.org/sheriff
chubbuck police department,idaho,city agencies,https://cityofchubbuck.us/police_dept/
clark county sheriff's office,idaho,county agencies,https://www.clark-co.id.gov/county-officials
clearwater county sheriff's office,idaho,county agencies,https://www.clearwatercounty.org/departments/sheriff/index.php
coeur d'alene police department,idaho,city agencies,https://www.cdaid.org/police/
coeur d'alene tribal police department,idaho,city agencies,https://www.cdatribe-nsn.gov/justice/tribal-police/
college of western idaho campus safety and security,idaho,school agencies,https://cwi.edu/info/campus-safety-and-security
cottonwood police department,idaho,city agencies,https://www.countyoffice.org/cottonwood-police-department-cottonwood-id-1f9/
custer county sheriff's office,idaho,county agencies,http://www.co.custer.id.us/departments/legislative/sheriff/
elmore county sheriff's office,idaho,county agencies,https://elmorecounty.org/elmore-county-sheriff/
emmett police department,idaho,city agencies,https://www.cityofemmett.org/police
filer police department,idaho,city agencies,https://magicvalley.com/news/local/cop-cuts-filer-considers-folding-police-department/article_3a015df8-69fd-5175-80d9-fcf9bcc057f7.html
fort hall tribal police department,idaho,city agencies,http://www2.sbtribes.com/police/
franklin county sheriff's office,idaho,county agencies,https://www.franklincountyidaho.org/county1
fremont county sheriff's office,idaho,county agencies,https://www.co.fremont.id.us/departments/sheriff/index.htm
fruitland police department,idaho,city agencies,https://www.fruitland.org/?SEC=85EDD0ED-41F8-4AE5-8A4D-161A142C1B5D
garden city police department,idaho,city agencies,https://gardencityidaho.org/police
gem county sheriff's office,idaho,county agencies,https://www.gemcounty.org/sheriff/
georgetown/twin creeks police department,idaho,city agencies,http://georgetown.id.gov/departments/police-department
gooding county sheriff's office,idaho,county agencies,https://goodingcounty.org/157/Sheriff
gooding police department,idaho,city agencies,http://www.goodingidaho.org/departments/police/
grangeville police department,idaho,city agencies,http://grangeville.us/city-police-home/
hailey police department,idaho,city agencies,https://www.haileycityhall.org/police/ContactUs.asp
hayden lake police department,idaho,city agencies,https://www.cityofhaydenlake.us/?SEC=DB37E354-BEF2-4F11-9B67-DB2623854DA9
heyburn police department,idaho,city agencies,https://heyburn.id.gov/index.asp?SEC=913D709B-F780-4792-9A10-628EBAE5B2A0&DE=AC60215E-F5BB-4DB0-B9FC-2C894B59E885
homedale police department,idaho,city agencies,https://cityofhomedale.org/police-department/
idaho conservation officers,idaho,state agencies,https://idfg.idaho.gov/enforcement/become-a-conservation-officer
idaho county sheriff's office,idaho,county agencies,https://idahocounty.org/sheriffs-office/
idaho department of correction,idaho,state agencies,https://www.idoc.idaho.gov/
idaho department of juvenile corrections,idaho,state agencies,http://www.idjc.idaho.gov/
idaho falls police department,idaho,city agencies,https://www.idahofallsidaho.gov/153/Police-Department
idaho fish and game commission,idaho,state agencies,https://idfg.idaho.gov/
idaho state police,idaho,state agencies,https://isp.idaho.gov/
idaho state university department of public safety,idaho,school agencies,https://www.isu.edu/publicsafety/
inkom police department,idaho,city agencies,https://inkomcity.org/city-services/city-government/
iona police department,idaho,city agencies,https://www.cityofiona.org/police-department-2/
jefferson county sheriff's office,idaho,county agencies,http://www.co.jefferson.id.us/sheriffs_office.php
jerome county sheriff's office,idaho,county agencies,https://www.jeromecountyid.us/190/Sheriff
jerome police department,idaho,city agencies,http://www.cityofjerome.org/175/Police-Department
kamiah marshal's office,idaho,city agencies,https://www.linkedin.com/in/kirtus-gaston-a1bb8436
kellogg police department,idaho,city agencies,http://kellogg.id.gov/Police%20Department
ketchum police department,idaho,city agencies,https://www.ketchumidaho.org/police
kimberly/hansen police department,idaho,city agencies,https://www.cityofkimberly.org/187/Police
kootenai county sheriff's office,idaho,county agencies,https://www.kcsheriff.com/
latah county sheriff's office,idaho,county agencies,https://www.latah.id.us/
lemhi county sheriff's office,idaho,county agencies,http://lemhicountyidaho.org/Sheriffs%20Office.htm
lewis county sheriff's office,idaho,county agencies,http://lewiscountyid.us/Elected-Officials/Sheriff
lewiston police department,idaho,city agencies,https://cityoflewiston.org/content/850/888/default.aspx
lincoln county sheriff's office,idaho,county agencies,http://lincolncountyid.us/sheriff/
madison county sheriff's office,idaho,county agencies,https://www.co.madison.id.us/departments/sheriff
mccall police department,idaho,city agencies,https://www.mccall.id.us/police-department
meridian police department,idaho,city agencies,https://meridiancity.org/police/
minidoka county sheriff's office,idaho,county agencies,https://www.minidoka.id.us/191/Sheriff
montpelier police department,idaho,city agencies,http://www.montpelierpd.com/
moscow police department,idaho,city agencies,https://www.ci.moscow.id.us/234/Police
mountain home police department,idaho,city agencies,https://www.mountain-home.us/departments/police-department/
nampa police department,idaho,city agencies,https://www.cityofnampa.us/588/Police
nez perce county sheriff's office,idaho,county agencies,https://www.co.nezperce.id.us/Elected-Officials/Sheriff
nez perce tribal police department,idaho,city agencies,https://nezperce.org/government/law-and-justice/
north idaho college campus security,idaho,school agencies,https://www.nic.edu/security/
oneida county sheriff's office,idaho,county agencies,http://oneidasheriff.net/
orofino police department,idaho,city agencies,http://www.cityoforofino.org/departments/orofino_police_department.php
