name,state,dept_type,url
amtrak police department,illinois,railroad police departments,https://police.amtrak.com/
bureau of criminal investigations,illinois,state agencies,https://en.wikipedia.org/wiki/Illinois_Bureau_of_Criminal_Investigations
burlington northern/santa fe railroad police department,illinois,railroad police departments,https://www.bnsf.com/in-the-community/safety-and-security/police-team.html
canadian national railway police,illinois,railroad police departments,https://www.cn.ca/en/safety/cn-police-service/
canadian pacific railway police service,illinois,railroad police departments,https://www.cpr.ca/en/safety/cp-police-service
chicago police department,illinois,municipal agencies,https://home.chicagopolice.org/
cook county sheriff's office,illinois,sheriff's departments/offices,https://www.cookcountysheriff.org/
forest preserve district of cook county,illinois,county forest preserve police departments,https://fpdcc.com/
illinois attorney general's office,illinois,state agencies,https://www.illinoisattorneygeneral.gov/
illinois department of corrections,illinois,state agencies,https://www2.illinois.gov/idoc/Offender/pages/inmatesearch.aspx
illinois department of natural resources,illinois,state agencies,https://www2.illinois.gov/dnr/Pages/default.aspx
illinois secretary of state,illinois,state agencies,https://www.cyberdriveillinois.com/
illinois secretary of state police,illinois,state agencies,https://www.cyberdriveillinois.com/departments/police/home.html
illinois state police,illinois,state agencies,https://www.isp.state.il.us/
lake county forest preserves,illinois,county forest preserve police departments,https://www.lcfpd.org/
metra police department,illinois,other special district agencies,https://metrarail.com/riding-metra/metra-police-department
springfield police department,illinois,municipal agencies,https://www.springfield.il.us/Departments/PoliceDepartment/spdDefault.aspx
union pacific railroad police department,illinois,railroad police departments,https://www.up.com/aboutup/community/safety/special_agents/index.htm
will county sheriff's office,illinois,sheriff's departments/offices,https://www.willcosheriff.org/
