name,state,dept_type,url
adams county prosecutor's office,indiana,county prosecutor agencies,https://www.co.adams.in.us/184/Prosecutors-Office
adams county sheriff's office,indiana,tier i county sheriff agencies,https://www.co.adams.in.us/186/Sheriffs-Department
advance police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.usacops.com/in/p46102/index.html
akron police department,indiana,tier i municipal police and tier ii town marshal agencies,http://www.akronindiana.com/contact-us.html
albany police department,indiana,tier i municipal police and tier ii town marshal agencies,https://albanyin.com/albany-police-department-2/
albion police department,indiana,tier i municipal police and tier ii town marshal agencies,http://www.albion-in.org/departments/police_department.php
alexandria police department,indiana,tier i municipal police and tier ii town marshal agencies,http://www.cityofalexandria.org/?DivisionID=16841&DepartmentID=19668
allen county prosecutor's office,indiana,county prosecutor agencies,https://www.allencountyprosecutor.com/
allen county sheriff's office,indiana,tier i county sheriff agencies,http://www.allencountysheriff.org/
amo police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.co.hendricks.in.us/topic/index.php?topicid=220&structureid=29
amtrak police department,indiana,"tier i airport, housing, transit, & railroad police agencies",https://police.amtrak.com/
anderson police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.cityofanderson.com/185/Police
anderson university police department,indiana,tier i college and university police agencies,https://anderson.edu/security/
andrews police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.huntington.in.us/county/department/index.php?structureid=339
angola police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.angolain.org/department/index.php?structureid=21
arcadia police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.arcadiaindiana.org/home/police
argos police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.townofargos.com/public-safety/police
ashley police department,indiana,tier i municipal police and tier ii town marshal agencies,http://ashley.in.gov/police-department.html
attica police department,indiana,tier i municipal police and tier ii town marshal agencies,https://attica-in.gov/departments-services/police-department/
auburn police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.ci.auburn.in.us/public-safety/police/
aurora police department,indiana,tier i municipal police and tier ii town marshal agencies,https://aurora.in.us/police-department.html
austin police department,indiana,tier i municipal police and tier ii town marshal agencies,https://cityofaustin.in.gov/contact-us/
avilla police department,indiana,tier i municipal police and tier ii town marshal agencies,http://avilla-in.org/police-department/
avon police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.avongov.org/department/?structureid=8
bainbridge police department,indiana,tier i municipal police and tier ii town marshal agencies,https://townofbainbridge.com/town-contacts/
ball state university police department,indiana,tier i college and university police agencies,https://www.bsu.edu/about/administrativeoffices/police
bargersville police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.townofbargersville.org/departments/police/mission/
bartholomew county prosecutor's office,indiana,county prosecutor agencies,https://bartholomew.in.gov/prosecutor.html
bartholomew county sheriff's office,indiana,tier i county sheriff agencies,https://bartholomew.in.gov/sheriff.html
batesville police department,indiana,tier i municipal police and tier ii town marshal agencies,https://batesvilleindiana.us/departments/police-department/
battle ground police department,indiana,tier i municipal police and tier ii town marshal agencies,https://battleground.in.gov/townhall/
bedford police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.bedfordpolicedepartment.com/
beech grove police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.beechgrove.com/beech-grove-police-department.html
benton county prosecutor's office,indiana,county prosecutor agencies,https://www.bentoncounty.in.gov/department/Prosecuting-Attorney
benton county sheriff's office,indiana,tier i county sheriff agencies,https://www.bentoncounty.in.gov/sheriffs-deparment-and-jail
berne police department,indiana,tier i municipal police and tier ii town marshal agencies,https://cityofberne.com/city-services/police-department/
beverly shores police department,indiana,tier i municipal police and tier ii town marshal agencies,http://www.beverlyshoresindiana.org/fire-and-police-departments.html
bicknell police department,indiana,tier i municipal police and tier ii town marshal agencies,http://bicknell.in.gov/police-department/
birdseye police department,indiana,tier i municipal police and tier ii town marshal agencies,https://www.duboiscountyin.org/government/elected_officials/municipal_government/town_of_birdseye.php
