name,state,dept_type,url
adair county sheriff's office,iowa,county agencies,http://www.adaircountyiowa.org/departments/sheriff/
adams county sheriff's office,iowa,county agencies,https://www.adamscountyia.com/departments/adams-county-sheriff/
afton police department,iowa,municipal agencies,https://www.aftoniowa.com/police-department
allamakee county sheriff's office,iowa,county agencies,https://www.allamakee.us/sheriff
altoona police department,iowa,municipal agencies,https://www.altoona-iowa.com/departments/police/
ames police department,iowa,municipal agencies,https://www.cityofames.org/government/departments-divisions-i-z/police
anamosa police department,iowa,municipal agencies,http://www.anamosa-iowa.org/police.php?pageid=44
ankeny police department,iowa,municipal agencies,https://www.ankenyiowa.gov/residents/police-department
appanoose county sheriff's office,iowa,county agencies,http://www.appanoosecosheriff.org/
asbury police department,iowa,municipal agencies,http://www.cityofasbury.com/departments/police
atlantic police department,iowa,municipal agencies,http://www.atlanticiowapd.org/
audubon county sheriff's office,iowa,county agencies,https://www.auduboncounty.com/county-information/sheriff/
belle plaine police department,iowa,municipal agencies,https://www.belleplaineiowa.us/belle-plaine-police-department/
benton county sheriff's office,iowa,county agencies,https://www.bentoncountyiowa.org/departments/public-safety/sheriff's-office/
bettendorf police department,iowa,municipal agencies,https://www.bettendorf.org/police/
black hawk county sheriff's office,iowa,county agencies,http://www.bhcso.org/
blue grass police department,iowa,municipal agencies,https://bluegrassia.org/2012-12-31-06-45-15/police
boone county sheriff's office,iowa,county agencies,https://www.boonecounty.iowa.gov/government/sheriff
boone police department,iowa,municipal agencies,https://www.boonegov.com/department/index.php?structureid=22
buchanan county sheriff's office,iowa,county agencies,https://www.buchanancountyiowa.org/departments/sheriff/index.php
buena vista county sheriff's office,iowa,county agencies,https://bvsheriff.com/
burlington police department,iowa,municipal agencies,https://www.burlingtoniowa.org/2158/Police
butler county sheriff's office,iowa,county agencies,https://www.butlercoiowa.org/departments/sheriff
calhoun county sheriff's office,iowa,county agencies,https://www.calhouncountyiowa.com/county_offices/sheriff.php
camanche police department,iowa,municipal agencies,http://camancheia.org/city-services-government/departments-contacts/
carroll county sheriff's office,iowa,county agencies,https://carrollcountyiowa.org/pview.aspx?id=20968&catid=563
