name,state,dept_type,url
abilene police department,kansas,local agencies,https://www.abilenecityhall.com/17/Police
allen county sheriff's office,kansas,county agencies,http://allencosheriff.org/
altamont police department,kansas,local agencies,https://altamontks.com/city-government/departments/police-department
andale police department,kansas,local agencies,https://www.cityofandale.com/police-department/police-department
anderson county sheriff's office,kansas,county agencies,http://andersoncountyks.org/sheriff.html
andover police department,kansas,local agencies,https://www.andoverks.com/96/Police-Department
anthony police department,kansas,local agencies,https://harpercountyks.gov/316/Emergency-Non-Emergency-Numbers
argonia police department,kansas,local agencies,https://cityofargonia.com/Local-Services
arkansas city police department,kansas,local agencies,https://www.arkansascityks.gov/government/police/index.php
arma police department,kansas,local agencies,http://www.armakansas.org/police-department.html
atchison county sheriff's office,kansas,county agencies,https://www.atchisoncountyks.org/10/Sheriff
atchison police department,kansas,local agencies,https://cityofatchison.com/departments/police/
atwood police department,kansas,local agencies,http://visitrawlinsco.com/city-of-atwood/
auburn-washburn schools police department,kansas,"school, college and university agencies",http://usd437.net/
augusta department of public safety,kansas,local agencies,https://www.augustaks.org/government/departments/public_safety/index.php
baldwin city police department,kansas,local agencies,https://www.baldwincity.org/152/Police-Department
barber county sheriff's office,kansas,county agencies,http://barber.ks.gov/sheriff.html
barton county sheriff's office,kansas,county agencies,https://www.bartoncounty.org/vnews/display.v/SEC/Sheriff
basehor police department,kansas,local agencies,https://www.cityofbasehor.org/170/Police-Department
baxter springs police department,kansas,local agencies,https://www.usacops.com/ks/p66713/index.html
bel aire police department,kansas,local agencies,http://www.belaireks.gov/213/police
belleville police department,kansas,local agencies,https://www.cityofbellevillekansas.com/police-department
beloit police department,kansas,local agencies,https://www.beloitks.org/163/Police
bentley police department,kansas,local agencies,https://www.bentleyks.com/
blue rapids police department,kansas,local agencies,http://www.bluerapids.org/departments-staff/
bonner springs police department,kansas,local agencies,https://www.bonnersprings.org/239/Police
bourbon county sheriff's office,kansas,county agencies,http://fortscott.biz/news/category/bourbon-county-sheriffs-office
brown county sheriff's office,kansas,county agencies,https://www.brownso.org/
burlingame police department,kansas,local agencies,https://burlingameks.com/police-department/
burlington police department,kansas,local agencies,https://burlingtonkansas.gov/city-departments-services/police/
burrton police department,kansas,local agencies,https://burrtonkansas.com/safety.htm
butler community colleges department of public safety,kansas,"school, college and university agencies",https://www.butlercc.edu/campus-safety
butler county sheriff's office,kansas,county agencies,https://www.bucoks.com/384/Sheriff
caney police department,kansas,local agencies,https://www.caneyks.com/police-and-ambulance-department
carbondale police department,kansas,local agencies,https://carbondaleks.com/police/
cedar vale police department,kansas,local agencies,https://cityofcedarvale.com/
chanute police department,kansas,local agencies,https://www.chanute.org/232/Police
chapman police department,kansas,local agencies,http://chapmanks.com/city-government/city-departments/police-department/
chase county sheriff's office,kansas,county agencies,https://chasecountysheriff.org/
chase police department,kansas,local agencies,https://www.kansascity.com/news/local/crime/article240091623.html
chautauqua county sheriff's office,kansas,county agencies,https://m.facebook.com/Chautauqua-County-Sheriffs-Department-Sedan-Kansas-437609779764500/
cheney police department,kansas,local agencies,http://www.cheneyks.org/services/policedepartment.html
cherokee city police department,kansas,local agencies,https://www.cherokeecountykssheriff.com/
cherokee county sheriff's office,kansas,county agencies,https://www.cherokeecountykssheriff.com/
cherryvale police department,kansas,local agencies,https://cherryvaleusa.com/police/
chetopa police department,kansas,local agencies,http://chetopa.org/resident-resources/your-government/police/
cheyenne county sheriff's office,kansas,county agencies,https://www.cncoks.us/sheriff/
cimarron police department,kansas,local agencies,https://www.policeone.com/law-enforcement-directory/police-departments/cimarron-police-department-cimarron-ks-2aV4QiS4nOrt8Rr6/
circleville police department,kansas,local agencies,http://www.circlevillepolice.com/
clark county sheriff's office,kansas,county agencies,https://clarkcountysheriffks.com/
clay center police department,kansas,local agencies,https://www.cityofclaycenter.com/?page_id=4970
clay county sheriff's office,kansas,county agencies,https://www.claycountykansas.org/216/Sheriff-Office
clearwater police department,kansas,local agencies,https://www.clearwaterks.org/202/Police
