name,state,dept_type,url
abbeville police department,louisiana,city / municipal agencies,https://www.abbevillepd.com/
acadia parish sheriff's office,louisiana,parish agencies,http://www.apso.org/
addis police department,louisiana,city / municipal agencies,https://www.addisla.org/departments/police-department/
albany police department,louisiana,city / municipal agencies,http://www.livingstonparishla.gov/about-us/municipalities/albany/
alexandria police department,louisiana,city / municipal agencies,https://www.alexandrialapolice.org/
allen parish sheriff's office,louisiana,parish agencies,http://allenparishso.org/
amite police department,louisiana,city / municipal agencies,https://www.theadvocate.com/baton_rouge/news/crime_police/article_dbb39df2-8e9e-11e8-8a48-2b4b20bf7a46.html
anacoco police department,louisiana,city / municipal agencies,http://www.ag.state.la.us/Opinion/Download/20586
angie police department,louisiana,city / municipal agencies,https://www.odmp.org/officer/2268-deputy-sheriff-kathleen-angie-briscoe
arcadia police department,louisiana,city / municipal agencies,https://www.arcadialouisiana.org/arcadialouisiana/Police_Dept.html
arnaudville police department,louisiana,city / municipal agencies,https://www.arnaudvillela.com/police-department.html
ascension parish sheriff's office,louisiana,parish agencies,https://www.ascensionsheriff.com/
ashland police department,louisiana,city / municipal agencies,http://www.ashland.or.us/police
assumption parish sheriff's office,louisiana,parish agencies,https://www.assumptionsheriff.com/
atchafalaya basin levee district police department,louisiana,state agencies,https://en.wikipedia.org/wiki/List_of_law_enforcement_agencies_in_Louisiana
athens police department,louisiana,city / municipal agencies,"https://en.wikipedia.org/wiki/Athens,_Louisiana"
avoyelles parish sheriff's office,louisiana,parish agencies,http://www.avoyelles.lavns.org/
baker police department,louisiana,city / municipal agencies,http://cityofbakerla.com/wp/police-department/
baldwin police department,louisiana,city / municipal agencies,https://www.stmaryohsep.org/index.php/links-247/police-deptartments.html
ball police department,louisiana,city / municipal agencies,https://ball.govoffice2.com/?SEC=388EDD69-9B36-499D-BAAF-B23E6C424E8C
basile police department,louisiana,city / municipal agencies,https://kadn.com/man-wanted-by-basile-police-for-attempted-murder/
bastrop police department,louisiana,city / municipal agencies,https://www.cityofbastrop.com/police-department
baton rouge police department,louisiana,city / municipal agencies,https://www.brla.gov/203/Police-Department
beauregard parish sheriff's office,louisiana,parish agencies,http://beauregardparishsheriff.org/contact-us
benton police department,louisiana,city / municipal agencies,https://www.bentonpolice.org/
bernice police department,louisiana,city / municipal agencies,https://www.odmp.org/agency/6936-bernice-police-department-louisiana
berwick police department,louisiana,city / municipal agencies,https://www.berwickpd.org/
bienville parish sheriff's office,louisiana,parish agencies,http://www.bienvilleparish.org/elected-officials/sheriff
blanchard police department,louisiana,city / municipal agencies,https://www.townofblanchard.us/?SEC=339FB1AE-BD46-4AE7-9C12-ED3C80A2C31F
bogalusa police department,louisiana,city / municipal agencies,https://www.bogalusa.org/department/index.php?structureid=19
bonita police department,louisiana,city / municipal agencies,https://www.road-police.com/police/Louisiana/Bonita/property_6060/police.html
bossier city police department,louisiana,city / municipal agencies,http://www.bossiercity.org/237/Police
bossier parish sheriff's office,louisiana,parish agencies,https://www.bossiersheriff.com/home/
boyce police department,louisiana,city / municipal agencies,https://home.iape.org/features/headline-evidence-news/articles-evidence-news/entry/ex-boyce-police-chief-sentenced-to-33-months-in-federal-pen.html
breaux bridge police department,louisiana,city / municipal agencies,http://breauxbridgela.net/city-departments/
broussard police department,louisiana,city / municipal agencies,https://www.broussardpolice.com/
brusly police department,louisiana,city / municipal agencies,https://www.bruslyla.com/government/brusly-police-department/
bunkie police department,louisiana,city / municipal agencies,https://www.kalb.com/content/news/Bobby-Corner-former-Bunkie-police-chief-arrested-497927761.html
caddo parish constable's office,louisiana,parish agencies,http://www.caddo.org/417/Find-Your-Constable
caddo parish sheriff's office,louisiana,parish agencies,https://www.caddosheriff.org/
calcasieu parish sheriff's office,louisiana,parish agencies,https://www.cpso.com/
caldwell parish sheriff's office,louisiana,parish agencies,https://cpso.us/
calvin police department,louisiana,city / municipal agencies,https://law.justia.com/cases/louisiana/fourth-circuit-court-of-appeal/2001/2000-ca-2484.html
cameron parish sheriff's office,louisiana,parish agencies,https://cameronso.org/
campti police department,louisiana,city / municipal agencies,https://www.usacops.com/la/p71411/index.html
