name,state,dept_type,url
androscoggin county sheriff's office,maine,county agencies,https://www.androscoggincountymaine.gov/sheriff.html
aroostook county sheriff's office,maine,county agencies,https://www.aroostook.me.us/departments/sheriff.html
ashland police department,maine,municipal agencies,http://townofashland.org/departments/police/
auburn police department,maine,municipal agencies,http://www.auburnmaine.gov/Pages/Government/Police
augusta police department,maine,municipal agencies,http://www.augustamaine.gov/departments/police_department/index.php
baileyville police department,maine,municipal agencies,https://baileyvillemaine.com/
bangor police department,maine,municipal agencies,https://www.bangormaine.gov/police
bar harbor police department,maine,municipal agencies,https://www.barharbormaine.gov/178/Police-Department
bath police department,maine,municipal agencies,https://www.cityofbath.com/Police
baxter state park authority,maine,other,https://baxterstatepark.org/
belfast police department,maine,municipal agencies,https://www.cityofbelfast.org/177/Police
berwick police department,maine,municipal agencies,https://www.berwickpd.org/
biddeford police department,maine,municipal agencies,https://www.biddefordmaine.org/2198/Police
boothbay harbor police department,maine,municipal agencies,https://www.boothbayharbor.org/departments/police
boston and maine railroad police department,maine,railroad police,https://en.wikipedia.org/wiki/Boston_and_Maine_Corporation
brewer police department,maine,municipal agencies,http://brewermaine.gov/police/
bridgton police department,maine,municipal agencies,https://bridgtonmaine.org/police/
brownville police department,maine,municipal agencies,http://observer-me.com/2017/03/24/brownville-residents-vote-to-defund-police-department/
brunswick police department,maine,municipal agencies,https://brunswickme.org/245/Police
bucksport police department,maine,municipal agencies,https://www.bucksportmaine.gov/police
bureau of motor vehicles,maine,state agencies,https://www.maine.gov/sos/bmv/
buxton police department,maine,municipal agencies,https://www.buxton.me.us/police-department
calais police department,maine,municipal agencies,https://www.calaismaine.org/fire-and-police/
camden police department,maine,municipal agencies,https://www.camdenmaine.gov/police
cape elizabeth police department,maine,municipal agencies,https://www.capeelizabeth.com/government/departments/police/home.html
caribou police department,maine,municipal agencies,https://cariboupolicedepartment.org/
carrabassett valley police department,maine,municipal agencies,http://www.carrabassettvalley.org/police-department
clinton police department,maine,municipal agencies,https://www.clinton-me.us/index.asp?Type=B_BASIC&SEC=%7BE26F949E-6188-4158-8666-896FC7FF6780%7D
cumberland county sheriff's office,maine,county agencies,https://www.cumberlandso.org/
cumberland police department,maine,municipal agencies,https://www.cumberlandmaine.com/police-department
damariscotta police department,maine,municipal agencies,https://www.damariscottame.com/police-department
dexter police department,maine,municipal agencies,https://dextermaine.org/police-department/
dixfield police department,maine,municipal agencies,https://dixfield.org/police-department/
