name,state,dept_type,url
aberdeen police department,maryland,municipal agencies,https://www.aberdeenpolice.org/
aberdeen proving ground police,maryland,other agencies,"https://www.glassdoor.com/Job/aberdeen-proving-ground-police-officer-jobs-SRCH_IL.0,23_IC1153521_KO24,38.htm"
allegany county sheriff's office,maryland,county agencies,https://gov.allconet.org/279/Sheriffs-Office
amtrak police,maryland,other agencies,https://police.amtrak.com/
annapolis fire department - office of the fire marshal,maryland,law enforcement units within fire agencies,https://www.annapolis.gov/329/Fire-Marshal
annapolis police department,maryland,municipal agencies,https://www.annapolis.gov/413/Police
"anne arundel community college, department of public safety & police",maryland,university agencies,https://www.aacc.edu/about/administrative-offices/public-safety/
anne arundel county fire department - office of the fire marshal,maryland,law enforcement units within fire agencies,https://www.aacounty.org/departments/fire-department/fire-marshal/
anne arundel county police department,maryland,county agencies,https://www.aacounty.org/departments/police-department/
anne arundel county sheriff's office,maryland,county agencies,https://www.aacounty.org/departments/sheriff/
baltimore city community college department of public safety,maryland,university agencies,https://www.bccc.edu/domain/23
baltimore city environmental police,maryland,municipal agencies,https://publicworks.baltimorecity.gov/water-wastewater/environmental-police
baltimore city schools police,maryland,municipal agencies,https://www.baltimorecityschools.org/school-police
baltimore city sheriff's office,maryland,municipal agencies,https://sheriff.baltimorecity.gov/
baltimore county police department,maryland,county agencies,https://www.baltimorecountymd.gov/Agencies/police/
baltimore county sheriff's office,maryland,county agencies,https://www.baltimorecountymd.gov/Agencies/sheriff/
baltimore police department,maryland,municipal agencies,https://www.baltimorepolice.org/
bel air police department,maryland,municipal agencies,https://www.belairmd.org/175/Police
berlin police department,maryland,municipal agencies,https://berlinmd.gov/department/police-department/
berwyn heights police department,maryland,municipal agencies,https://www.berwynheightsmd.gov/police-department
bladensburg police department,maryland,municipal agencies,https://bladensburgmd.gov/government/departments/police/
bomb squad,maryland,law enforcement units within fire agencies,https://mdsp.maryland.gov/firemarshal/Pages/ExplosivesandFireworks.aspx
boonsboro police department,maryland,municipal agencies,https://www.town.boonsboro.md.us/boonsboropolice
bowie police department,maryland,municipal agencies,https://www.cityofbowie.org/150/Police
"bowie state university, department of public safety",maryland,university agencies,https://www.bowiestate.edu/about/administration-and-governance/division-of-student-affairs/campus-police/
breakthrough bible college police office of law enforcement & public safety,maryland,university agencies,https://www.policeone.com/law-enforcement-directory/police-departments/breakthrough-bible-college-police-temple-hills-md-RRCP16C7XW00E9VT/
brentwood police department,maryland,municipal agencies,http://www.brentwoodmd.gov/96/Police-Department
brunswick police department,maryland,municipal agencies,https://brunswickmd.gov/?SEC=59479625-5A6C-48A1-AB14-32AE0647254D
calvert county sheriff's office,maryland,county agencies,https://www.co.cal.md.us/368/Sheriffs-Office
cambridge police department,maryland,municipal agencies,https://www.choosecambridge.com/159/Police-Department
capitol heights police department,maryland,municipal agencies,http://www.capitolheightsmd.gov/2161/Police-Department
caroline county sheriff's department,maryland,county agencies,https://www.carolinemd.org/resourcedirectory/detail/index?resourceId=15&mobile=on
carroll community college campus police department,maryland,university agencies,https://www.carrollcc.edu/About/On-Campus/Campus-Police/
carroll county sheriff's office,maryland,county agencies,https://sheriff.carrollcountymd.gov/
cecil college public safety,maryland,university agencies,https://www.cecil.edu/campus-life/public-safety
cecil county sheriff's office,maryland,county agencies,https://www.ccgov.org/government/sheriff-s-office
centreville police department,maryland,municipal agencies,https://www.centrevillepolice.org/
charles county sheriff's office,maryland,county agencies,https://www.ccso.us/
