name,state,dept_type,url
adrian & blissfield railroad police,michigan,railroad police departments,https://www.abrailroad.com/
adrian police department,michigan,city/village agencies,https://adriancity.com/services/police/
akron police department,michigan,city/village agencies,http://www.fairgrovevillage.org/?Page=4
alcona county sheriff's office,michigan,county agencies,http://alconasheriff.com/
alger county sheriff's office,michigan,county agencies,https://www.algercounty.gov/departments/sheriff/
allegan county sheriff's office,michigan,county agencies,http://cms.allegancounty.org/sheriff
allegan police department,michigan,city/village agencies,http://www.cityofallegan.org/departments/police_department.php
allen park police department,michigan,city/village agencies,http://cityofallenpark.org/Services-Departments/Police-Department.aspx
alma police department,michigan,city/village agencies,https://myalma.org/police-department.php
almont police department,michigan,city/village agencies,https://www.almontmichigan.gov/1/324/police.asp
alpena county sheriff's office,michigan,county agencies,https://www.alpenasheriff.com/
alpena police department,michigan,city/village agencies,https://www.alpena.mi.us/departments/police_department/index.php
amtrak police,michigan,railroad police departments,https://police.amtrak.com/
ann arbor police department,michigan,city/village agencies,https://www.a2gov.org/departments/police/Pages/default.aspx
antrim county sheriff's office,michigan,county agencies,http://www.antrimcounty.org/sheriff.asp
arenac county sheriff's office,michigan,county agencies,https://www.arenaccountymi.gov/Sheriff/Sheriff/
argentine police department,michigan,city/village agencies,http://argentinetownship.com/police_department/index.php
armada police department,michigan,city/village agencies,http://www.villageofarmada.org/police/
auburn hills police department,michigan,city/village agencies,http://www.auburnhills.org/departments/emergency_services_department/police_division/index.php
auburn police department,michigan,city/village agencies,http://auburnmi.org/Departments/CityLawEnforcement.aspx
augusta police department,michigan,city/village agencies,https://www.kalcounty.com/directory/VILLAGEOFAUGUSTA.HTM
bad axe police department,michigan,city/village agencies,http://cityofbadaxe.com/Police.aspx
bancroft police department,michigan,city/village agencies,http://www.villageofbancroftmi.org/?page_id=256
bangor police department,michigan,city/village agencies,https://bangormipd.org/
baraga county sheriff's office,michigan,county agencies,https://www.baragacounty.org/government/departments/county-sheriff/
baraga police department,michigan,city/village agencies,https://villageofbaraga.com/departments.htm
baroda-lake police department,michigan,township agencies,https://barodatownship.org/baroda-lake-township-police/
barry county sheriff's office,michigan,county agencies,https://www.barrycounty.org/sheriff_s/contact_information.php
barry township police department,michigan,township agencies,https://www.barrytownshipmi.com/departments/
bath township police department,michigan,township agencies,https://bathtownship.us/departments-services/police-department/
battle creek police department,michigan,city/village agencies,https://battlecreekmi.gov/247/Police-Department
bay city police department,michigan,city/village agencies,https://www.baycitymi.org/226/Public-Safety
bay county sheriff's office,michigan,county agencies,https://www.baycounty-mi.gov/Sheriff/
bellaire police department,michigan,city/village agencies,https://www.bellairemichigan.com/police.html
belleville police department,michigan,city/village agencies,https://belleville.mi.us/departments/police/
bellevue police department,michigan,city/village agencies,http://www.bellevuemi.net/Services/policedepartment.aspx
benton harbor police department,michigan,city/village agencies,https://bhcity.us/police/
benton township police department,michigan,township agencies,https://www.bentonchartertwp.org/departments/police
benzie county sheriff's office,michigan,county agencies,http://www.benzieco.net/government/county_sheriff_s_office/index.php
berkley police department,michigan,city/village agencies,http://www.berkleymich.org/departments/public_safety/index.php
berrien county sheriff's office,michigan,county agencies,http://bcsheriff.org/253/Sheriffs-Office
berrien springs police department,michigan,city/village agencies,http://www.bsopd.org/
beverly hills police department,michigan,city/village agencies,https://www.beverlyhillspolice.com/
big rapids department of public safety,michigan,city/village agencies,https://www.cityofbr.org/government/public_safety/index.php
birch run police department,michigan,city/village agencies,https://www.villageofbirchrun.com/pollice-department/
birmingham police department,michigan,city/village agencies,https://www.bhamgov.org/police/
blissfield police department,michigan,city/village agencies,http://www.blissfieldmichigan.gov/departments/police
bloomfield township police department,michigan,township agencies,https://www.bloomfieldtwp.org/Government/Services/Police.aspx
bloomingdale police department,michigan,city/village agencies,https://www.dailyherald.com/news/20200430/bloomingdale-man-charged-with-murdering-nephew-apprehended-in-michigan
boyne city police department,michigan,city/village agencies,http://www.cityofboynecity.com/police-132/
branch county sheriff's office,michigan,county agencies,https://www.countyofbranch.com/sheriff/
bridgeport police department,michigan,city/village agencies,https://www.bridgeportmi.org/index.php/2013-02-01-18-52-47/police-department.html
bridgman police department,michigan,city/village agencies,https://www.bridgman.org/161/Police
brighton police department,michigan,city/village agencies,https://www.brightoncity.org/services___departments/police/index.php
bronson police department,michigan,city/village agencies,http://www.bronson-mi.com/departments/police
brooklyn police department,michigan,city/village agencies,http://www.twp.columbia.mi.us/Departments/PoliceDepartment.aspx
brown city police department,michigan,city/village agencies,https://www.ci.brown-city.mi.us/departments/police-department
brownstown township police department,michigan,township agencies,https://www.brownstown-mi.org/
buchanan police department,michigan,city/village agencies,https://www.cityofbuchanan.com/cityserv/departments/police-department
burr oak police department,michigan,city/village agencies,http://www.burroaktownship.org/
burton police department,michigan,city/village agencies,https://www.burtonmi.gov/government/police_department/index.php
byron police department,michigan,city/village agencies,https://www.byrontownship.org/
cadillac police department,michigan,city/village agencies,https://www.cadillac-mi.net/113/Police
calhoun county sheriff's office,michigan,county agencies,https://www.calhouncountymi.gov/departments/sheriffs_office/index.php
calumet police department,michigan,city/village agencies,http://www.villageofcalumet.com/police-department.html
canadian national railway police,michigan,railroad police departments,https://www.cn.ca/en/safety/cn-police-service/
canadian pacific police service,michigan,railroad police departments,https://www.cpr.ca/en/safety/cp-police-service
canton public safety department,michigan,township agencies,https://www.canton-mi.org/250/Public-Safety
capac police department,michigan,city/village agencies,https://www.villageofcapac.com/
capital region airport authority,michigan,airport police agencies,http://www.flylansing.com/about-craa
carleton police department,michigan,city/village agencies,http://www.carletonmi.us/id2.html
caro police department,michigan,city/village agencies,https://www.carocity.net/caropd.php
carson city police department,michigan,city/village agencies,http://www.carsoncitymi.com/Police.aspx
carsonville police department,michigan,city/village agencies,https://www.sanilaccounty.net/PublicPages/Entity.aspx?ID=151
caseville police department,michigan,city/village agencies,https://www.cityofcaseville.com/index.php/departments/28-police-department
caspian police department,michigan,city/village agencies,https://caspiancity.org/government.htm
cass county sheriff's office,michigan,county agencies,https://www.casscountymi.org/1209/Sheriffs-Office
cassopolis police department,michigan,city/village agencies,https://cassopolis-mi.us/departments-services/public-safety/
center line police department,michigan,city/village agencies,https://www.centerline.gov/160/Public-Safety
central lake police department,michigan,city/village agencies,https://www.centrallakemi.org/?page_id=21
central michigan university police department,michigan,college and university agencies,https://www.cmich.edu/fas/police/Pages/default.aspx
charlevoix county sheriff's office,michigan,county agencies,https://www.charlevoixcounty.org/charlevoix_county_sheriff/index.php
charlevoix police department,michigan,city/village agencies,https://www.cityofcharlevoix.org/172/Police
charlotte police department,michigan,city/village agencies,https://www.charlottemi.org/serviceadministration/police/
cheboygan county sheriff's office,michigan,county agencies,http://www.cheboygancounty.net/sheriffs-department-143/
cheboygan police department,michigan,city/village agencies,https://www.cheboygan.org/departments/public-safety/
chelsea police department,michigan,city/village agencies,https://chelseamich.com/directory-business_dir/listing/chelsea-police-department/
chesterfield township police department,michigan,township agencies,http://chesterfieldpolice.org/
chippewa county sheriff's office,michigan,county agencies,https://www.chippewacountymi.gov/sheriff-office
chocolay township police department,michigan,township agencies,https://www.chocolay.org/police/police.php
clare county sheriff's office,michigan,county agencies,https://www.claresheriff.org/
clare police department,michigan,city/village agencies,http://www.cityofclare.org/government/dept/police.html
clawson police department,michigan,city/village agencies,https://www.cityofclawson.com/your_government/police_department/index.php
clay township police department,michigan,township agencies,http://www.claytownship.org/departments/police/index.php
