name,state,dept_type,url
ada police department,minnesota,city agencies,https://www.adamn.gov/p/other/police-department
adrian police department,minnesota,city agencies,https://adrian.govoffice2.com/?SEC=DC0A1DAB-4F1E-4FBF-B42A-98A1083C01D3
aitkin county sheriff's office,minnesota,county agencies,https://www.co.aitkin.mn.us/departments/public-safety/public-safety.html
aitkin police department,minnesota,city agencies,https://www.ci.aitkin.mn.us/?SEC=9A352E58-C1EB-49DD-A6AA-A5ACD5738EF1
akeley police department,minnesota,city agencies,http://www.co.hubbard.mn.us/departments/sheriff/index.php
albany police department,minnesota,city agencies,https://ci.albany.mn.us/?SEC=DE30F08F-03DC-4FF7-A693-4065C187747E
albert lea police department,minnesota,city agencies,https://www.cityofalbertlea.org/police/
alexandria police department,minnesota,city agencies,https://alexandriamn.city/city-department/police-department/
annandale police department,minnesota,city agencies,http://www.annandalepolice.com/
anoka county sheriff's office,minnesota,county agencies,https://www.anokacounty.us/432/Sheriffs-Office
anoka police department,minnesota,city agencies,https://www.ci.anoka.mn.us/
appleton police department,minnesota,city agencies,https://www.appletonmn.com/police
apple valley police department,minnesota,city agencies,https://www.ci.apple-valley.mn.us/114/Police
arlington-green isle police department,minnesota,city agencies,https://www.arlingtonmn.com/city-departments/police/
atwater police department,minnesota,city agencies,http://www.atwaterminnesota.com/city%20government.html
austin police department,minnesota,city agencies,http://www.ci.austin.mn.us/police-department
avon police department,minnesota,city agencies,https://www.cityofavonmn.com/?SEC=49CCDC7D-FD58-4E24-AED7-0C3DCEF5CC7B
babbitt police department,minnesota,city agencies,https://www.babbitt-mn.com/police-department/police-department.html
bagley police department,minnesota,city agencies,https://www.bagleymn.us/?SEC=2A8C0838-A366-429F-A624-57A3B94ADC1A
barnesville police department,minnesota,city agencies,https://www.barnesvillemn.com/government/departments/police-department/
battle lake police department,minnesota,city agencies,https://ci.battle-lake.mn.us/?SEC=DB4536B0-8F1C-4BD0-9E83-32D62B5CC43D
baudette police department,minnesota,city agencies,https://www.ci.baudette.mn.us/police
baxter police department,minnesota,city agencies,https://www.baxtermn.gov/government/departments/police
bayport police department,minnesota,city agencies,https://www.ci.bayport.mn.us/?SEC=382579A3-E127-46A8-B870-2E4362E56F17
becker county sheriff's office,minnesota,county agencies,https://www.co.becker.mn.us/dept/sheriff/
becker police department,minnesota,city agencies,https://www.ci.becker.mn.us/164/Police-Department
belgrade police department,minnesota,city agencies,https://www.belgrademn.com/?SEC=870CDBE3-19A4-4B7A-828F-0B2498A00724
belle plaine police department,minnesota,city agencies,https://www.belleplainemn.com/police-department
beltrami county sheriff's office,minnesota,county agencies,http://www.co.beltrami.mn.us/Departments/Law%20enforcement/Sheriff.html
bemidji police department,minnesota,city agencies,https://www.ci.bemidji.mn.us/police
benson police department,minnesota,city agencies,https://www.bensonpolice.org/
benton county sheriff's office,minnesota,county agencies,https://www.co.benton.mn.us/170/Sheriff
big lake police department,minnesota,city agencies,https://www.biglakemn.org/155/Police-Department
big stone county sheriff's office,minnesota,county agencies,https://www.bigstonecounty.org/government/sheriff/index.php
bird island police department,minnesota,city agencies,https://www.mprnews.org/story/2012/08/02/ground-level-price-of-safety-disband
biwabik police department,minnesota,city agencies,https://www.cityofbiwabik.com/?SEC=B9132241-6DF2-4EFA-A030-03C875EF4E43
blaine police department,minnesota,city agencies,https://www.blainemn.gov/569/Police-Department
blooming prairie police department,minnesota,city agencies,https://www.bloomingprairie.com/?SEC=E51358FA-69ED-41AC-B5AA-291DC660E828
bloomington police department,minnesota,city agencies,https://www.bloomingtonmn.gov/pd/bloomington-police-department-bloomington-minnesota
blue earth county sheriff's office,minnesota,county agencies,http://www.blueearthcountymn.gov/1349/Sheriffs-Office
blue earth police department,minnesota,city agencies,http://www.becity.org/police-department/
bovey police department,minnesota,city agencies,https://cityofbovey.org/police-department
boyd police department,minnesota,city agencies,https://www.dawsonmn.com/police-department
braham police department,minnesota,city agencies,http://www.braham.com/departments/police/
brainerd police department,minnesota,city agencies,https://www.ci.brainerd.mn.us/218/Police-Department
breckenridge police department,minnesota,city agencies,https://www.breckenridgemn.net/police
breezy point police department,minnesota,city agencies,https://www.cityofbreezypointmn.us/?SEC=DB8FE46E-4C68-4AC1-9510-6002BCEC009D
breitung police department,minnesota,township agencies,https://www.breitungtownship.org/departments/police/
brooklyn center police department,minnesota,city agencies,https://www.cityofbrooklyncenter.org/index.aspx?NID=146
brooklyn park police department,minnesota,city agencies,https://www.brooklynpark.org/police-2/
brown county sheriff's office,minnesota,county agencies,https://www.co.brown.mn.us/sheriff-information
brownton police department,minnesota,city agencies,https://www.cityofbrownton.com/staff
buffalo lake police department,minnesota,city agencies,https://www.buffalolake.org/?SEC=75F8FF00-6BAD-4FC9-B07E-BCF0ABAB7F7E
buffalo police department,minnesota,city agencies,https://www.ci.buffalo.mn.us/police-department/
buhl police department,minnesota,city agencies,https://www.cityofbuhlmn.com/
burnsville police department,minnesota,city agencies,http://www.ci.burnsville.mn.us/124/Police
caledonia police department,minnesota,city agencies,https://www.caledoniamn.gov/city-government/city-departments/police-department/
callaway police department,minnesota,city agencies,https://www.callawaymn.com/?SEC=BCEE0AEF-867F-44E2-950D-7E932636B22D
cambridge police department,minnesota,city agencies,https://www.ci.cambridge.mn.us/your-government/departments/police
canby police department,minnesota,city agencies,https://canby.govoffice.com/?SEC=D167B149-B307-4ECE-AD44-62E6053992B2
cannon falls police department,minnesota,city agencies,https://www.cannonfallsmn.gov/police
carlton county sheriff's office,minnesota,county agencies,https://www.co.carlton.mn.us/261/Sheriffs-Office
carver county sheriff's office,minnesota,county agencies,https://www.co.carver.mn.us/departments/county-sheriff
cass county sheriff's office,minnesota,county agencies,http://www.co.cass.mn.us/services/law_enforcement_and_corrections/index.php
cass lake police department,minnesota,city agencies,http://www.llojibwe.org/lltpd/lltpd.html
champlin police department,minnesota,city agencies,https://ci.champlin.mn.us/police-department/
chaska police department,minnesota,city agencies,https://www.chaskamn.com/177/Police
chatfield police department,minnesota,city agencies,https://www.ci.chatfield.mn.us/police
chippewa county sheriff's office,minnesota,county agencies,https://www.co.chippewa.mn.us/190/Sheriff
chisago city police department,minnesota,city agencies,https://www.ci.chisago.mn.us/police
chisago county sheriff's office,minnesota,county agencies,https://www.chisagocounty.us/200/Sheriffs-Office
