name,state,dept_type,url
aberdeen police department,mississippi,city agencies,https://www.odmp.org/officer/190-officer-eric-king-wilson
ackerman police department,mississippi,city agencies,https://www.djournal.com/news/state-news/ackerman-police-officer-reprimanded-for-facebook-post-about-mentally-ill-man/article_914991f3-1337-50ac-9bf5-6d745693e1dd.html
adams county sheriff's office,mississippi,county agencies,http://www.adamscosheriff.org/inmate-roster/
alcoholic beverage control,mississippi,state agencies,https://www.dor.ms.gov/ABC/Pages/default.aspx
alcorn county sheriff's office,mississippi,county agencies,http://alcorncounty.org/sheriff.aspx
alcorn state university police department,mississippi,college and university agencies,https://www.alcorn.edu/campus-police
amite county sheriff's office,mississippi,county agencies,http://www.amitecounty.ms/sheriff
amory police department,mississippi,city agencies,http://www.cityofamoryms.com/departments/police-department/
ashland police department,mississippi,city agencies,https://www.ashland.ms/
attala county sheriff's office,mississippi,county agencies,http://www.attalacounty.net/sheriff
baldwyn police department,mississippi,city agencies,http://www.baldwynliving.com/officials/
bassfield police department,mississippi,city agencies,https://batesvillepd.com/
batesville police department,mississippi,city agencies,https://batesvillepd.com/
bay saint louis police department,mississippi,city agencies,https://baystlouis-ms.gov/police-department/
bay springs police department,mississippi,city agencies,https://www.cityofbaysprings.com/
belmont police department,mississippi,city agencies,https://www.tishso.org/press_view.php?id=168
belzoni police department,mississippi,city agencies,https://caselaw.findlaw.com/ms-supreme-court/1595481.html
benton county sheriff's office,mississippi,county agencies,http://bentoncountyms.gov/officials.html
biloxi police department,mississippi,city agencies,https://biloxi.ms.us/departments/police-department/
bolivar county sheriff's office,mississippi,county agencies,https://www.co.bolivar.ms.us/sheriff
booneville police department,mississippi,city agencies,http://prentisscountymssheriff.com/
brandon police department,mississippi,city agencies,https://www.brandonms.org/departments/police-department/
brookhaven police department,mississippi,city agencies,https://brookhaven-ms.gov/contact/contact-police/
bruce police department,mississippi,city agencies,https://www.wtva.com/content/news/Bruce-hires-new-police-chief-462203443.html
bude police department,mississippi,city agencies,https://www.usacops.com/ms/p39630/index.html
burnsville police department,mississippi,city agencies,http://www.burnsvillems.com/id6.html
byhalia police department,mississippi,city agencies,https://www.linkedin.com/company/byhalia-police-department
byram police department,mississippi,city agencies,http://police.byram-ms.us/
calhoun city police department,mississippi,city agencies,https://www.wtva.com/content/news/Calhoun-City-Appoints-New-Police-Chief-491790651.html
calhoun county sheriff's office,mississippi,county agencies,http://www.calhounso.org/page.php?id=7
canton police department,mississippi,city agencies,https://www.clarionledger.com/story/news/local/2019/09/05/madison-county-sheriff-deputy-shot-in-canton-mississippi/2219585001/
carroll county sheriff's office,mississippi,county agencies,https://carrollcountyms.org/county-officials/
carthage police department,mississippi,city agencies,http://cityofcarthage.org/html/departments.html
centreville police department,mississippi,city agencies,https://townofcentrevillems.org/police-department
charleston police department,mississippi,city agencies,https://www.tallahatchienews.ms/front-page-slideshow-news/two-charleston-police-officers-graduate-state-training-academy
chickasaw county sheriff's office,mississippi,county agencies,http://www.chickasawcoms.com/sheriff/
choctaw county sheriff's office,mississippi,county agencies,https://www.clarionledger.com/story/news/2018/11/29/mississippi-woman-jailed-ninety-six-days-without-seeing-judge/2152423002/
claiborne county sheriff's office,mississippi,county agencies,https://en.wikipedia.org/wiki/Claiborne_County_Sheriff%27s_Office_(Mississippi)
clarke county sheriff's office,mississippi,county agencies,https://www.usacops.com/ms/s39355/
clarksdale police department,mississippi,city agencies,https://www.cityofclarksdale.org/police-department-2/
clay county sheriff's office,mississippi,county agencies,http://www.claysheriffms.org/roster.php
cleveland police department,mississippi,city agencies,https://www.cityofclevelandms.com/165/Police-Department
clinton police department,mississippi,city agencies,https://www.clintonms.org/departments/services/police
coahoma county sheriff's office,mississippi,county agencies,http://www.coahomacountysheriff.com/
coffeeville police department,mississippi,city agencies,https://www.usacops.com/ms/p38922/index.html
coldwater police department,mississippi,city agencies,https://www.commercialappeal.com/story/news/2020/01/25/officer-shot-north-mississippi-released-hospital/4575157002/
collins police department,mississippi,city agencies,https://cityofcollins.com/departments/police/
columbia police department,mississippi,city agencies,http://www.cityofcolumbiams.com/departments/
columbus police department,mississippi,city agencies,https://www.thecityofcolumbusms.org/departments/police-department
como police department,mississippi,city agencies,http://como.panolams.com/departments/police-department/
copiah county sheriff's office,mississippi,county agencies,http://copiahcounty.org/?page_id=15
corinth police department,mississippi,city agencies,http://cityofcorinthms.com/departments/police/
covington county sheriff's office,mississippi,county agencies,https://www.covingtoncountyms.gov/government/sheriff
crenshaw police department,mississippi,city agencies,https://www.odmp.org/agency/872-crenshaw-police-department-mississippi
criminal investigations division,mississippi,state agencies,https://www.police.msstate.edu/divisions/investigations
crystal springs police department,mississippi,city agencies,http://cityofcrystalsprings.com/departments/police/
decatur police department,mississippi,city agencies,http://www.decaturms.org/departments/police/
dekalb police department,mississippi,city agencies,https://www.kempercountysheriff.com/
de soto county sheriff's office,mississippi,county agencies,https://www.desotocountyms.gov/223/Sheriffs-Department
drew police department,mississippi,city agencies,https://www.odmp.org/agency/1049-drew-police-department-mississippi
durant police department,mississippi,city agencies,https://www.linkedin.com/company/durant-police-dept
edwards police department,mississippi,city agencies,http://www.townofedwards.com/services.htm
ellisville police department,mississippi,city agencies,https://www.ellisville.mo.us/140/Police-Department
eupora police department,mississippi,city agencies,https://www.odmp.org/officer/21854-corporal-keith-a-crenshaw
fayette police department,mississippi,city agencies,http://www.fayettems.com/police-department
flora police department,mississippi,city agencies,http://www.florams.com/city-government/
florence police department,mississippi,city agencies,https://cityofflorencems.com/police
flowood police department,mississippi,city agencies,https://www.cityofflowood.com/flowood-police-department
forest police department,mississippi,city agencies,https://cityofforest.com/home/departments/police-department/
forrest county sheriff's office,mississippi,county agencies,https://forrestcountyms.us/?page_id=158
franklin county sheriff's office,mississippi,county agencies,https://www.fcsheriff.org/
friars point police department,mississippi,city agencies,https://www.newsbreak.com/mississippi/friars-point
fulton police department,mississippi,city agencies,http://fulton.itawambams.com/police/
gautier police department,mississippi,city agencies,http://www.gautier-ms.gov/police-department
george county sheriff's office,mississippi,county agencies,http://www.georgecountymssheriff.com/
gloster police department,mississippi,city agencies,http://themississippilink.com/2013/06/12/mayor-police-chief-still-feuding-in-gloster/
golden police department,mississippi,city agencies,https://www.cityofgolden.net/government/departments-divisions/police/
goodman police department,mississippi,city agencies,https://www.odmp.org/officer/15447-assistant-chief-emma-mae-horton
greene county sheriff's office,mississippi,county agencies,http://www.greenecountyms.gov/sheriff
greenville police department,mississippi,city agencies,https://www.greenvillems.org/police-department
greenwood police department,mississippi,city agencies,https://www.greenwoodms.com/emergency/police-department
grenada county sheriff's office,mississippi,county agencies,http://www.grenadacountysheriff.org/page.php?id=2
grenada police department,mississippi,city agencies,http://www.cityofgrenada.net/government/departments/police-department
gulfport police department,mississippi,city agencies,http://www.gulfportpolice.net/
guntown police department,mississippi,city agencies,https://www.wtva.com/content/video/566360742.html
hancock county sheriff's office,mississippi,county agencies,http://www.hancockso.com/
harrison county sheriff's department,mississippi,county agencies,https://mscoastchamber.com/list/member/harrison-county-sheriff-s-office-1393
