name,state,dept_type,url
adair county sheriff's office,missouri,county agencies,https://adaircountymissouri.com/adair-county-sheriff/
adrian police department,missouri,city agencies,https://adriancity.com/services/police/
advance police department,missouri,city agencies,https://ago.mo.gov/divisions/litigation/police-and-sheriffs-contacts?pd=a
albany police department,missouri,city agencies,https://www.albanymo.net/
alba police department,missouri,city agencies,https://www.50states.com/missouri/police_departments.htm
allendale police department,missouri,city agencies,https://www.allendalepd.org/
anderson police department,missouri,city agencies,http://andersonpd.us/
andrew county sheriff's office,missouri,county agencies,https://www.andrewcountysheriff.org/
appleton city police department,missouri,city agencies,https://acmogov.com/police-department
arnold police department,missouri,city agencies,https://www.arnoldmo.org/government/police/
ash grove police department,missouri,city agencies,https://www.ashgrovemo.gov/vnews/display.v/SEC/City%20Information%7CCity%20Departments%20and%20Members
ashland police department,missouri,city agencies,http://www.ashlandmo.us/department/index.php
atchison county sheriff's office,missouri,county agencies,https://www.countyoffice.org/atchison-county-sheriffs-department-atchinson-county-jail-rock-port-mo-f63/
audrain county sheriff's office,missouri,county agencies,https://www.audrainsheriff.com/
aurora police department,missouri,city agencies,https://www.aurora-cityhall.org/1177/Aurora-Marionville-Police-Departments
ava police department,missouri,city agencies,http://avapolice.org/
ballwin police department,missouri,city agencies,https://www.ballwin.mo.us/Police
barry county sheriff's office,missouri,county agencies,http://www.barrycountysheriff.com/
barton county sheriff's office,missouri,county agencies,https://bcmosheriff.wordpress.com/
bates city police department,missouri,city agencies,http://www.batescity.net/police.html
bates county sheriff's office,missouri,county agencies,https://www.batescountysheriff.com/
bella vista police department,missouri,city agencies,https://www.bellavistaar.gov/government/departments/police.php
bell city police department,missouri,city agencies,http://www.cityofbell.org/?navid=106
bellefontaine neighbors police department,missouri,city agencies,https://www.cityofbn.com/departments/police
bellflower police department,missouri,city agencies,https://www.bellflower.org/depts/safety/default.asp
bel-nor police department,missouri,city agencies,https://www.cityofbelnor.org/
bel-ridge police department,missouri,city agencies,http://www.bel-ridge.us/departments/police/index.php
belton police department,missouri,city agencies,https://www.belton.org/Government/Departments/Police-Department
benton county sheriff's office,missouri,county agencies,https://www.bentoncountysheriffmo.org/
berkeley hills police department,missouri,city agencies,https://www.cityofberkeley.us/department/index.php?structureid=19
berkeley police department,missouri,city agencies,https://www.cityofberkeley.us/department/index.php?structureid=19
bernie police department,missouri,city agencies,https://standard-democrat.com/story/2573918.html
bethany police department,missouri,city agencies,https://www.bethanymo.com/pView.aspx?id=1952&catid=25
beverly hills police department,missouri,city agencies,https://www.theguardian.com/us-news/2015/apr/22/beverly-hills-missouri-police-ferguson
billings police department,missouri,city agencies,http://billingsmo.com/
birmingham police department,missouri,city agencies,https://police.birminghamal.gov/
bismarck police department,missouri,city agencies,https://www.kfyrtv.com/content/news/Burleigh-County-Dive-Rescue-and-Recovery-searching-car-in-the-Missouri-River--571353851.html
bland police department,missouri,city agencies,http://www.disastercenter.com/missouri/crime/index.html
bloomfield police department,missouri,city agencies,https://www.newbloomfieldmo.com/pView.aspx?id=5556&catid=575
blue springs police department,missouri,city agencies,https://www.bluespringsgov.com/341/Police-Department
blue springs school district department of public safety,missouri,"college, university, and other school agencies",https://www.bssd.net/o_u_r_d_i_s_t_r_i_c_t/about_bssd/district_departments/dept__of_public_safety
bolivar police department,missouri,city agencies,http://bolivar.mo.us/police-department-2/
bollinger county sheriff's office,missouri,county agencies,https://www.bollingercountysheriffsoffice.com/
bonne terre police department,missouri,city agencies,https://bonneterre.net/city-departments/police/
boone county sheriff's office,missouri,county agencies,https://www.boonecountymo.org/sheriff/
booneville police department,missouri,city agencies,https://boonvillemo.org/city-departments/public-safety/
bourbon police department,missouri,city agencies,https://www.stltoday.com/news/local/crime-and-courts/bourbon-police-officer-shoots-kills-man-after-pursuit-into-crawford-county/article_b56a7324-2a9e-5690-ba76-c16474c0507e.html
bowling green police department,missouri,city agencies,https://www.bowlinggreen-mo.gov/police-department/
branson police department,missouri,city agencies,http://www.cityofbranson.org/216/Police
braymer police department,missouri,city agencies,https://www.caldwellco.missouri.org/braymer/
breckenridge hills police department,missouri,city agencies,http://www.breckenridgehills.org/police.html
brentwood police department,missouri,city agencies,https://www.brentwoodmo.org/13/Police
bridgeton police department,missouri,city agencies,https://www.bridgetonmo.com/396/Police
brookfield police department,missouri,city agencies,http://brookfieldcity.com/index.aspx?nid=187
browning police department,missouri,city agencies,https://www.usacops.com/mo/p64630/index.html
brunswick police department,missouri,city agencies,http://brunswickmo.com/residents/city-of-brunswick/
buchanan county sheriff's office,missouri,county agencies,https://www.co.buchanan.mo.us/196/Sheriffs-Office
buckner police department,missouri,city agencies,https://cityofbuckner.org/
buffalo police department,missouri,city agencies,http://www.buffalomissouri.us/police-department/
butler county sheriff's office,missouri,county agencies,https://www.bcsheriff.com/
butler police department,missouri,city agencies,https://www.odmp.org/officer/9609-city-marshal-j-h-morgan
byrnes mill police department,missouri,city agencies,https://www.byrnesmill.org/2157/Police-Department
cabool police department,missouri,city agencies,https://www.usacops.com/mo/p65689/index.html
caldwell county sheriff's office,missouri,county agencies,https://www.caldwellco.missouri.org/sheriffs-office/
california police department,missouri,city agencies,https://www.cityofcalifornia.net/
callaway county sheriff's office,missouri,county agencies,https://callawaysheriff.org/
calverton park police department,missouri,city agencies,http://www.calvertonparkmo.com/city-departments/police
camden county sheriff's office,missouri,county agencies,https://www.camdencountymosheriff.org/
camdenton police department,missouri,city agencies,https://www.camdencountymosheriff.org/contact.php
cameron police department,missouri,city agencies,http://www.cameron-mo.com/80/Police-Department
cape girardeau county sheriff's office,missouri,county agencies,https://www.capecountysheriff.org/roster_choose.php
carroll county sheriff's office,missouri,county agencies,http://www.carrollcomo.org/visitors/sheriff_s_department.php
carter county sheriff's office,missouri,county agencies,https://www.cartercountymosheriff.org/page.php?id=11
carthage police department,missouri,city agencies,https://carthagemo.gov/?SEC=CB86E1B0-2622-494D-BC79-002DBE39D0FE
cass county sheriff's office,missouri,county agencies,http://www.cassmosheriff.org/
cassville police department,missouri,city agencies,http://www.cityofcassville.com/departments/police_department/index.php
cedar county sheriff's office,missouri,county agencies,http://www.cedarcountymo.gov/sheriff
chariton county sheriff's office,missouri,county agencies,https://dps.mo.gov/dir/programs/cvsu/counties/chariton.php
charleston police department,missouri,city agencies,http://charlestondps.org/
chesterfield police department,missouri,city agencies,https://www.chesterfield.mo.us/police.html
chillicothe police department,missouri,city agencies,http://www.chillicothepolice.org/
christian county sheriff's office,missouri,county agencies,https://www.christiancountysheriff.net/
clark county sheriff's office,missouri,county agencies,https://nemonews.net/tag/arrest/
claycomo police department,missouri,city agencies,https://claycomo.org/
clay county sheriff's office,missouri,county agencies,https://www.claymosheriff.org/index.html
clayton police department,missouri,city agencies,https://www.claytonmo.gov/government/police
clinton county sheriff's office,missouri,county agencies,http://sheriff.clintoncomo.org/
cole county sheriff's office,missouri,county agencies,https://www.colecounty.org/220/Sheriffs-Office
columbia police department,missouri,city agencies,https://www.como.gov/police/
cooper county sheriff's department,missouri,county agencies,http://www.coopermosheriff.com/
country club hills police department,missouri,city agencies,https://countryclubhills.org/departments-services/police-department/
crawford county sheriff's office,missouri,county agencies,http://crawfordcountymo.net/index_files/Page909.htm
crocker police department,missouri,city agencies,https://www.meramecregion.org/about-the-meramec-region/counties-cities/crocker/
dade county sheriff's office,missouri,county agencies,https://dps.mo.gov/dir/programs/cvsu/counties/dade.php
dallas county sheriff's office,missouri,county agencies,https://dcsomo.com/
daviess county sheriff's office,missouri,county agencies,https://dps.mo.gov/dir/programs/cvsu/counties/daviess.php
dekalb county sheriff's office,missouri,county agencies,https://www.dekalbcountysheriffsoffice.com/
de soto police department,missouri,city agencies,https://desotomo.com/law-enforcement/
doniphan police department,missouri,city agencies,https://www.theprospectnews.com/
douglas county sheriff's office,missouri,county agencies,http://dcsosheriff.com/
dunklin county sheriff's office,missouri,county agencies,https://dunklincounty.org/2168/Dunklin-County-Sheriffs-Office
eastborough police department,missouri,city agencies,http://www.eastborough-ks.gov/police/index.php
east prairie police department,missouri,city agencies,https://www.eastprairiemo.net/police-department
edmundson police department,missouri,city agencies,https://www.cityofedmundson.com/departments/police-department
edwardsville police department,missouri,city agencies,https://edwardsvilleks.org/160/Police-Department
eureka police department,missouri,city agencies,https://www.eureka.mo.us/249/Police
excelsior springs police department,missouri,city agencies,http://www.espolice.com/
fair grove police department,missouri,city agencies,http://www.fairgrove.org/police-department.html
ferguson police department,missouri,city agencies,https://www.fergusoncity.com/92/Police-Department
flordell hills police department,missouri,city agencies,https://flordell.com/
florissant police department,missouri,city agencies,https://www.florissantmo.com/police/
franklin county sheriff's office,missouri,county agencies,https://franklincountymosheriff.com/
frontenac police department,missouri,city agencies,https://www.cityoffrontenac.org/department/index.php?structureid=17
garden city police department,missouri,city agencies,https://www.kansascity.com/news/nation-world/national/article221944200.html
gasconade county sheriff's office,missouri,county agencies,https://www.gcsomo.org/
gentry county sheriff's office,missouri,county agencies,https://dps.mo.gov/dir/programs/cvsu/counties/gentry.php
gladstone police department,missouri,city agencies,https://www.gladstone.mo.us/PublicSafety/police.php
grain valley police department,missouri,city agencies,https://www.cityofgrainvalley.org/departments/police/
greene county sheriff's office,missouri,county agencies,https://greenecountymo.gov/sheriff/
grundy county sheriff's office,missouri,county agencies,https://www.grundycountymo.com/sheriff.php
hanley hills police department,missouri,city agencies,https://ecode360.com/30041769
harrison county sheriff's office,missouri,county agencies,https://www.harrisoncountysheriffmo.org/contact.php
hawk point police department,missouri,city agencies,https://www.odmp.org/officer/20510-chief-of-police-paul-jeffrey-fricke
hazelwood police department,missouri,city agencies,http://hazelwoodmo.org/155/Police-Department
henry county sheriff's office,missouri,county agencies,http://www.hcsomo.com/
hickory county sheriff's office,missouri,county agencies,https://hickorycomo.com/?q=node/83
hillsdale police department,missouri,city agencies,"https://en.wikipedia.org/wiki/Hillsdale,_Missouri"
holt county sheriff's office,missouri,county agencies,http://holtcounty.org/index.php/sheriff/
howard county sheriff's office,missouri,county agencies,http://hocomosheriff.com/
howell county sheriff's office,missouri,county agencies,http://www.howellcountysheriff.org/
independence police department,missouri,city agencies,https://www.ci.independence.mo.us/ipd/
iron county sheriff's office,missouri,county agencies,https://www.icsomo.org/page.php?id=2
jackson county department of corrections,missouri,county agencies,https://www.jacksongov.org/201/Corrections
jackson county park rangers (missouri),missouri,county agencies,https://www.jacksongov.org/961/Keeping-County-Parks-Safe
jackson county sheriff's office,missouri,county agencies,https://www.jacksoncountysheriff.org/
jasper county sheriff's office,missouri,county agencies,http://www.jaspercountysheriff.org/
jefferson city police department,missouri,city agencies,https://www.jeffersoncitymo.gov/government/police.php
jefferson county sheriff's office,missouri,county agencies,https://www.jcsd.org/
johnson county sheriff's office,missouri,county agencies,https://www.jocomosheriff.org/roster.php
jonesburg police department,missouri,city agencies,https://jonesboropolice.com/
joplin police department,missouri,city agencies,https://www.joplinmo.org/163/Police-Department
kahoka police department,missouri,city agencies,http://cityofkahoka.com/
kansas city missouri airport police department,missouri,"college, university, and other school agencies",https://www.kcur.org/government/2018-11-25/the-kansas-city-police-department-is-already-preparing-for-a-new-airport
kansas city police department,missouri,city agencies,https://www.kcpd.org/
kirksville police department,missouri,city agencies,http://www.kirksvillecity.com/police
kirkwood police department,missouri,city agencies,https://www.kirkwoodmo.org/government/departments/police
knox county sheriff's office,missouri,county agencies,https://www.knoxcountymo.org/
laclede county sheriff's office,missouri,county agencies,http://lacledecountysheriff.org/
ladue police department,missouri,city agencies,https://www.cityofladue-mo.gov/departments/police-department-133
lafayette county sheriff's office,missouri,county agencies,http://lcsheriff.com/
lake lotawana police department,missouri,city agencies,https://www.lakelotawana.org/police-department.html
lakeshire police department,missouri,city agencies,http://lakeshiremo.com/police-department/
lake winnebago police department,missouri,city agencies,https://cityoflakewinnebago.com/departments/police-department/
lawrence county sheriff's office,missouri,county agencies,https://www.lawrencecosheriff.com/
lee's summit police department,missouri,city agencies,https://cityofls.net/police-department
lewis county sheriff's office,missouri,county agencies,http://lewiscosheriff.org/
liberty police department,missouri,city agencies,https://www.libertymissouri.gov/55/Police
licking police department,missouri,city agencies,http://lickingmo.org/police.html
lincoln county sheriff's office,missouri,county agencies,https://lcsomo.com/
linn county sheriff's office,missouri,county agencies,https://www.linnsheriff.org/
livingston county sheriff's office,missouri,county agencies,https://www.livcoso.org/roster_choose.php
lone jack police department,missouri,city agencies,https://lonejackmo.org/city-lone-jack-police-department/
macon county sheriff's office,missouri,county agencies,https://www.maconcountymo.com/sheriffs-department.html
madison county sheriff's office,missouri,county agencies,https://madisoncountymo.us/
manchester police department,missouri,city agencies,https://www.manchestermo.gov/160/Police
maplewood police department,missouri,city agencies,https://www.cityofmaplewood.com/87/Police-Department
maries county sheriff's office,missouri,county agencies,https://www.usacops.com/mo/s65582/index.html
marion county sheriff's office,missouri,county agencies,http://mcsomo.com/
mcdonald county sheriff's office,missouri,county agencies,http://www.mcdonaldcountysheriff.com/
mercer county sheriff's office,missouri,county agencies,http://www.mercercoso.org/staff.html
miller county sheriff's office,missouri,county agencies,https://www.millercountysheriff.org/contact-us
mississippi county sheriff's office,missouri,county agencies,https://standard-democrat.com/story/2586787.html
missouri department of conservation,missouri,state agencies,https://mdc.mo.gov/
missouri department of corrections,missouri,state agencies,https://web.mo.gov/doc/offSearchWeb/
missouri department of natural resources,missouri,state agencies,https://dnr.mo.gov/
missouri department of public safety,missouri,state agencies,https://dps.mo.gov/
missouri gaming commission,missouri,state agencies,https://www.mgc.dps.mo.gov/
missouri homeland security,missouri,state agencies,https://dps.mo.gov/dir/programs/ohs/
missouri state capitol police,missouri,state agencies,https://mcp.dps.mo.gov/
missouri state emergency management agency,missouri,state agencies,https://sema.dps.mo.gov/
missouri state fire marshal investigation unit,missouri,state agencies,https://dfs.dps.mo.gov/
missouri state highway patrol,missouri,state agencies,https://www.mshp.dps.missouri.gov/
missouri state marshal,missouri,state agencies,https://en.wikipedia.org/wiki/Missouri_State_Marshal
missouri state park rangers,missouri,state agencies,https://mostateparks.com/rangers
moline acres police department,missouri,city agencies,https://www.kmov.com/news/man-charged-in-moline-acres-quadruple-shooting-that-killed-19-year-old/article_aa2d3e86-1d9b-11ea-9e91-d77ad603baf2.html
moniteau county sheriff's office,missouri,county agencies,https://moniteaucountysheriffsoffice.com/
monroe county sheriff's office,missouri,county agencies,http://monroecountysheriffsoffice.com/
montgomery city police department,missouri,city agencies,https://www.montgomerycitymo.org/?SEC=ED18D9AC-D9EF-4A70-99C8-EF11B81F2BF6
montgomery county sheriff's office,missouri,county agencies,http://mcmo.us/departments/sheriffs-office/
morgan county sheriff's office,missouri,county agencies,http://www.morgancountymoso.org/
mount vernon police department,missouri,city agencies,http://www.mtvernon-cityhall.org/index.cfm?content=31
nevada police department,missouri,city agencies,https://nevadamo.gov/departments/police-department/
new madrid county sheriff's office,missouri,county agencies,https://dps.mo.gov/dir/programs/cvsu/counties/new-madrid.php
newton county sheriff's office,missouri,county agencies,https://www.nc-so.org/
nixa police department,missouri,city agencies,https://www.nixa.com/departments/police-department
nodaway county sheriff's office,missouri,county agencies,https://www.nwmissourinews.com/news/article_b60292a6-37fe-11ea-bebb-373fdcf870d8.html
normandy police department,missouri,city agencies,https://www.cityofnormandy.gov/187/Police-Department
north kansas city police department,missouri,city agencies,http://www.nkc.org/departments/police
north woods police department,missouri,city agencies,https://cityofnorthwoods.com/northwoods-pd/
oakview police department,missouri,city agencies,https://oakviewmissouri.com/
o'fallon police department,missouri,city agencies,https://www.ofallon.mo.us/pd
old monroe police department,missouri,city agencies,https://www.kmov.com/news/lincoln-county-police-chief-indicted-on-charges-of-exploitation-of-the-elderly/article_b4c28adc-e938-11e9-bf06-8725c229498b.html
oregon county sheriff's office,missouri,county agencies,http://www.oregoncountysheriff.org/
osage county sheriff's office,missouri,county agencies,http://www.osagecountygov.com/county_offices/county_sheriff/index.php
ozark county sheriff's office,missouri,county agencies,https://www.ky3.com/content/news/Ozark-County-Sheriffs-Office-seeks-two-wanted-men-567297841.html
pacific police department,missouri,city agencies,https://www.pacificmissouri.com/152/Police
pagedale police department,missouri,city agencies,https://www.cityofpagedale.com/
parkville police department,missouri,city agencies,http://parkvillemo.gov/departments/police-dept/
parma police department,missouri,city agencies,http://www.cityofparmapolice.com/
peculiar police department,missouri,city agencies,https://www.cityofpeculiar.com/pview.aspx?id=6745&catid=585
pemiscot county sheriff's office,missouri,county agencies,http://www.pemiscotcounty.org/sheriff/
perry county sheriff's office,missouri,county agencies,https://perrycountymo.us/92/Sheriffs-Department
pettis county sheriff's office,missouri,county agencies,https://www.pettiscountysheriff.com/
phelps county sheriff's office,missouri,county agencies,https://www.phelpscountysd.org/
pike county sheriff's office,missouri,county agencies,http://www.pikecountymo.net/sheriff-s-office.html
pine lawn police department,missouri,city agencies,https://pinelawn.org/
platte city police department,missouri,city agencies,https://www.kcpd.org/
platte county sheriff's office,missouri,county agencies,https://www.plattesheriff.org/
platte woods police department,missouri,city agencies,https://www.cityofplattewoods.org/police-department-1
pleasant hill police department,missouri,city agencies,https://www.pleasanthill.com/police
pleasant valley police department,missouri,city agencies,http://www.pleasantvalleymo.org/CityDepartments/PoliceDepartment.aspx
polk county sheriff's office,missouri,county agencies,http://www.polkcountymosheriff.org/
poplar bluff police department,missouri,city agencies,https://www.pbpolice.org/
protection division,missouri,state agencies,https://ago.mo.gov/civil-division/consumer
pulaski county sheriff's department,missouri,county agencies,https://www.pcsheriff2.com/
putnam county sheriff's office,missouri,county agencies,http://www.unionvillemo.org/community_information/law/index.php
ralls county sheriff's office,missouri,county agencies,https://www.rallscountymo.net/sheriff
randolph county sheriff's office,missouri,county agencies,http://www.randolphcountysheriffmo.com/home.html
ray county sheriff's office,missouri,county agencies,https://raycountymo.com/
raymore police department,missouri,city agencies,http://www.raymore.com/Police
raytown police department,missouri,city agencies,https://www.raytownpolice.org/
reynolds county sheriff's office,missouri,county agencies,https://dps.mo.gov/dir/programs/cvsu/counties/reynolds.php
richland police department,missouri,city agencies,http://www.richlandpolice.net/
ripley county sheriff's office,missouri,county agencies,http://www.ripleycounty.com/sheriff/arrestlist.htm
riverside police department,missouri,city agencies,https://www.riversidemo.com/police
rock hill police department,missouri,city agencies,https://www.rockhillmo.net/police-department
rolla police department,missouri,city agencies,https://www.rollacity.org/police/
saint ann police department,missouri,city agencies,https://www.stannmo.org/131/Police-Department
saint charles county police department,missouri,county agencies,https://www.sccmo.org/406/Police
saint charles county sheriff's office,missouri,county agencies,https://www.sccmo.org/1421/Sheriff
saint clair county sheriff's office,missouri,county agencies,https://www.scsomo.org/page.php?id=14
saint francois county sheriff's office,missouri,county agencies,https://sfcgov.org/sheriff/
saint genevieve county sheriff's office,missouri,county agencies,https://www.sgcso.com/
saint joseph police department,missouri,city agencies,https://www.stjoemo.info/580/Police-Department
saint louis county police department,missouri,county agencies,https://www.stlouiscountypolice.com/
saline county sheriff's office,missouri,county agencies,https://www.salinecountysheriff.com/jail
