name,state,dept_type,url
,nevada,law enforcement in nevada,http://nv.gov/
agriculture enforcement division,nevada,state agencies,http://agri.nv.gov/
boulder city police department,nevada,city agencies,https://www.bcnv.org/248/Police-Department
boulder township constable,nevada,township agencies,http://www.clarkcountynv.gov/constable/boulder/Pages/default.aspx
bunkerville township constable,nevada,township agencies,https://www.clarkcountynv.gov/constable/Pages/default.aspx
capitol police,nevada,state agencies,https://capitolpolice.nv.gov/
carlin police department,nevada,city agencies,http://www.explorecarlinnv.com/departments/police_department/index.php
carson city sheriff's office,nevada,county agencies,https://www.carson.org/government/departments-g-z/sheriff-s-office
churchill county sheriff's office,nevada,county agencies,http://www.churchillcounty.org/170/Sheriffs-Office
city of las vegas court marshals,nevada,city agencies,https://www.lasvegasnevada.gov/Government/Departments/Public-Safety
city of las vegas department of public safety,nevada,city agencies,https://www.lasvegasnevada.gov/Government/Departments/Public-Safety
city of las vegas deputy city marshals,nevada,city agencies,https://www.lasvegasnevada.gov/Government/Departments/Public-Safety
clark county constable,nevada,county agencies,http://www.clarkcountynv.gov/constable/Pages/default.aspx
clark county marshals division,nevada,county agencies,https://www.usmarshals.gov/district/nv/
clark county park police,nevada,county agencies,https://www.clarkcountynv.gov/administrative-services/park-police/Pages/default.aspx
clark county school district police department,nevada,educational agencies,https://ccsd.net/departments/police-services
college of southern nevada police department,nevada,educational agencies,https://www.csn.edu/csn-police-department
douglas county sheriff's department,nevada,county agencies,https://sheriff.douglascountynv.gov/
elko county sheriff's office,nevada,county agencies,https://www.elkocountynv.net/departments/sheriff/index.php
elko police department,nevada,city agencies,https://ci.elko.nv.us/departments/police_department/index.php
ely police department,nevada,city agencies,https://www.odmp.org/agency/1164-ely-police-department-nevada
esmeralda county sheriff's office,nevada,county agencies,https://www.accessesmeralda.com/county_offices/sheriff.php
eureka county sheriff's office,nevada,county agencies,http://www.co.eureka.nv.us/ecso/
fallon police department,nevada,city agencies,https://www.fallonnevada.gov/residents/police-fire/
goodsprings township constable,nevada,township agencies,https://www.clarkcountynv.gov/constable/Pages/default.aspx
henderson police department,nevada,city agencies,https://www.cityofhenderson.com/police/home
henderson township constable,nevada,township agencies,https://www.clarkcountynv.gov/constable/henderson/Pages/default.aspx
highway patrol,nevada,state agencies,https://nhp.nv.gov/
humboldt county sheriff's office,nevada,county agencies,http://www.hcsonv.com/
investigation division,nevada,state agencies,http://id.dps.nv.gov/
lander county sheriff's office,nevada,county agencies,https://www.landerso.org/
las vegas constable,nevada,township agencies,http://www.clarkcountynv.gov/constable/lasvegas/Pages/default.aspx
las vegas metropolitan police department,nevada,joint jurisdiction/city-county agencies,https://www.lvmpd.com/
laughlin township constable,nevada,township agencies,http://laughlinconstable.org/Home_Page.html
law enforcement division,nevada,state agencies,http://www.ndow.org/Our_Agency/Divisions/Law_Enforcement/
legislative police,nevada,state agencies,https://www.leg.state.nv.us/App/Police/A/
lincoln county sheriff's office,nevada,county agencies,https://lincolncountynv.org/departments/sheriffs-office/
lovelock police department,nevada,city agencies,https://cityoflovelock.com/
lyon county sheriff's office,nevada,county agencies,https://www.lyon-county.org/17/Sheriff
mesquite constable,nevada,city agencies,http://www.clarkcountynv.gov/constable/mesquite/Pages/default.aspx
mesquite police department,nevada,city agencies,https://www.mesquitenv.gov/departments/police
mesquite township constable,nevada,township agencies,http://www.clarkcountynv.gov/constable/mesquite/Pages/default.aspx
mineral county sheriff's office,nevada,county agencies,http://mineral.nv.gov/government/sheriff_s_office.php
moapa township constable,nevada,township agencies,https://www.clarkcountynv.gov/constable
moapa valley township constable,nevada,township agencies,https://www.clarkcountynv.gov/constable
nevada department of agricultural,nevada,state agencies,http://agri.nv.gov/
nevada department of conservation and natural resources,nevada,state agencies,http://dcnr.nv.gov/
nevada department of corrections,nevada,state agencies,http://doc.nv.gov/
nevada department of public safety,nevada,state agencies,https://dps.nv.gov/
nevada department of wildlife,nevada,state agencies,http://www.ndow.org/
nevada gaming control board,nevada,state agencies,https://gaming.nv.gov/
nevada taxicab authority,nevada,state agencies,http://taxi.nv.gov/
north las vegas constable,nevada,city agencies,http://www.clarkcountynv.gov/constable/north-lasvegas
north las vegas police department,nevada,city agencies,http://www.cityofnorthlasvegas.com/departments/police/
north las vegas township constable,nevada,township agencies,http://www.clarkcountynv.gov/constable/north-lasvegas/Pages/default.aspx
nye county sheriff's office,nevada,county agencies,https://www.nyecounty.net/109/Sheriff
parole and probation,nevada,state agencies,http://npp.dps.nv.gov/
pershing county sheriff's office,nevada,county agencies,http://www.pershingcounty.net/government/sheriff_s_office/index.php
police officers,nevada,law enforcement in nevada,https://www.lvmpd.com/
pyramid lake tribal police,nevada,tribal agencies,http://plpt.nsn.us/
reno police department,nevada,city agencies,https://www.renopd.com/
reno sparks indian colony tribal police,nevada,tribal agencies,http://www.rsic.org/tribal-police/
searchlight township constable,nevada,township agencies,https://www.clarkcountynv.gov/election/Pages/Constable.aspx
sparks police department,nevada,city agencies,http://sparkspolice.com/
state corrections & city/county detention,nevada,law enforcement in nevada,http://doc.nv.gov/Inmates/Home/
state fire marshal,nevada,state agencies,https://fire.nv.gov/
state parks division,nevada,state agencies,http://parks.nv.gov/
storey county sheriff's office,nevada,county agencies,http://www.storeycounty.org/313/Sheriff
taxicab authority officers,nevada,law enforcement in nevada,http://taxi.nv.gov/
truckee meadows community college police department,nevada,educational agencies,https://www.tmcc.edu/police
union pacific police department,nevada,railroad police,https://www.up.com/aboutup/community/safety/special_agents/index.htm
university medical center of southern nevada department of public safety,nevada,educational agencies,https://en.wikipedia.org/wiki/University_Medical_Center_of_Southern_Nevada
"university of nevada, las vegas police services",nevada,educational agencies,https://www.unlv.edu/police
"university of nevada, reno police department",nevada,educational agencies,https://www.unr.edu/police
washoe county school district police department,nevada,educational agencies,https://www.washoeschools.net/Page/174
washoe county sheriff's office,nevada,county agencies,https://www.washoesheriff.com/
wells tribal law enforcement,nevada,tribal agencies,https://www.temoaktribe.com/wells.shtml
west wendover police department,nevada,city agencies,https://www.westwendovercity.com/government/city-departments/police-department
white pine sheriff's department,nevada,county agencies,https://www.whitepinecounty.net/308/Sheriff
winnemucca police department,nevada,city agencies,https://www.winnemuccacity.org/city-departments/police-department/
yerington police department,nevada,city agencies,https://www.policeone.com/law-enforcement-directory/police-departments/yerington-police-department-yerington-nv-P9uTOvAqTLT44m0h/
