name,state,dept_type,url
alexandria police department,new hampshire,municipal agencies,http://alexandrianh.com/departments/police-department/
allenstown police department,new hampshire,municipal agencies,https://www.allenstownnh.gov/police-department
alstead police department,new hampshire,municipal agencies,http://www.alsteadpolice.com/
alton police department,new hampshire,municipal agencies,https://www.alton.nh.gov/government/police-department
amherst police department,new hampshire,municipal agencies,https://www.amherstnh.gov/police-department
andover police department,new hampshire,municipal agencies,https://www.andover-nh.gov/andover-police-department
antrim police department,new hampshire,municipal agencies,https://www.antrimnh.org/police-department
ashland police department,new hampshire,municipal agencies,http://ashlandnh.org/police-department/
atkinson police department,new hampshire,municipal agencies,http://www.town-atkinsonnh.com/police.html
auburn police department,new hampshire,municipal agencies,https://www.auburnnh.us/police-department
barnstead police department,new hampshire,municipal agencies,http://www.barnstead.org/departments/police/index.htm
barrington police department,new hampshire,municipal agencies,https://www.barrington.nh.gov/police-department
bartlett police department,new hampshire,municipal agencies,http://www.townofbartlettnh.org/town-offices/bartlett-police-department/
bedford police department,new hampshire,municipal agencies,https://www.bedfordnh.org/659/Police-Department
belknap county sheriff's office,new hampshire,county agencies,https://www.belknapcounty.org/sheriff/pages/welcome-sheriffs-dept
belmont police department,new hampshire,municipal agencies,http://belmontnhpolice.org/
bennington department,new hampshire,municipal agencies,https://www.townofbennington.com/
berlin police department,new hampshire,municipal agencies,https://www.berlinnh.gov/police-department
bethlehem police department,new hampshire,municipal agencies,http://bethlehemnh.org/departments/police/
boscawen police department,new hampshire,municipal agencies,https://www.townofboscawen.org/police-department
bow police department,new hampshire,municipal agencies,https://bownh.gov/237/Police
bradford police department,new hampshire,municipal agencies,https://www.bradfordnh.org/departments/police-department/
brentwood police department,new hampshire,municipal agencies,https://www.brentwoodnh.gov/police-dept?show=11
bridgewater police department,new hampshire,municipal agencies,http://www.bridgewater-nh.com/offices-departments/public-safety/police-department
bristol police department,new hampshire,municipal agencies,https://www.townofbristolnh.org/police-department
brookline police department,new hampshire,municipal agencies,https://brooklinenhpolice.webs.com/
campton police department,new hampshire,municipal agencies,http://www.camptonpd.org/
canaan police department,new hampshire,municipal agencies,http://www.canaanpolice.com/
carroll county sheriff's office,new hampshire,county agencies,https://www.carrollcountynh.net/carroll-county-sheriffs-office
cheshire county sheriff's department,new hampshire,county agencies,https://www.co.cheshire.nh.us/departments/sheriff/
claremont police department,new hampshire,municipal agencies,http://www.claremontnh.com/residents/departments/police.aspx
concord police department,new hampshire,municipal agencies,https://www.concordnh.gov/807/Police
conway police department,new hampshire,municipal agencies,https://conwaynh.org/
coos county sheriff's office,new hampshire,county agencies,https://www.cooscountynh.us/sheriffs-department
derry police department,new hampshire,municipal agencies,https://www.derrynh.org/police-department
division of fire safety,new hampshire,state agencies,https://www.nh.gov/safety/divisions/firesafety/
division of state police,new hampshire,state agencies,https://www.nh.gov/safety/divisions/nhsp/
dover police department,new hampshire,municipal agencies,https://www.dover.nh.gov/government/city-operations/police/index.html
durham police department,new hampshire,municipal agencies,https://www.ci.durham.nh.us/police
east kingston police department,new hampshire,municipal agencies,http://www.eknh.org/police-home
enfield police department,new hampshire,municipal agencies,https://www.enfield.nh.us/police-department
epping police department,new hampshire,municipal agencies,http://www.eppingpd.com/
exeter police department,new hampshire,municipal agencies,https://www.exeternh.gov/police
franconia police department,new hampshire,municipal agencies,http://www.franconianh.org/police.html
fremont police department,new hampshire,municipal agencies,https://www.fremont.nh.gov/police-department
gilford police department,new hampshire,municipal agencies,https://www.gilfordpd.org/
gilmanton police department,new hampshire,municipal agencies,https://www.gilmantonnh.org/police
