name,state,dept_type,url
aberdeen township police department,new jersey,municipal agencies,http://www.aberdeennj.org/content/153/841/843/default.aspx
absecon police department,new jersey,municipal agencies,http://www.abseconnj.gov/police/
allendale police department,new jersey,municipal agencies,https://www.allendalepd.org/
allenhurst police department,new jersey,municipal agencies,http://www.allenhurstnj.org/content/167/172/default.aspx
allentown police department,new jersey,municipal agencies,https://allentownboronj.com/?SEC=B2210CD8-BA01-4AAE-8EB2-EC2EA3F90906
amtrak police department,new jersey,railroad police agencies operating within new jersey,https://police.amtrak.com/
andover police department,new jersey,municipal agencies,https://www.atpd.org/
asbury park police department,new jersey,municipal agencies,https://www.cityofasburypark.com/165/Police-Department
atlantic city police department,new jersey,municipal agencies,http://acpolice.org/
atlantic county department of public safety,new jersey,corrections agencies,https://www.atlantic-county.org/public-safety/
atlantic county sheriff's office,new jersey,county sheriff and police agencies,http://www.acsheriff.org/
atlantic county spca humane police,new jersey,humane law enforcement agencies,http://humanesocietyac.org/
atlantic highlands police department,new jersey,municipal agencies,http://www.ahnj.com/ahnj/Departments/Police/
audubon police department,new jersey,municipal agencies,https://www.audubonpd.com/
avalon police department,new jersey,municipal agencies,https://avalonpolice.org/
avon by the sea police department,new jersey,municipal agencies,http://www.avonpd.org/
barnegat township police department,new jersey,municipal agencies,http://www.barnegat.net/departments/police-department/
bay head police department,new jersey,municipal agencies,http://www.bayheadnj.org/bhnj/Departments/Police/
bayonne police department,new jersey,municipal agencies,https://www.bayonnepd.com/
beach haven police department,new jersey,municipal agencies,https://beachhaven-nj.gov/public-safety/police-department/
beachwood police department,new jersey,municipal agencies,http://beachwoodpolice.com/
bedminster police department,new jersey,municipal agencies,http://bedminsternj.hosted.civiclive.com/government/police
belleville police department,new jersey,municipal agencies,http://www.bellevillenj.org/Departments/police-department
belmar police department,new jersey,municipal agencies,https://www.belmar.com/content.php?npid=120&npid1=212&pid=212&menu_id=20
belvidere police department,new jersey,municipal agencies,https://www.belvidere-nj.us/police.php
bergen county corrections division,new jersey,corrections agencies,https://www.bcsd.us/
bergen county sheriff's office,new jersey,county sheriff and police agencies,https://www.bcsd.us/
bergen county spca law enforcement division,new jersey,humane law enforcement agencies,https://en.wikipedia.org/wiki/List_of_law_enforcement_agencies_in_New_Jersey
bergenfield police department,new jersey,municipal agencies,https://bergenfield.com/emergency-services/police-department
berkeley heights police department,new jersey,municipal agencies,https://www.berkeleyheights.gov/193/Police
berkeley police department,new jersey,municipal agencies,http://twp.berkeley.nj.us/departments/police_department/index.php
bloomfield police department,new jersey,municipal agencies,http://www.bloomfieldpdnj.com/
boonton police department,new jersey,municipal agencies,https://www.boonton.org/583/Police-Department
boonton township police department,new jersey,municipal agencies,http://www.btpolice.org/
bordentown township police department,new jersey,municipal agencies,https://www.bordentowntownship.com/police
borough of helmetta police department,new jersey,municipal agencies,http://www.helmettaboro.com/Cit-e-Access/webpage.cfm?TID=102&TPID=10578
bound brook police department,new jersey,municipal agencies,https://boundbrook-nj.org/police-department/
bridgeton police department,new jersey,municipal agencies,http://www.cityofbridgeton.com/police.php
bridgewater township police department,new jersey,municipal agencies,https://www.bridgewaterpd.com/
brigantine police department,new jersey,municipal agencies,https://brigantinebeach.org/municipal/departments/brigantine-police-department/
brookdale community college police department,new jersey,college and university agencies,https://www.brookdalecc.edu/human-resources/police/
buena borough police department,new jersey,municipal agencies,http://www.buenaboro.org/
bureau of law enforcement (state conservation officers),new jersey,state agencies,https://www.njfishandwildlife.com/lawhome.htm
burlington county bridge commission police department,new jersey,bi-state police agencies,https://local.nixle.com/burlington-county-bridge-commission-police-department/
burlington county college department of public safety,new jersey,college and university agencies,https://www.co.burlington.nj.us/197/Public-Safety
burlington county department of corrections,new jersey,corrections agencies,https://www.co.burlington.nj.us/468/Corrections---Jail
burlington county sheriff's department,new jersey,county sheriff and police agencies,https://www.co.burlington.nj.us/130/Sheriffs-Department
butler borough police department,new jersey,municipal agencies,http://www.butlerborough.com/Cit-e-Access/webpage.cfm?TID=19&TPID=15645
camden county department of corrections,new jersey,corrections agencies,https://www.state.nj.us/corrections/
camden county police department,new jersey,municipal agencies,https://camdencountypd.org/
camden county sheriff's office,new jersey,county sheriff and police agencies,https://www.camdencounty.com/service/sheriffs-office/
cape may county correction center,new jersey,corrections agencies,http://www.cmcsheriff.net/current_inmates.html
cape may county sheriff's office,new jersey,county sheriff and police agencies,http://www.cmcsheriff.net/
