name,state,dept_type,url
acoma pueblo police department,new mexico,tribal agencies,http://www.puebloofacoma.org/Police_Department.aspx
alamogordo police department,new mexico,city agencies,https://ci.alamogordo.nm.us/476/Police-Department
albuquerque police department,new mexico,city agencies,https://www.cabq.gov/police
albuquerque public schools police,new mexico,other agencies,https://www.aps.edu/police
angel fire police department,new mexico,city agencies,https://www.angelfirenm.gov/166/Police
artesia police department,new mexico,city agencies,https://www.artesianm.gov/161/Police
aztec police department,new mexico,city agencies,http://www.aztecnm.gov/police.html
bayard police department,new mexico,city agencies,https://www.scdailypress.com/site/2019/03/26/bayard-hires-police-chief/
belen police department,new mexico,city agencies,http://www.belen-nm.gov/police-department.aspx
bernalillo county sheriff's department,new mexico,county agencies,http://www.bernalillocountysheriff.com/
bernalillo police department,new mexico,city agencies,https://www.townofbernalillo.org/departments/police_department/index.php
bloomfield police department,new mexico,city agencies,https://www.bloomfieldnm.gov/police-department
bosque farms police department,new mexico,city agencies,https://bosquefarmsnm.gov/departments/police-department/
buena vista police department,new mexico,city agencies,https://buenavistaco.gov/187/Police-Department
bureau of indian affairs police,new mexico,other agencies,https://www.bia.gov/bia/ojs/districts/district-iv
burlington northern santa fe railway police,new mexico,other agencies,https://www.bnsf.com/in-the-community/safety-and-security/police-team.html
capitan police department,new mexico,city agencies,https://www.villageofcapitan.org/
carlsbad police department,new mexico,city agencies,https://www.cityofcarlsbadnm.com/departments/carlsbad-police-department/
carrizozo police department,new mexico,city agencies,http://www.townofcarrizozo.com/services.html
catron county sheriff's department,new mexico,county agencies,https://www.catroncounty.us/government/county_sheriff_s_office/index.php
cerrillos police department,new mexico,city agencies,https://www.santafenewmexican.com/news/local_news/police-identify-man-who-died-on-cerrillos-road/article_5419a7b4-4f37-11e5-aa31-ab13d0d3d59e.html
chama police department,new mexico,city agencies,https://chamavillage.com/services.html
chaves county sheriff's office,new mexico,county agencies,https://www.co.chaves.nm.us/223/Sheriffs-Office
chinle police district,new mexico,tribal agencies,https://www.gallupedc.com/about-us/our-partners/p/item/5689/navajo-police-department-chinle-police-district
cibola county sheriff's office,new mexico,county agencies,http://www.cibolacountynm.com/departments/sheriff/index.php
