name,state,dept_type,url
adams county sheriff's office,north dakota,county agencies,https://www.adamssheriff.org/
ashley police department,north dakota,city agencies,https://www.ashley-nd.com/
barnes county sheriff's office,north dakota,county agencies,http://www.co.barnes.nd.us/dept/shf/
belfield police department,north dakota,city agencies,http://www.cityofbelfield.com/2180/Belfield-Police-Department
benson county sheriff's office,north dakota,county agencies,https://www.bensoncountynd.com/
beulah police department,north dakota,city agencies,http://www.beulahpolice.org/
billings county sheriff's office,north dakota,county agencies,https://www.billingscountynd.gov/164/Sheriff
bismarck police department,north dakota,city agencies,https://www.bismarcknd.gov/94/Police
bottineau county sheriff's office,north dakota,county agencies,https://www.bottineauco.com/sheriff
bowman county sheriff's office,north dakota,county agencies,http://www.bowmannd.com/county/departments/sheriff/
bowman police department,north dakota,city agencies,http://www.bowmannd.com/city/departments/police/
burke county sheriff's office,north dakota,county agencies,https://burkecountynd.com/portfolio/sheriff/
burleigh county sheriff's office,north dakota,county agencies,https://www.burleighco.com/departments/sheriff/
burlington police department,north dakota,city agencies,http://www.post.nd.gov/LawEnforcementAgencies/PoliceDepartments.html
cando police department,north dakota,city agencies,https://www.usacops.com/nd/p58324/index.html
carrington police department,north dakota,city agencies,https://www.carringtonpolice.com/
cass county sheriff's office,north dakota,county agencies,https://www.casscountynd.gov/our-county/sheriff
casselton police department,north dakota,city agencies,https://www.casselton.com/
cavalier county sheriff's office,north dakota,county agencies,https://cavaliercountysheriffsoffice.us/
cavalier police department,north dakota,city agencies,http://www.post.nd.gov/LawEnforcementAgencies/PoliceDepartments.html
center police department,north dakota,city agencies,http://www.post.nd.gov/LawEnforcementAgencies/PoliceDepartments.html
cooperstown police department,north dakota,city agencies,https://www.cooperstownnd.com/
crosby police department,north dakota,city agencies,http://dividecountynd.hosted.civiclive.com/county_government/county_offices/sheriff_s_department
devils lake police department,north dakota,city agencies,http://www.dvlnd.com/departments/police.html
dickey county sheriff's office,north dakota,county agencies,https://dickeynd.com/sheriffs-department
dickinson police department,north dakota,city agencies,https://dickinsonpd.com/
divide county sheriff's office,north dakota,county agencies,http://dividecountynd.hosted.civiclive.com/county_government/county_offices/sheriff_s_department
dunn county sheriff's office,north dakota,county agencies,https://www.dunncountynd.org/?SEC=1C898DB6-4D9A-404C-ADB4-96B998E69040
eddy county sheriff's office,north dakota,county agencies,https://www.cityofnewrockford.com/?SEC=6533FD0A-ABBE-4734-A89D-C7CF3499F172
elgin police department,north dakota,city agencies,http://www.post.nd.gov/LawEnforcementAgencies/PoliceDepartments.html
ellendale police department,north dakota,city agencies,https://www.ellendalend.com/?SEC=96811C88-2D38-4735-99BC-59A5FAAEAE16
emerado police department,north dakota,city agencies,https://www.cityofemerado.com/
emmons county sheriff's office,north dakota,county agencies,http://www.emmonsnd.com/sheriff-911.html
