name,state,dept_type,url
,ohio,other agencies,https://ohio.gov/
adams county sheriff's office,ohio,county sheriff's offices,http://www.adamscountyso.com/
addyston police department,ohio,village agencies,http://www.addystonohio.org/public_safety.html
akron police department,ohio,city agencies,https://www.akronohio.gov/cms/site/10c5e96e7db5b10f/index.html
albany police department,ohio,village agencies,https://newalbanyohio.org/answers/police/
alexandria marshal's office,ohio,village agencies,https://www.usacops.com/oh/p43001/
allen county sheriff's office,ohio,county sheriff's offices,https://www.acso-oh.us/
amherst police department,ohio,city agencies,https://www.amherstpolice.net/
anna police department,ohio,village agencies,https://villageofannaoh.com/police-department
antwerp police department,ohio,village agencies,https://villageofantwerp.com/category/village-offices/police/
archbold police department,ohio,village agencies,http://archbold.com/police/
ashland county sheriff's office,ohio,county sheriff's offices,https://www.ashlandcountysheriff.org/
ashland police department,ohio,city agencies,https://www.ashland-ohio.com/departments/police/city-of-ashland-police-division
ashtabula county sheriff's office,ohio,county sheriff's offices,http://www.ashtabulacounty.us/726/Sheriff
ashtabula police department,ohio,city agencies,http://cityofashtabula.com/city-departments/police-department/
ashville police department,ohio,village agencies,https://ashvilleohio.gov/index.php/village-departments/police-department/police-information
athens county sheriff's office,ohio,county sheriff's offices,http://athenssheriff.com/
athens police department,ohio,city agencies,https://www.ci.athens.oh.us/120/Police-Department
attica police department,ohio,village agencies,https://www.usacops.com/oh/p44807/index.html
auglaize county sheriff's office,ohio,county sheriff's offices,https://www2.auglaizecounty.org/elected-officials/sheriff
aurora police department,ohio,city agencies,https://www.auroraoh.com/506/Police
austintown township police,ohio,township agencies,https://www.austintowntwp.com/police/general-information/
bainbridge township police,ohio,township agencies,http://www.bainbridgetwp.com/Departments/Police
baltimore village police department,ohio,village agencies,http://baltimoreohio.org/emergency-services/police-department/
barberton police department,ohio,city agencies,https://cityofbarberton.com/156/Police-Department
batavia police department,ohio,village agencies,http://www.bataviavillage.org/residents/police_department.php
bath township police,ohio,township agencies,https://www.bathtownship.org/Police%20folder/Police%20folder/Police%202%20web%202.htm
bay view police department (ohio),ohio,village agencies,http://www.cityofbayvillage.com/safety-services/police-department.aspx
bay village police department,ohio,city agencies,http://www.cityofbayvillage.com/safety-services/police-department.aspx
beavercreek police department,ohio,city agencies,https://www.beavercreekohio.gov/197/Police
beaver township police,ohio,township agencies,https://www.beavertwp-oh.gov/police
bedford police department,ohio,city agencies,https://bedfordoh.gov/departments/police-department/
bellaire police department,ohio,village agencies,http://bellaireoh.com/policedept.html
bellbook police department,ohio,city agencies,http://www.cityofbellbrook.org/page/police_home
bellevue police department,ohio,city agencies,http://www.cityofbellevue.com/BPD/quality-of-life/
bellville police department,ohio,city agencies,https://villageofbellville.com/bellville-police-department/
belmont county sheriff's office,ohio,county sheriff's offices,https://www.belmontsheriff.com/
belmore police department,ohio,village agencies,"https://en.wikipedia.org/wiki/Belmore,_Ohio"
bentleyville police department,ohio,village agencies,https://villageofbentleyville.com/police/
berea police department,ohio,city agencies,https://cityofberea.org/180/Police-Department
berlin heights police department,ohio,village agencies,http://www.villageofberlinheights.com/police.html
blendon township police,ohio,township agencies,https://www.blendontwp.org/government/departments/police
blue ash police department,ohio,city agencies,http://www.blueash.com/departments/police_department/index.php
bluffton police department,ohio,city agencies,https://www.bluffton-ohio.com/police-department
boardman township police,ohio,township agencies,https://www.boardmantwp.com/police/
boston heights police department,ohio,village agencies,https://villageofbostonheights.com/police-department/
bowling green city police department,ohio,city agencies,http://www.bowlinggreenpolice.org/
bowling green state university police,ohio,college and university agencies,https://www.bgsu.edu/public-safety/bgsu-police.html
braceville township police,ohio,township agencies,https://bracevilletownship.com/departments/police/
brady lake police department,ohio,village agencies,https://www.youtube.com/watch?v=2ttYeLyU5kU
bratenahl police department,ohio,village agencies,https://www.bratenahl.org/165/Police-Department
brewster police department,ohio,village agencies,https://www.brewsterohio.com/?SEC=81134B2F-2499-429C-A3EA-F4708AE66E3D
brimfield township police,ohio,township agencies,https://brimfieldohio.gov/departments/police-department/
brookfield township police,ohio,township agencies,http://www.brookfieldpd.org/
brookville police department,ohio,city agencies,https://www.brookvilleohio.com/166/Police
brown county sheriff's office,ohio,county sheriff's offices,https://www.browncountyohiosheriff.us/
brunswick hills police department,ohio,township agencies,https://brunswickhillstwp.org/brunswick-hills-police/
brunswick police department,ohio,city agencies,https://www.brunswick.oh.us/police/
buckeye lake police department,ohio,village agencies,http://buckeyelakevillage.com/departments/police-department/
bucyrus police department,ohio,city agencies,https://www.cityofbucyrusoh.us/police.php
burton village police department,ohio,village agencies,http://www.villageofburton.org/Departments/Police
butler county sheriff's office,ohio,county sheriff's offices,http://www.butlersheriff.org/
butler police department,ohio,village agencies,http://www.butlertownship.com/departments-services/police-department
butler township police,ohio,township agencies,http://www.butlertownship.com/departments-services/police-department
cambridge police department,ohio,city agencies,https://www.cambridgeoh.org/police-department/uncategorised/police
canfield police department,ohio,city agencies,https://canfield.gov/
canton police department,ohio,city agencies,https://cantonohio.gov/police
capital university police,ohio,college and university agencies,https://www.capital.edu/campus-safety-15032385226/
cardington police department,ohio,village agencies,http://www.cardington.org/cardington-police-department.html
carey village police department,ohio,village agencies,https://www.careyohio.org/carey-police-department
carlisle police department,ohio,city agencies,http://www.carlisleoh.org/police.html
carroll county sheriff's office,ohio,county sheriff's offices,https://www.carrollcountysheriff.org/
carroll township police,ohio,township agencies,https://www.carrolltownship.net/police
case western reserve university police,ohio,college and university agencies,https://case.edu/publicsafety/about/police
castalia police department,ohio,village agencies,https://sanduskyregister.com/news/17693/81-year-old-castalia-chief-still-going-strong/
catawba island police department,ohio,township agencies,https://www.catawbaislandtownship.com/CatI1-Police.htm
cedar point,ohio,other agencies,https://www.cedarpoint.com/
centerville police department,ohio,city agencies,https://www.centervilleohio.gov/government/police
central state university police,ohio,college and university agencies,https://www.centralstate.edu/police/
chagrin falls police department,ohio,village agencies,https://chagrin-falls.org/village-services/police-department/
champaign county sheriff's office,ohio,county sheriff's offices,http://www.co.champaign.oh.us/Sheriff/
champion township police,ohio,township agencies,https://championtownship.org/
chardon police department,ohio,city agencies,https://www.chardon.cc/142/Police-Department
chester township police,ohio,township agencies,http://www.chestertwp.com/Police
chillicothe police department,ohio,city agencies,https://www.chillicothe.com/departments/public_safety/police_department/police_department.php
"cincinnati, ohio",ohio,other agencies,https://www.bmv.ohio.gov/
cincinnati police department,ohio,city agencies,https://www.cincinnati-oh.gov/police/
cincinnati state technical and community college police,ohio,college and university agencies,https://www.cincinnatistate.edu/about/administration/safety-and-security
circleville police department,ohio,city agencies,http://www.circlevillepolice.com/
city data - ohio,ohio,external links,https://www.city-data.com/city/Ohio.html
clark county sheriff's office,ohio,county sheriff's offices,http://www.clarkcountysheriff.com/
clay township police,ohio,township agencies,http://www.claytownshipoffices.com/police.html
clearcreek township police,ohio,township agencies,https://www.clearcreektownship.com/departments/police-5/police-12/
clermont county sheriff's office,ohio,county sheriff's offices,https://clermontsheriff.org/
cleveland clinic,ohio,other agencies,https://my.clevelandclinic.org/
cleveland division of police,ohio,city agencies,http://www.city.cleveland.oh.us/CityofCleveland/Home/Government/CityAgencies/PublicSafety/Police
cleveland heights police department,ohio,city agencies,https://www.clevelandheights.com/351/Police-Department
cleveland metroparks,ohio,other agencies,https://www.clevelandmetroparks.com/
cleveland metropolitan school district,ohio,other agencies,https://www.clevelandmetroschools.org/
"cleveland, ohio",ohio,other agencies,https://www.ohiolottery.com/
cleveland state university police,ohio,college and university agencies,https://www.csuohio.edu/police/police
clinton county sheriff's office,ohio,county sheriff's offices,https://clintonsheriff.com/
clinton township police,ohio,township agencies,https://www.clintontownship.org/police-department
clyde police department,ohio,city agencies,https://clydepolice.org/
coal grove police department,ohio,village agencies,https://www.odmp.org/agency/6387-coal-grove-police-department-ohio
coldwater police department,ohio,city agencies,https://villageofcoldwater.com/village-departments/
coldwater village police department,ohio,village agencies,https://villageofcoldwater.com/village-departments/
colerain township police,ohio,township agencies,https://www.colerain.org/169/Police
columbiana county sheriff's office,ohio,county sheriff's offices,http://www.colcountysheriff.com/
columbia township police,ohio,township agencies,https://www.columbiatwp.org/government/police-protection/
columbus division of police,ohio,city agencies,https://www.columbus.gov/police/
columbus grove police department,ohio,village agencies,http://www.columbusgrove.org/
columbus regional airport authority,ohio,other agencies,https://columbusairports.com/
columbus state community college police,ohio,college and university agencies,https://www.cscc.edu/services/police/
copley township police,ohio,township agencies,https://www.copley.oh.us/190/Police
corning police department,ohio,village agencies,https://www.usacops.com/oh/p43730/index.html
coshocton county sheriff's office,ohio,county sheriff's offices,https://www.coshoctoncounty.net/sheriff/
craig beach police department,ohio,village agencies,https://craigbeachvillage.com/departments
crawford county sheriff's office,ohio,county sheriff's offices,http://www.crawfordcountysheriffohio.com/
crestline police department,ohio,village agencies,https://crestlineoh.com/police/
crooksville police department,ohio,village agencies,https://crooksville.com/emergency-services/police-department/
cross creek township police,ohio,township agencies,https://www.crosscreektwp.org/
cuyahoga community college police,ohio,college and university agencies,https://www.tri-c.edu/administrative-departments/campus-police/index.html
cuyahoga county sheriff's office,ohio,county sheriff's offices,https://sheriff.cuyahogacounty.us/
cuyahoga falls police department,ohio,city agencies,https://www.cityofcf.com/departments/police
cuyahoga metropolitan housing authority,ohio,other agencies,https://www.cmha.net/
danbury police department,ohio,township agencies,https://danburytownship.com/police/
darke county sheriff's office,ohio,county sheriff's offices,https://www.darkecountysheriff.org/
dayton,ohio,other agencies,https://www.daytonohio.gov/
dayton police department,ohio,city agencies,https://www.daytonohio.gov/230/Police
defiance county sheriffs office,ohio,county sheriff's offices,https://www.defiance-county.com/dcso/
defiance police department,ohio,city agencies,https://cityofdefiance.com/divisions/police/
delaware county sheriff's office,ohio,county sheriff's offices,https://sheriff.co.delaware.oh.us/
delaware police department,ohio,city agencies,http://www.delawareohio.net/police-department-page/
delhi township police,ohio,township agencies,https://delhi.oh.us/police-department/
delphos police department,ohio,city agencies,https://cityofdelphos.com/government/police
deshler police department,ohio,village agencies,https://villageofdeshler.com/emergency-services
dillonvale police department,ohio,village agencies,https://www.usacops.com/oh/p43917/index.html
"division of police, city of oxford (opd)",ohio,village agencies,https://www.cityofoxford.org/departments/police
dresden police department,ohio,village agencies,http://members.zmchamber.com/list/member/village-of-dresden-643
dublin police department,ohio,city agencies,https://dublinohiousa.gov/dublin-police/
east canton police department,ohio,village agencies,https://villageeastcanton.net/village-police-department/
east cleveland police department,ohio,city agencies,https://www.eastcleveland.org/departments/police/
eastlake police department,ohio,city agencies,https://www.eastlakepd.org/
edgerton police department,ohio,village agencies,https://edgerton-ohio.com/police-department/
edon police department,ohio,village agencies,http://www.edon-ohio.com/police.html
elyria police department,ohio,city agencies,http://www.cityofelyria.org/department/police/
erie county sheriff's office,ohio,county sheriff's offices,https://www.eriecounty.oh.gov/SheriffsOffice.aspx
euclid police department,ohio,city agencies,http://euclidpd.org/
fairborn police department,ohio,city agencies,https://www.fairbornoh.gov/government/police_department/index.php
fairfield county sheriff's office,ohio,county sheriff's offices,https://www.sheriff.fairfield.oh.us/
fairfield police department,ohio,city agencies,https://www.fairfield-city.org/384/Police-Department
fairfield township police,ohio,township agencies,https://www.fairfieldtwp.org/departments/police/about-the-police-department-13/
fairlawn police department,ohio,city agencies,https://www.cityoffairlawn.com/62/Police
fairview park police department,ohio,city agencies,https://www.fairviewpark.org/police-department/
fayette county sheriff's office,ohio,county sheriff's offices,https://www.faycoso.com/
findlay police department,ohio,city agencies,https://www.findlayohio.com/government/city-departments/police/
flushing police department,ohio,village agencies,http://flushingcity.com/Departments/PoliceDepartment.aspx
forest police department,ohio,village agencies,https://www.villageofforest.com/?SEC=C6CE2D27-B256-421B-997A-76C59DA59921
fostoria division of police,ohio,city agencies,http://www.fostoriaohio.gov/police-division.html
franklin county sheriff's office,ohio,county sheriff's offices,https://sheriff.franklincountyohio.gov/
franklin division of police,ohio,city agencies,https://www.franklinohio.org/government/safety-department/police-division
franklin township police,ohio,township agencies,https://franklintownshippolice.com/
frazeysburg police department,ohio,village agencies,http://www.frazeysburg.us/index.php/police
fremont police department,ohio,city agencies,https://www.fremontohio.org/departments/police/
fulton county sheriff's office,ohio,county sheriff's offices,https://www.fultoncountyoh.com/242/Sheriff
gahanna division of police,ohio,city agencies,https://www.gahanna.gov/police/
galion police department,ohio,city agencies,https://ci.galion.oh.us/180/Police-Department
gallia county sheriff's office,ohio,county sheriff's offices,http://www.galliasheriff.org/
gallipolis police department,ohio,city agencies,http://www.cityofgallipolis.com/cemetery_info/police.php
garfield heights police department,ohio,city agencies,https://www.garfieldhts.org/Police
garrettsville police department,ohio,village agencies,https://www.garrettsville.org/directory/police/
geauga county,ohio,other agencies,https://www.co.geauga.oh.us/
geauga county sheriff's office,ohio,county sheriff's offices,https://sheriff.co.geauga.oh.us/
geneva police department,ohio,city agencies,https://genevaohio.gov/police/
genoa township police,ohio,township agencies,https://www.genoatwp.com/police/
germantown police department,ohio,village agencies,http://germantown.oh.us/government/police/
german township police,ohio,township agencies,https://germantownshipoh.com/police/
gilboa village police department,ohio,village agencies,"https://en.wikipedia.org/wiki/Gilboa,_Ohio"
glenmont police department,ohio,village agencies,https://www.usacops.com/oh/p44628/index.html
glouster police department,ohio,village agencies,https://www.odmp.org/officer/19162-city-marshal-david-c-cook
gnadenhutten police department,ohio,village agencies,https://www.usacops.com/oh/p44629/index.html
goshen township,ohio,other agencies,https://goshen-oh.gov/
goshen township police department,ohio,township agencies,https://www.goshen-oh.gov/police.html
grafton police department,ohio,city agencies,https://www.graftonpolice.net/
grand river police department,ohio,village agencies,http://www.grandriverohio.net/departments/police-department/
grandview heights division of police,ohio,city agencies,https://www.grandviewheights.org/89/Division-of-Police
granville police department,ohio,village agencies,https://www.granville.oh.us/police-department
green camp police department,ohio,village agencies,"https://en.wikipedia.org/wiki/Green_Camp,_Ohio"
greene county sheriff's office,ohio,county sheriff's offices,https://www.co.greene.oh.us/486/Sheriff
greenhills police department,ohio,village agencies,https://www.greenhillsohio.us/index.php/police-department
green township police,ohio,township agencies,https://greentwp.org/departments/police-department/
greenville police department,ohio,city agencies,https://www.cityofgreenville.org/2164/Police-Department
greenwich police department,ohio,village agencies,https://villageofgreenwich.com/police-department/
grove city division of police,ohio,city agencies,http://www.grovecityohio.gov/division-of-police/
groveport police department,ohio,village agencies,https://www.groveport.org/184/Police-Department
guernsey county sheriff's office,ohio,county sheriff's offices,http://guernseysheriff.com/
hamilton county sheriff's office,ohio,county sheriff's offices,https://www.hcso.org/
hamilton police department,ohio,city agencies,https://www.hamilton-oh.gov/police
hamilton township police,ohio,township agencies,https://www.hamilton-township.org/departments/police/a-letter-from-the-chief/
hancock county sheriff's office,ohio,county sheriff's offices,https://hancocksheriff.org/
hardin county sheriff's office,ohio,county sheriff's offices,http://www.hardinsheriff.com/
harrisburg police department,ohio,city agencies,https://www.usacops.com/oh/p43126/
harrison county sheriff's office,ohio,county sheriff's offices,https://www.harrisoncountyohio.org/sheriff
hartford police department,ohio,village agencies,http://www.villageofhartford.org/hartford-village-police-department.html
hartford township police,ohio,township agencies,http://www.hartfordtwp.org/?page_id=26
harveysburg police department,ohio,village agencies,http://www.villageofharveysburg.org/police
haskins police department,ohio,village agencies,https://www.haskinsvillage.org/
heath police department,ohio,city agencies,http://www.heathohio.gov/police/Police%20index.aspx
hebron police department,ohio,village agencies,https://villageofhebron.org/police-department
henry county sheriff's office,ohio,county sheriff's offices,https://www.henrycountysheriff.com/
hicksville police department,ohio,village agencies,https://www.villageofhicksville.com/gov/hicksville-police-department/
highland county sheriff's office,ohio,county sheriff's offices,http://www.highland.miamivalleyjails.org/
highland hills police department,ohio,village agencies,http://www.vhhohio.org/policefire/
hilliard police department,ohio,city agencies,https://hilliardohio.gov/police/
hillsboro police department,ohio,city agencies,https://www.hillsboroohio.net/department/index.php?structureid=19
hiram police department,ohio,village agencies,https://hiramvillage.org/?SEC=E7FC6D4A-ED11-4DED-B50E-E393E2C92708
hocking college police,ohio,college and university agencies,https://www.hocking.edu/campus-safety
hocking county sheriff's office,ohio,county sheriff's offices,https://www.hockingsheriff.org/
holden arboretum police department,ohio,other agencies,https://holdenarb.org/safety-security/
holland police department,ohio,village agencies,https://www.hollandohio.com/village-of-holland-police-department/
holmes county sheriff's office,ohio,county sheriff's offices,http://www.holmescountysheriff.org/
howland township police,ohio,township agencies,http://www.howlandtownship.org/police
hubbard township police,ohio,township agencies,https://www.wkbn.com/news/local-news/hubbard-twp-police-union-calls-for-resignation-of-trustees-and-chief/
hudson police department,ohio,city agencies,https://www.hudson.oh.us/111/Police
hunting valley police department,ohio,village agencies,http://www.huntingvalley.net/police-department/
huron county sheriff's office,ohio,county sheriff's offices,http://www.huroncountysheriff.org/
indian hill rangers police department,ohio,village agencies,https://www.ihillrangers.org/
ironton police department,ohio,city agencies,https://www.ironton-ohio.com/police-department
jackson city police department,ohio,city agencies,https://jacksonohio.us/jpd/index.html
jackson county sheriff's office,ohio,county sheriff's offices,http://www.jacksonso.org/
jackson township police,ohio,township agencies,http://www.jacksontwp.com/Police_home.aspx
jefferson county sheriff's office,ohio,county sheriff's offices,https://www.jeffersoncountysheriff.com/
jefferson police department,ohio,village agencies,http://www.jeffersonohio.us/police.htm
john carroll university police department,ohio,college and university agencies,https://jcu.edu/student-life/health-wellness-and-safety/jcu-police-department
johnstown police department,ohio,village agencies,http://johnstownohio.org/departments/police/
junction city police department,ohio,village agencies,https://www.newarkadvocate.com/story/news/local/2018/07/10/buckeye-lake-swears-viciki-wardlow-new-police-chief-former-junction-city-chief/770229002/
kellys island police department,ohio,township agencies,http://kelleysisland.us/departments-2/kelleys-island-police-dept/
kent police department,ohio,city agencies,http://www.kentpd.org/163/Police
kent state university police,ohio,college and university agencies,https://www.kent.edu/publicsafety/police-services
kettering police department,ohio,city agencies,https://www.ketteringoh.org/kettering-police-department/
kings island,ohio,other agencies,https://www.visitkingsisland.com/
kipton police department,ohio,village agencies,https://www.policeone.com/law-enforcement-directory/police-departments/kipton-police-department-kipton-oh-0FdUau4bWDb6tQ4K/
kirkersville police department,ohio,village agencies,http://abc6onyourside.com/news/local/new-kirkersville-police-chief-found-dead-at-home
kirtland police department,ohio,city agencies,https://www.kirtlandohio.com/departments/police-department/
