name,state,dept_type,url
absentee shawnee police department,oklahoma,tribal agencies,https://www.astribe.com/police-department
achille police department,oklahoma,municipal agencies,https://www.kxii.com/content/news/Achille-police-department-suspended-until-next-week-506795301.html
adair county sheriff's office,oklahoma,county sheriffs,https://www.oklahomasheriffs.org/adair-county/
adair police department,oklahoma,municipal agencies,https://www.claimspages.com/tools/police-departments/oklahoma/adair/stilwell-police-dept/918-696-2882/
ada police department,oklahoma,municipal agencies,https://adaok.com/departments/policedepartment/
agra police department,oklahoma,municipal agencies,https://www.usacops.com/ok/p74824/
alex police department,oklahoma,municipal agencies,https://www.alexandrialapolice.org/
alfalfa county sheriff's office,oklahoma,county sheriffs,https://www.oklahomasheriffs.org/app/web/sheriff/county
allen police department,oklahoma,municipal agencies,http://www.kten.com/story/41662483/oklahoma-trooper-kills-armed-man-who-threatened-allen-police
altus police department,oklahoma,municipal agencies,https://www.altusok.gov/159/Police
alva police department,oklahoma,municipal agencies,https://www.alvaok.org/vnews/display.v/SEC/Departments%7CPolice%20Department
anadarko police department,oklahoma,municipal agencies,http://www.cityofanadarko.org/departments/police/index.php
anti-fraud unit,oklahoma,state agencies,https://www.oid.ok.gov/consumers/anti-fraud-unit/
antlers police department,oklahoma,municipal agencies,https://cityofantlers.com/police/
apache police department,oklahoma,municipal agencies,https://www.usacops.com/ok/p73006/index.html
arapaho police department,oklahoma,municipal agencies,https://cheyenneandarapaho-nsn.gov/
ardmore police department,oklahoma,municipal agencies,https://www.ardmorecity.org/137/Police-Department
arkoma police department,oklahoma,municipal agencies,https://www.courtlistener.com/opinion/677139/mark-gordon-walter-v-bill-morton-individually-and-in-his-official/
arnett police department,oklahoma,municipal agencies,https://www.odmp.org/officer/17520-city-marshal-arthur-d-doc-arnett
atoka county sheriff's office,oklahoma,county sheriffs,http://atokasheriff.com/roster.html
atoka police department,oklahoma,municipal agencies,https://www.atokaok.org/135/Police
attorney general of oklahoma,oklahoma,state agencies,http://www.oag.ok.gov/
avant police department,oklahoma,municipal agencies,https://www.countyoffice.org/avant-police-department-avant-ok-f25/
bacone college,oklahoma,college and university agencies,https://www.bacone.edu/
barnsdall police department,oklahoma,municipal agencies,https://www.usacops.com/ok/p74002/index.html
bartlesville police department,oklahoma,municipal agencies,https://www.cityofbartlesville.org/public-safety/police-department/
beaver county sheriff's office,oklahoma,county sheriffs,https://beaver.okcounties.org/offices/county-sheriff
beaver police department,oklahoma,municipal agencies,https://www.policeone.com/law-enforcement-directory/police-departments/beaver-police-department-beaver-ok-ba07c88143b884ae/
beckham county sheriff's office,oklahoma,county sheriffs,https://beckham.okcounties.org/offices/county-sheriff
beggs police department,oklahoma,municipal agencies,https://www.odmp.org/officer/8761-chief-of-police-w-j-mcanally
bennington police department,oklahoma,municipal agencies,https://www.odmp.org/agency/5246-bennington-police-department-oklahoma
bethany police department,oklahoma,municipal agencies,https://www.cityofbethany.org/government/city_departments/police_department/index.php
big cabin police department,oklahoma,municipal agencies,https://www.newson6.com/story/41912572/big-cabin-ok-left-with-1-police-officer-after-chief-is-fired-others-quit
billings police department,oklahoma,municipal agencies,https://www.usacops.com/ok/p74630/index.html
binger police department,oklahoma,municipal agencies,https://www.usacops.com/ok/p73009/index.html
bixby police department,oklahoma,municipal agencies,https://police.bixbyok.gov/
blackwell police department,oklahoma,municipal agencies,https://www.cityofblackwell.com/services1
blaine county sheriff's office,oklahoma,county sheriffs,https://blaine.okcounties.org/offices/county-sheriff
blair police department,oklahoma,municipal agencies,http://www.blairpolice.org/
