name,state,dept_type,url
adair village police department,oregon,city agencies,http://adairvillage.org/departments-services/public-safety/
albany police department,oregon,city agencies,https://www.cityofalbany.net/police
amity police department,oregon,city agencies,https://www.cityofamityoregon.org/police
ashland police department,oregon,city agencies,http://www.ashland.or.us/police
astoria police department,oregon,city agencies,https://www.astoria.or.us/dept/Police_Department
athena police department,oregon,city agencies,https://www.cityofathena.com/
aumsville police department,oregon,city agencies,https://www.aumsville.us/police
baker city police department,oregon,city agencies,https://www.bakercity.com/2169/Police-Department
baker county sheriff's office,oregon,county agencies,http://www.bakersheriff.org/
bandon police department,oregon,city agencies,https://www.cityofbandon.org/general/page/police-department
beaverton police department,oregon,city agencies,https://www.beavertonpolice.org/
bend police department,oregon,city agencies,http://www.bendoregon.gov/police
benton county sheriff's office,oregon,county agencies,https://www.co.benton.or.us/sheriff
black butte ranch police department,oregon,city agencies,https://www.blackbuttepolice.org/
blue mountain community college department of public safety,oregon,college and university agencies,http://www.bluecc.edu/academics/departments-academic-programs/emt-and-fire-sciences/fire-science/professional-accreditations-partners
boardman police department,oregon,city agencies,https://www.cityofboardman.com/police
brookings police department,oregon,city agencies,https://www.brookings.or.us/134/Police-Services
burns paiute tribal police department,oregon,tribal agencies,https://www.burnspaiute-nsn.gov/index.php/departments/97-police
burns police department,oregon,city agencies,https://ci.burns.or.us/police.html
butte falls police department,oregon,city agencies,https://www.policeone.com/law-enforcement-directory/police-departments/butte-falls-police-department-butte-falls-or-C0IBbEX2pUWF92eH/
canby police department,oregon,city agencies,https://www.canbypolice.com/
cannon beach police department,oregon,city agencies,https://www.ci.cannon-beach.or.us/police
carlton police department,oregon,city agencies,https://www.ci.carlton.or.us/police
central oregon community college department of public safety,oregon,college and university agencies,https://www.cocc.edu/departments/public-safety/
central point police department,oregon,city agencies,https://www.centralpointoregon.gov/police
chemeketa community college department of public safety,oregon,college and university agencies,https://www.chemeketa.edu/about/parking-public-safety/
clackamas community college department of public safety,oregon,college and university agencies,https://www.clackamas.edu/campus-life/college-safety
clackamas county sheriff's office,oregon,county agencies,https://www.clackamas.us/sheriff
clatskanie police department,oregon,city agencies,http://www.cityofclatskanie.com/citydepartments/police.html
clatsop community college department of public safety,oregon,college and university agencies,https://www.clatsopcc.edu/campus-information/campus-safety/
clatsop county sheriff's office,oregon,county agencies,https://www.co.clatsop.or.us/sheriff
coburg police department,oregon,city agencies,https://www.coburgoregon.org/police
columbia city police department,oregon,city agencies,http://www.columbia-city.org/menupages/departments/police.html
columbia county sheriff's office,oregon,county agencies,http://co.columbia.or.us/sheriff/index.php?option=com_content&view=article&id=27&Itemid=53
columbia gorge community college department of public safety,oregon,college and university agencies,https://www.cgcc.edu/faculty-and-staff
columbia river inter-tribal fisheries enforcement department,oregon,tribal agencies,https://www.critfc.org/tribal-treaty-fishing-rights/fisheries-enforcement/enforcement/
condon police department,oregon,city agencies,http://cityofcondon.com/fire-police/
"confederated tribes of coos, lower umpqua and siuslaw indians police department",oregon,tribal agencies,https://ctclusi.org/tribalpolice
confederated tribes of grand ronde tribal police,oregon,tribal agencies,https://www.grandronde.org/government/tribal-police/
coos bay police department,oregon,city agencies,http://coosbay.org/departments/police
coos county sheriff's office,oregon,county agencies,http://www.co.coos.or.us/departments/sheriffsoffice.aspx
coquille indian tribal police department,oregon,tribal agencies,https://www.coquilletribe.org/?page_id=1215
coquille police department,oregon,city agencies,http://www.cityofcoquille.org/public_safety/police.php
cornelius police department,oregon,city agencies,https://www.ci.cornelius.or.us/police
corvallis police department,oregon,city agencies,https://www.corvallisoregon.gov/police
cottage grove police department,oregon,city agencies,https://www.cottagegrove.org/police
crook county sheriff's office,oregon,county agencies,https://co.crook.or.us/sheriff
curry county sheriff's office,oregon,county agencies,http://www.co.curry.or.us/government/county_sheriff/index.php
dallas police department (oregon),oregon,city agencies,https://www.ci.dallas.or.us/123/Police
deschutes county sheriff's office,oregon,county agencies,https://sheriff.deschutes.org/
douglas county sheriff's office,oregon,county agencies,http://www.dcso.com/
eagle point police department,oregon,city agencies,https://www.cityofeaglepoint.org/118/Police
enterprise police department,oregon,city agencies,https://www.enterpriseoregon.org/index.php/services/police-department
eugene police department,oregon,city agencies,https://www.eugene-or.gov/162/Police
fairview police department,oregon,city agencies,https://fairvieworegon.gov/474/Police-Services
florence police department,oregon,city agencies,https://www.ci.florence.or.us/police
forest grove police department,oregon,city agencies,https://www.forestgrove-or.gov/police
