name,state,dept_type,url
abbottstown borough police department,pennsylvania,municipal agencies,http://www.adamscounty.us/Munic/Pages/Abbottstown-Borough.aspx
abington township police department,pennsylvania,municipal agencies,https://www.abingtonpd.org/
adams township police department,pennsylvania,municipal agencies,https://adamstownshippolice.us/
albright college,pennsylvania,college and university agencies,https://www.albright.edu/home/
alburtis borough police department,pennsylvania,municipal agencies,http://www.alburtispd.org/
aldan borough police department,pennsylvania,municipal agencies,https://www.aldan-boro.org/police-department
aliquippa city police department,pennsylvania,municipal agencies,https://aliquippapa.gov/directory/police-department/
allegheny county housing authority police department,pennsylvania,other agencies,http://www.achsng.com/deptPOLICE.asp
allegheny county police department,pennsylvania,county agencies,https://www.alleghenycounty.us/police/index.aspx
allegheny county port authority police department,pennsylvania,other agencies,http://portauthoritypolice.org/
allegheny county sheriff's office,pennsylvania,county agencies,http://www.sheriffalleghenycounty.com/
allegheny township police department,pennsylvania,municipal agencies,https://alleghenytownship.net/police/
allentown police department,pennsylvania,municipal agencies,https://www.allentownpa.gov/Police
altoona police department,pennsylvania,municipal agencies,http://www.altoonapa.gov/PD/Pages/default.aspx
ambridge borough police department,pennsylvania,municipal agencies,https://www.ambridgeboro.org/?SEC=F13AE1D3-E430-4AB3-BF00-4B8ED02A96FE
amity township police department,pennsylvania,municipal agencies,https://berks.crimewatchpa.com/amitypd/38494
amtrak police,pennsylvania,other agencies,https://jobs.amtrak.com/go/Amtrak-Police-Department-Jobs/400408/
apollo borough police department,pennsylvania,municipal agencies,http://www.apollopa.org/resources/police_dept.htm
archbald borough police department,pennsylvania,municipal agencies,https://archbaldboroughpa.gov/public-safety/
armstrong county sheriff's office,pennsylvania,county agencies,https://co.armstrong.pa.us/index.php/departments-m/sheriff-m
ashland borough police department,pennsylvania,municipal agencies,https://www.usacops.com/pa/p17921/index.html
ashley borough police department,pennsylvania,municipal agencies,http://www.ashleypa.net/
aspinwall borough police department,pennsylvania,municipal agencies,https://www.aspinwallpa.com/
aston township police department,pennsylvania,municipal agencies,https://astontownship.net/township-departments/emergency-services/aston-police-department-2/
athens township police department,pennsylvania,municipal agencies,https://www.athenstownship.org/townServices.php
auburn police department,pennsylvania,municipal agencies,https://bangordailynews.com/2017/05/18/news/lewiston-auburn/pennsylvania-man-accused-of-running-auburn-prostitution-ring/
avalon borough police department,pennsylvania,municipal agencies,http://www.boroughofavalon.org/departments/policedepartment.html
avoca borough police department,pennsylvania,municipal agencies,https://www.odmp.org/agency/200-avoca-borough-police-department-pennsylvania
avonmore borough police department,pennsylvania,municipal agencies,https://www.co.westmoreland.pa.us/2765/Police-Departments
baden police department,pennsylvania,municipal agencies,http://badenborough.com/
baldwin borough police department,pennsylvania,municipal agencies,https://www.baldwinborough.org/173/Police-Department
bally borough police department,pennsylvania,municipal agencies,https://www.co.berks.pa.us/Muni/Bally/Pages/PoliceDepartment.aspx
bangor borough police department,pennsylvania,municipal agencies,https://bangorborough.org/bangor-police-department/
barnesboro police department,pennsylvania,municipal agencies,https://www.odmp.org/agency/5653-barnesboro-borough-police-department-pennsylvania
barrett township police department,pennsylvania,municipal agencies,http://www.barretttownship.com/police.html
bear creek township/bear creek village police department,pennsylvania,municipal agencies,https://bearcreektownship.org/
beaver county sheriff's office,pennsylvania,county agencies,http://www.beavercountypa.gov/Depts/Sheriff/Pages/default.aspx
beaver falls police department,pennsylvania,municipal agencies,http://www.beaverfallspa.org/police-department
bedford county sheriff's office,pennsylvania,county agencies,https://www.bedfordcountypa.org/departments/sheriff/index.php
bedminster township police,pennsylvania,municipal agencies,https://bedminsterpa.com/police-department/
bell acres police department,pennsylvania,municipal agencies,http://bellacresborough.org/borough-services/police/
bellefonte police department,pennsylvania,municipal agencies,https://bellefonte.net/departments/police/
belle vernon police department,pennsylvania,municipal agencies,http://washingtontownshipbellevernon.org/notices/police/
bellwood police department,pennsylvania,municipal agencies,http://www.blairco.org/Dept/EmergencyMgmt/Pages/PoliceDepartments.aspx
ben avon heights police department,pennsylvania,municipal agencies,http://www.benavonheightsborough.com/borough/borough-emergency.html
bendersville borough police department,pennsylvania,municipal agencies,http://www.adamscounty.us/Munic/Bendersville/Pages/default.aspx
bensalem township police department,pennsylvania,municipal agencies,https://www.bensalempa.gov/
bentleyville police department,pennsylvania,municipal agencies,http://www.bentleyvilleborough.com/police-department.html
berks county sheriff's office,pennsylvania,county agencies,https://www.co.berks.pa.us/Dept/sheriff/Pages/default.aspx
berlin borough police department,pennsylvania,municipal agencies,http://berlinborough.org/
bern township police department,pennsylvania,municipal agencies,https://sites.google.com/site/berntownshiporg/bern_police
bernville police department,pennsylvania,municipal agencies,https://bernvilleborough.org/wp/?page_id=631
berwick police department,pennsylvania,municipal agencies,https://columbia.crimewatchpa.com/berwickboropd
bessemer police department,pennsylvania,municipal agencies,https://pittsburgh.cbslocal.com/2015/09/13/bessemer-police-chief-accidentally-killed-while-cleaning-gun/
bethel park police department,pennsylvania,municipal agencies,https://bethelpark.net/departments/police/
bethel park township police department,pennsylvania,municipal agencies,https://bethelpark.net/
bethlehem police department,pennsylvania,municipal agencies,https://www.bethlehem-pa.gov/Police
biglerville police department,pennsylvania,municipal agencies,http://www.adamscounty.us/Dept/DA/Pages/LawEnforcement.aspx
birdsboro police department,pennsylvania,municipal agencies,https://www.co.berks.pa.us/Dept/DES/Pages/PoliceDepartments.aspx
birmingham police department,pennsylvania,municipal agencies,https://www.birminghamtownship.org/police-department
black creek township police department,pennsylvania,municipal agencies,https://blackcreektownship.org/bct-Contact%20Us-10.htm
blairsville police department,pennsylvania,municipal agencies,http://blairsvilleboropa.com/police/
blair township police department,pennsylvania,municipal agencies,https://blairtownship-pa.org/police/
blakely borough police department,pennsylvania,municipal agencies,https://www.blakelyborough.com/index.php/emergency/police-department/
