name,state,dept_type,url
barrington police department,rhode island,town agencies,http://barringtonpolice.org/
bristol police department,rhode island,town agencies,https://www.bristolri.us/178/Police
brown university department of public safety,rhode island,college and university agencies,https://www.brown.edu/about/administration/public-safety/
bryant university department of public safety,rhode island,college and university agencies,https://www.bryant.edu/campus-and-community/student-related-offices/public-safety
burrillive police department,rhode island,town agencies,https://www.burrillville.org/police-department
central falls police department,rhode island,city agencies,https://cfpd.centralfallsri.gov/
charlestown police department,rhode island,town agencies,http://www.charlestownpolice.org/
community college of rhode island police department,rhode island,college and university agencies,https://www.ccri.edu/campuspolice/
coventry police department,rhode island,town agencies,https://coventrypd.org/
cranston police department,rhode island,city agencies,http://cranstonpoliceri.com/
cumberland police department,rhode island,town agencies,https://www.cumberlandri.org/police/
east greenwich police department,rhode island,town agencies,https://www.eastgreenwichri.com/167/Police-Department
east providence police department,rhode island,city agencies,http://www.eastprovidenceri.net/eppd
foster police department,rhode island,town agencies,https://www.townoffoster.com/police-department
glocester police department,rhode island,town agencies,https://www.glocesterri.org/policedept.htm
hopkinton police department,rhode island,town agencies,https://hopkintonpolice.org/
jamestown police department,rhode island,town agencies,http://www.jamestownri.gov/town-departments/police
johnston police department,rhode island,town agencies,https://www.johnstonpd.com/
lincoln police department,rhode island,town agencies,http://www.lincolnpoliceri.com/
little compton police department,rhode island,town agencies,https://www.littlecomptonri.org/town_departments/police_department.php
middletown police department,rhode island,town agencies,https://police.middletownri.com/
narragansett indian tribal police,rhode island,other agencies,http://narragansettindiannation.org/
narragansett police department,rhode island,town agencies,https://www.narragansettri.gov/157/Police-Department
newport police department,rhode island,city agencies,https://www.cityofnewport.com/en-us/city-hall/departments/police
new shoreham police department,rhode island,town agencies,http://www.new-shoreham.com/displaydept.cfm?id=21
north kingstown police department,rhode island,town agencies,https://www.northkingstown.org/267/Police
north providence police department,rhode island,town agencies,https://nppolice.com/
north smithfield police department,rhode island,town agencies,https://www.nsmithfieldri.org/police-department
office of the united states marshal for the district of rhode island,rhode island,other agencies,https://www.usmarshals.gov/district/ri/
pawtucket police department,rhode island,city agencies,http://www.pawtucketpolice.com/
portsmouth police department,rhode island,town agencies,https://www.portsmouthri.com/184/Police-Department
providence police department,rhode island,city agencies,https://www.providenceri.gov/police-department/
rhode island airport police,rhode island,state agencies,https://www.pvdairport.com/relax/safety-security/airport-police
rhode island airport police department,rhode island,other agencies,https://www.pvdairport.com/terminal/safety-security/airport-police
rhode island capitol police,rhode island,state agencies,https://capitolpolice.ri.gov/
rhode island college police department,rhode island,college and university agencies,http://www.ric.edu/campuspd/Pages/default.aspx
rhode island department of corrections,rhode island,state agencies,http://www.doc.ri.gov/
rhode island department of environmental management,rhode island,state agencies,http://www.dem.ri.gov/
rhode island state fire marshal's office (investigators and bomb technicians),rhode island,state agencies,https://fire-marshal.ri.gov/
rhode island state police,rhode island,state agencies,https://risp.ri.gov/
rhode island state sheriff,rhode island,state agencies,https://sheriffs.ri.gov/
richmond police department,rhode island,town agencies,https://www.richmondri.com/134/Police
roger williams university,rhode island,college and university agencies,https://www.rwu.edu/
scituate police department,rhode island,town agencies,https://www.scituatepd.org/
smithfield police department,rhode island,town agencies,https://smithfieldpd.com/
south kingstown police department,rhode island,town agencies,https://www.southkingstownri.com/152/Police-Department
tiverton police department,rhode island,town agencies,https://www.tivertonpoliceri.com/
university of rhode island police department,rhode island,college and university agencies,https://web.uri.edu/publicsafety/staff/
warren police department,rhode island,town agencies,https://www.warrenripolice.com/
warwick police department,rhode island,city agencies,https://www.warwickpd.org/
westerly police department,rhode island,town agencies,https://www.westerlyri.gov/621/Police-Department
west greenwich police department,rhode island,town agencies,https://www.wgtownri.org/police
west warwick police department,rhode island,town agencies,https://westwarwickpd.org/
woonsocket police department,rhode island,city agencies,https://www.woonsocketri.org/police-department
