name,state,dept_type,url
aberdeen police department,south dakota,city agencies,https://www.aberdeen.sd.us/21/Police
alcester police department,south dakota,city agencies,http://www.alcestersd.org/?page_id=68
aurora county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/aurora.html
avon police department,south dakota,city agencies,https://avonsd.com/
beadle county sheriff's office,south dakota,county agencies,http://beadle.sdcounties.org/sheriff/
belle fourche police department,south dakota,city agencies,https://www.bellefourche.org/index.asp?SEC=DBBDB6B4-6325-4D3B-A41A-E0FB33E8B002&DE=ABC693C6-0771-4DDC-AA85-AE3CC7D64C2D
bennett county sheriff's office,south dakota,county agencies,https://www.bennettcosheriff.org/
beresford police department,south dakota,city agencies,https://www.beresfordsd.com/
bia lower brule police department,south dakota,city agencies,https://www.bia.gov/regional-offices/great-plains/south-dakota/lower-brule-agency
bia rosebud police department,south dakota,city agencies,https://www.bia.gov/regional-offices/great-plains/south-dakota
bon homme county sheriff's office,south dakota,county agencies,https://www.argusleader.com/story/news/2018/06/07/sheriffs-deputy-fired-after-defeating-sheriff-primary-south-dakota-bon-homme-county-mark-maggs/680614002/
box elder police department,south dakota,city agencies,https://www.boxelder.us/
brandon police department,south dakota,city agencies,https://cityofbrandon.org/police
brookings county sheriff's office,south dakota,county agencies,https://www.brookingscountysd.gov/230/Sheriff
brookings police department,south dakota,city agencies,https://cityofbrookings.org/205/Police-Department
brown county sheriff's office,south dakota,county agencies,https://www.brown.sd.us/sheriffs-office/home
brule county sheriff's office,south dakota,county agencies,http://www.brulecounty.org/9.html
buffalo county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/
burke police department,south dakota,city agencies,https://www.usacops.com/sd/Burke-Police-Department-South-Dakota/
butte county sheriff's office,south dakota,county agencies,https://www.buttesd.org/sheriffs-office
campbell county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/campbell.html
canton police department,south dakota,city agencies,https://cantonsd.org/your-government/departments-2/
centerville police department,south dakota,city agencies,https://www.usacops.com/sd/Centerville-Police-Department-South-Dakota/
chamberlain police department,south dakota,city agencies,http://www.chamberlainsd.net/police_5.html
charles mix county sheriff's office,south dakota,county agencies,http://charlesmix.sdcounties.org/sheriff/
cheyenne river police department,south dakota,city agencies,https://sioux.org/law-enforcement.html
clark county sheriff's office,south dakota,county agencies,http://clark.sdcounties.org/sheriff/
clark police department,south dakota,city agencies,https://www.linkedin.com/company/clark-police-department
clay county sheriff's office,south dakota,county agencies,http://www.claysheriff.org/
codington county sheriff's office,south dakota,county agencies,https://codingtonsheriff.com/
corson county sheriff's office,south dakota,county agencies,http://corson.sdcounties.org/sheriff/
custer county sheriff's office,south dakota,county agencies,http://www.custercountysd.com/sheriffs-office/
davison county sheriff's office,south dakota,county agencies,http://www.davisoncounty.org/departments/sheriffs-office/
day county sheriff's office,south dakota,county agencies,http://day.sdcounties.org/sheriff/
deadwood police department,south dakota,city agencies,https://www.cityofdeadwood.com/?SEC=6C75490B-BAC1-4B7D-A03D-24AA1236BF08
de smet police department,south dakota,city agencies,http://www.kingsburycountysd.org/sheriff.html
deuel county sheriff's office,south dakota,county agencies,https://www.deuelcountysd.com/sheriff-s-office
dewey county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/dewey.html
douglas county sheriff's office,south dakota,county agencies,http://douglas.sdcounties.org/sheriff/
edmunds county sheriff's office,south dakota,county agencies,http://edmunds.sdcounties.org/sheriff/
elk point police department,south dakota,city agencies,http://elkpoint.org/police/
eureka police department,south dakota,city agencies,http://eurekasd.com/CityofEureka/citydepartments.htm
faith police department,south dakota,city agencies,https://faith.govoffice.com/?SEC=AC494C10-0729-4B78-A492-B2D09365A3EA
fall river county sheriff's office,south dakota,county agencies,http://fallriver.sdcounties.org/sheriff/
faulk county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/faulk.html
freeman police department,south dakota,city agencies,https://cityoffreeman.org/police
gettysburg police department,south dakota,city agencies,https://rapidcityjournal.com/news/local/state-and-regional/gettysburg-mayor-police-department-defend-confederate-flag-on-their-city-s-police-patches/article_6062acfc-9f09-5c90-a4b6-3498178c3e00.html
grant county sheriff's office,south dakota,county agencies,https://www.grantcounty.sd.gov/countyoffices/sheriff/
gregory county sheriff's office,south dakota,county agencies,https://gregory.sdcounties.org/sheriffs-office/
gregory police department,south dakota,city agencies,https://www.cityofgregory.com/police
groton police department,south dakota,city agencies,https://www.city.grotonsd.gov/pd.html
haakon county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/haakon.html
hamlin county sheriff's office,south dakota,county agencies,https://www.hamlincountysd.org/sheriff
hand county sheriff's office,south dakota,county agencies,http://hand.sdcounties.org/sheriffs-office/
hanson county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/hanson.html
harding county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/harding.html
highmore police department,south dakota,city agencies,https://www.usacops.com/sd/p57345/index.html
hot springs police department,south dakota,city agencies,https://www.hs-sd.org/city-departments/police/
hughes county sheriff's office,south dakota,county agencies,https://hughescounty.org/departments/sheriff/
hurley police department,south dakota,city agencies,https://www.hurleysd.com/?SEC=B0DAB90B-1FE4-4191-8F58-8F06ED33869B
huron police department,south dakota,city agencies,https://www.huronsd.com/city-government/city-departments/police
hutchinson county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/hutchinson.html
hyde county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/hyde.html
jackson county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/jackson.html
jerauld county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/jerauld.html
jones county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/jones.html
kingsbury county sheriff's office,south dakota,county agencies,http://www.kingsburycountysd.org/sheriff.html
lake andes police department,south dakota,city agencies,https://www.policeone.com/law-enforcement-directory/police-departments/lake-andes-police-department-lake-andes-sd-bLe39oxYWX7jN5gp/
lake county sheriff's office,south dakota,county agencies,http://www.lake.sd.gov/custom/sheriff-s-office
lawrence county sheriff's office,south dakota,county agencies,https://www.lawrence.sd.us/198/Sheriffs-Office
lead police department,south dakota,city agencies,https://cityoflead.com/policedepartment.html
lemmon police department,south dakota,city agencies,"https://en.wikipedia.org/wiki/Lemmon,_South_Dakota"
lennox police department,south dakota,city agencies,https://www.cityoflennoxsd.com/?SEC=945FA3C8-3B54-481D-87E0-76DF027803C9
lincoln county sheriff's office,south dakota,county agencies,https://lincolncountysd.org/Page.cfm/Departments/14/Sheriff
lyman county sheriff's office,south dakota,county agencies,http://lymancounty.org/sheriff/
madison police department,south dakota,city agencies,https://cityofmadisonsd.com/departments/police
marshall county sheriff's office,south dakota,county agencies,http://marshall.sdcounties.org/sheriff/
martin police department,south dakota,city agencies,https://www.policeone.com/law-enforcement-directory/police-departments/martin-police-department-martin-sd-8b0490581f5d5bdb/
mccook county sheriff's office,south dakota,county agencies,https://www.mccookcountysd.com/departments/sheriff.php
mcpherson county sheriff's office,south dakota,county agencies,http://mcpherson.sdcounties.org/?page_id=36
meade county sheriff's office,south dakota,county agencies,https://www.meadecounty.org/sheriffs-office
mellette county sheriff's office,south dakota,county agencies,http://www.southdakotasheriffs.org/county/mellette.html
milbank police department,south dakota,city agencies,http://www.milbanksd.com/city-of-milbank/city-departments/police/
miller police department,south dakota,city agencies,https://www.cityofmiller.com/169/Police-Department
miner county sheriff's office,south dakota,county agencies,https://minercountysd.org/departments/sheriff/
minnehaha county sheriff's office,south dakota,county agencies,https://www.minnehahacounty.org/dept/so/so.php
mission police department,south dakota,city agencies,https://www.rcgov.org/departments/police-department.html
mitchell police department,south dakota,city agencies,https://www.cityofmitchell.org/189/Police-Division
mobridge police department,south dakota,city agencies,http://mobridgepolice.org/
moody county sheriff's office,south dakota,county agencies,http://www.moodycounty.net/sheriffs-department/
murdo police department,south dakota,city agencies,https://murdosd.com/city-facilities
north sioux city police department,south dakota,city agencies,https://northsiouxcity-sd.gov/departments/police/
parker police department,south dakota,city agencies,https://www.parkersd.org/index.asp?SEC=BC1CF39D-D24C-4B0F-8D8A-200D07F4D1AC&Type=B_BASIC
parkston police department,south dakota,city agencies,https://www.cityofparkston.org/?SEC=283C0DD3-CB39-4B71-80A9-C048E94F22C3
pennington county sheriff's office,south dakota,county agencies,https://www.pennco.org/sheriff
perkins county sheriff's office,south dakota,county agencies,https://www.perkinscounty.org/sheriffemergency-management
