name,state,dept_type,url
alcoa police department,tennessee,municipal,https://www.cityofalcoa-tn.gov/236/Police
bartlett police department,tennessee,municipal,https://www.cityofbartlett.org/68/Police-Department
carter county sheriff's office,tennessee,county,http://www.sheriff.cc/
chattanooga police department,tennessee,municipal,http://www.chattanooga.gov/police-department
clarksville police department,tennessee,municipal,https://www.cityofclarksville.com/216/Police-Department
east tennessee state university dps,tennessee,college and university,https://www.etsu.edu/dps/
fentress county sheriff's office,tennessee,county,http://www.fentresscountytn.com/sheriff-department/
gatlinburg police department,tennessee,municipal,https://www.gatlinburgtn.gov/police-department/police-department.html
germantown police department,tennessee,municipal,https://www.germantown-tn.gov/services/police-department
knoxville police department,tennessee,municipal,http://knoxvilletn.gov/government/city_departments_offices/police_department
memphis police department,tennessee,municipal,https://www.memphispolice.org/
metropolitan nashville police department,tennessee,municipal,https://www.nashville.gov/Police-Department.aspx
morristown police department,tennessee,municipal,https://www.mymorristown.com/departments/police/index.php
pigeon forge police department,tennessee,municipal,http://www.cityofpigeonforge.com/police-department.aspx
rutherford county sheriff's office,tennessee,county,http://www.rcsotn.com/
sevierville police department,tennessee,municipal,https://www.seviervilletn.org/index.php/government/departments/police.html
shelby county sheriff's office,tennessee,county,https://www.shelby-sheriff.org/
sullivan county sheriff's office,tennessee,county,https://sullivancountytn.gov/?page_id=223
tennessee alcoholic beverage commission,tennessee,state,https://www.tn.gov/abc.html
tennessee bureau of investigation,tennessee,state,https://www.tn.gov/tbi.html
tennessee department of correction,tennessee,state,https://www.tn.gov/correction.html
tennessee department of revenue,tennessee,state,https://www.tn.gov/revenue.html
tennessee department of safety,tennessee,state,https://www.tn.gov/safety.html
tennessee highway patrol,tennessee,state,https://www.tn.gov/safety/tennessee-highway-patrol.html
tennessee valley authority police,tennessee,college and university,https://www.tva.com/about-tva/tva-police
tennessee wildlife resources agency,tennessee,state,https://www.tn.gov/twra.html
university of tennessee police,tennessee,college and university,https://utpolice.utk.edu/
vanderbilt university police department,tennessee,college and university,https://police.vanderbilt.edu/
washington county sheriff's office,tennessee,county,http://www.wcso.net/
