name,state,dept_type,url
,texas,county agencies,https://www.texas.gov/
abernathy police department,texas,city agencies,https://www.cityofabernathy.org/
abilene police department,texas,city agencies,https://abilenetx.gov/155/Police-Department
addison police department,texas,city agencies,https://addisontexas.net/police
alamo heights police department,texas,city agencies,https://www.alamoheightstx.gov/departments/police/
alamo police department,texas,city agencies,https://www.alamo.edu/experience-the-alamo-colleges/current-students/police/
albany police department,texas,city agencies,https://www.txdirectory.com/online/city/detail.php?id=113
aledo independent school district police,texas,independent school district agencies (k–12),https://www.aledoisd.org/domain/30
alice police department,texas,city agencies,http://www.cityofalice.org/142/Police
allen police department,texas,city agencies,https://www.cityofallen.org/904/Police
alpine police department,texas,city agencies,https://www.cityofalpine.com/departments/alpine_police_department/index.php
anthony police department,texas,city agencies,http://www.antxpd.org/
aransas pass police department,texas,city agencies,https://police.aptx.gov/
armstrong county sheriff's office,texas,county agencies,http://www.co.armstrong.tx.us/page/armstrong.Sheriff
austin police department,texas,city agencies,https://www.austintexas.gov/department/police
balcones heights police department,texas,city agencies,https://bhtx.gov/departments/police
bangs police department,texas,city agencies,https://cityofbangs.org/live/services/police-department/
barber's hill school district police,texas,independent school district agencies (k–12),https://www.bhisd.net/departments/police-department/police-staff-directory
brazoria county sheriff's office,texas,county agencies,http://www.brazoriacountytx.gov/departments/sheriff-s-office
bryan police department,texas,city agencies,https://www.bryantx.gov/police/
calvert police department,texas,city agencies,https://www.robertsoncountysherifftx.org/
cedar park police department,texas,city agencies,https://www.cedarparktexas.gov/departments/police-department
cleburne police department,texas,city agencies,https://www.cleburne.net/813/Police
comal county sheriff's office,texas,county agencies,https://www.co.comal.tx.us/so/index.html
concordia university texas police department,texas,college and university agencies,https://www.concordia.edu/resources/campus-police/
conroe independent school district police,texas,independent school district agencies (k–12),https://police.conroeisd.net/
conroe police department,texas,city agencies,https://www.cityofconroe.org/departments/police-department-home-page
cuney police department,texas,city agencies,https://www.jacksonvilleprogress.com/news/updated-cuney-police-chief-officers-resign-city-secretary-takes-medical-leave/article_713115e0-273f-11e6-9300-0fa63077c03e.html
dallas area rapid transit (dart) police,texas,transit authority agencies,https://www.dart.org/about/dartpolice/dartpolice.asp
dallas police department,texas,city agencies,https://dallaspolice.net/
earth police department,texas,city agencies,https://tml.careerwebsite.com/job/part-time-police-officer/53566091/
edinburg police department,texas,city agencies,http://mail.cityofedinburg.com/police.php
ellis county sheriff's office,texas,county agencies,https://www.elliscountysheriff.com/
el paso police department,texas,city agencies,https://www.elpasotexas.gov/police-department
falfurrias police department,texas,city agencies,http://ci.falfurrias.tx.us/index.php/departments/police
farmers branch police department,texas,city agencies,https://www.farmersbranchtx.gov/137/Police-Department
flower mound police department,texas,city agencies,https://www.flower-mound.com/139/Police-Department
fort worth police department,texas,city agencies,https://police.fortworthtexas.gov/
fraud unit,texas,state agencies,https://www.tdi.texas.gov/fraud/about.html
galveston county sheriff's office,texas,county agencies,http://sheriff.galvestoncountytx.gov/
galveston independent school district police,texas,independent school district agencies (k–12),https://www.gisd.org/domain/28
haltom city police department,texas,city agencies,https://www.haltomcitytx.com/departments/police
harris county constable precinct 1,texas,county agencies,https://pct1constable.net/
harris county constable precinct 2,texas,county agencies,https://hccp2.com/
harris county constable precinct 3,texas,county agencies,https://constable3.harriscountytx.gov/
harris county constable precinct 4,texas,county agencies,https://www.constablepct4.com/
harris county constable precinct 5,texas,county agencies,https://constablepct5.com/
harris county constable precinct 6,texas,county agencies,https://constable6.harriscountytx.gov/
harris county constable precinct 7,texas,county agencies,https://constable7.harriscountytx.gov/
harris county constable precinct 8,texas,county agencies,https://constable8.harriscountytx.gov/
harris county sheriff's office,texas,county agencies,https://www.harriscountyso.org/
hempstead police department,texas,city agencies,https://www.hempsteadpdtx.com/
hidalgo county sheriff's office,texas,county agencies,https://www.hidalgocounty.us/209/Sheriff
hill county sheriff's office,texas,county agencies,https://www.co.hill.tx.us/page/hill.Sheriff
houston independent school district police,texas,independent school district agencies (k–12),https://www.houstonisd.org/police
houston metro transit authority police department,texas,transit authority agencies,https://www.ridemetro.org/Pages/METROPolice.aspx
houston police department,texas,city agencies,https://www.houstontx.gov/police/
hubbard police department,texas,city agencies,https://hubbardcity.com/police-department
hughes springs police department,texas,city agencies,http://www.hughesspringstxusa.com/police.html
hutto police department,texas,city agencies,https://www.huttotx.gov/departments/public_safety/police_department/index.php
jarrel police department,texas,city agencies,https://www.cityofjarrell.com/departments/police-department/
johnson county sheriff's office,texas,county agencies,https://jocotxsheriff.com/
log cabin police department,texas,city agencies,https://logcabin.texas.gov/police-department.html
lubbock police department,texas,city agencies,http://www.lubbockpolice.com/
marble falls police department,texas,city agencies,https://marblefallstx.gov/168/Police
mathis police department,texas,city agencies,https://www.cityofmathis.com/174/Police-Department
maypearl police department,texas,city agencies,https://cityofmaypearl.org/services/police-department/
mcallen police department,texas,city agencies,https://www.mcallen.net/departments/pd/home
mckinney police department,texas,city agencies,https://www.mckinneytexas.org/166/Police
meadows place police department,texas,city agencies,https://cityofmeadowsplace.org/departments/police/
memorial villages police department,texas,city agencies,https://www.mvpdtx.org/
mesquite police department,texas,city agencies,https://www.cityofmesquite.com/442/Police
mexia police department,texas,city agencies,https://cityofmexia.com/city-services/departments/police-department
mission police department,texas,city agencies,https://www.missionpolice.org/
nixon police department,texas,city agencies,https://nixon.texas.gov/departments/
nolanville police department,texas,city agencies,https://www.nolanvilletx.gov/page/Department_Police
nortex metro swat unit,texas,city agencies,https://www.farmersbranchtx.gov/470/SWAT
odessa police department,texas,city agencies,https://www.odessapd.com/
office of the united states marshal for the eastern district of texas,texas,other agencies,https://www.usmarshals.gov/district/tx-e/general/marshal.htm
