name,state,dept_type,url
american university police department,the district of columbia,college and university agencies,https://www.american.edu/police/
amtrak police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://police.amtrak.com/
armed forces retirement home,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.afrh.gov/
bureau of engraving and printing police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://en.wikipedia.org/wiki/Bureau_of_Engraving_and_Printing
central intelligence agency security protective service,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.cia.gov/careers/opportunities/support-professional/security-protective-officer.html
district of columbia department of corrections,the district of columbia,primary dc law enforcement (local and federal),https://doc.dc.gov/
district of columbia housing authority office of public safety,the district of columbia,primary dc law enforcement (local and federal),http://www.dchousing.org/doc.aspx?docid=56
district of columbia metropolitan police department,the district of columbia,primary dc law enforcement (local and federal),https://mpdc.dc.gov/
district of columbia national guard,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://dc.ng.mil/
district of columbia protective services division,the district of columbia,primary dc law enforcement (local and federal),https://dgs.dc.gov/page/dgs-protective-services-division
federal bureau of investigation police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.fbi.gov/contact-us/field-offices/washingtondc
federal bureau of prisons,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.bop.gov/contact/
federal protective service,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.dhs.gov/topic/federal-protective-service
georgetown university police department,the district of columbia,college and university agencies,https://police.georgetown.edu/about/
government publishing office police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,http://www.gpo.gov/
metropolitan police department of the district of columbia,the district of columbia,listed by age,https://mpdc.dc.gov/
metropolitan washington airports authority,the district of columbia,primary dc law enforcement (local and federal),https://www.mwaa.com/
metro transit police department,the district of columbia,primary dc law enforcement (local and federal),https://www.wmata.com/about/transit-police/
military police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://dc.ng.mil/About-Us/Heritage/DC-National-Guard-Museum/Exhibits/The-Great-War/
national gallery of art office of protective services,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.washingtonpost.com/entertainment/museums/guards-at-national-gallery-of-art-complain-of-hostile-environment/2018/03/13/040a1fea-e1b8-11e7-bbd0-9dfb2e37492a_story.html
naval district of washington police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.cnic.navy.mil/regions/ndw.html
smithsonian police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://en.wikipedia.org/wiki/Smithsonian_Institution_Office_of_Protection_Services
supreme court police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://en.wikipedia.org/wiki/Warren_v._District_of_Columbia
united states capitol police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.uscp.gov/
united states customs and border protection,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.cbp.gov/travel/trusted-traveler-programs/global-entry/enrollment-centers/district-columbia
united states department of veterans affairs police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.va.gov/directory/guide/fac_list_by_state.cfm?State=DC&dnum=All
united states marshals,the district of columbia,primary dc law enforcement (local and federal),https://www.usmarshals.gov/district/navigation/dc.htm
united states marshals service,the district of columbia,listed by age,https://www.usmarshals.gov/district/navigation/dc.htm
united states mint police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.usmint.gov/about/mint-tours-facilities/washington-dc
united states park police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.nps.gov/subjects/uspp/index.htm
united states pentagon police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://en.wikipedia.org/wiki/List_of_law_enforcement_agencies_in_the_District_of_Columbia
united states postal inspection service,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.uspis.gov/
united states secret service,the district of columbia,listed by age,https://www.secretservice.gov/
united states secret service uniformed division,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.secretservice.gov/join/careers/uniformed
u.s. federal reserve police,the district of columbia,federal police agencies with a uniformed presence in district of columbia area,https://www.federalreserve.gov/
washington national cathedral police,the district of columbia,primary dc law enforcement (local and federal),https://cathedral.org/
