name,state,dept_type,url
alta marshal's office,utah,city agencies,https://townofalta.com/town-government/marshals-office/
american fork police department,utah,city agencies,https://afcity.org/236/Police
aurora police department,utah,city agencies,http://www.auroracity.org/aurora-city-police-department.htm
beaver county sheriff's office,utah,county agencies,https://www.beaverutahsheriff.com/
blanding police department,utah,city agencies,https://www.deseret.com/2019/5/27/20674302/as-rural-police-departments-struggle-to-attract-officers-a-new-utah-based-program-offers-a-potential
bluffdale police department,utah,city agencies,https://www.bluffdale.com/274/Police
bountiful police department,utah,city agencies,https://www.bountifulcitypd.com/
box elder county sheriff's office,utah,county agencies,http://www.boxeldercounty.org/sheriff.htm
brigham city police department,utah,city agencies,https://www.bcutah.org/police.htm
brigham young university police department,utah,college and university agencies,https://police.byu.edu/
cache county sheriff's office,utah,county agencies,https://www.cachecounty.org/
carbon county sheriff's office,utah,county agencies,https://www.carbon.utah.gov/ccso
cedar city police department,utah,city agencies,https://www.cedarcity.org/994/Police
centerville police department,utah,city agencies,http://centervilleut.net/departments/police/
clearfield police department,utah,city agencies,http://www.clearfieldcity.org/departments_services/Police
clinton police department,utah,city agencies,https://www.clintoncity.net/2187/Police-Department
"colorado city, arizona-hildale, utah marshal's office",utah,multi-jurisdictional and district agencies,https://www.justice.gov/opa/pr/justice-department-wins-religious-discrimination-lawsuit-against-colorado-city-arizona-and
conservation officers,utah,state agencies,https://wildlife.utah.gov/become-conservation-officer.html
cottonwood heights police department,utah,city agencies,https://www.cottonwoodheights.utah.gov/your-government/police
daggett county sheriff's office,utah,county agencies,https://www.daggettcounty.org/25/Sheriff
davis county sheriff's office,utah,county agencies,https://www.daviscountyutah.gov/sheriff
division of juvenile justice services,utah,state agencies,https://jjs.utah.gov/
dixie state university police department,utah,college and university agencies,https://publicsafety.dixie.edu/
draper police department,utah,city agencies,https://www.draper.ut.us/339/Police-Department
duchesne county sheriff's office,utah,county agencies,https://www.duchesne.utah.gov/your-government-2/elected-officials/sheriff/
east carbon police department,utah,city agencies,https://eastcarboncity.org/police-department/
emery county sheriff's office,utah,county agencies,http://www.emerycounty.com/sheriff/index.htm
enoch police department,utah,city agencies,https://www.cityofenoch.org/police-department.html
ephraim city police department,utah,city agencies,https://ephraimcity.org/158/Police
escalante police department,utah,city agencies,https://www.escalantecity-utah.com/services/law-enforcement/
farmington police department,utah,city agencies,http://www.farmington.utah.gov/departments/police/
garfield county sheriff's office,utah,county agencies,https://gcutsheriff.com/
grand county sheriff's office,utah,county agencies,https://www.grandcountyutah.net/240/Sheriff
granite school district police department,utah,multi-jurisdictional and district agencies,https://www.graniteschools.org/police/
grantsville police department,utah,city agencies,http://grantsvilleut.gov/gcc/police-department/
gunnison police department,utah,city agencies,http://www.gunnisoncity.org/police.htm
harrisville police department,utah,city agencies,https://www.cityofharrisville.com/police-department
heber city police department,utah,city agencies,https://www.heberut.gov/151/Police
helper police department,utah,city agencies,https://www.carbon.utah.gov/Administration/Judicial/Prosecution/Agencies
hurricane police department,utah,city agencies,http://www.cityofhurricane.com/categories/departments/police-dept/
hyrum police department,utah,city agencies,http://hyrumcity.org/
iron county sheriff's office,utah,county agencies,https://www.ironsheriff.net/
juab county sheriff's office,utah,county agencies,http://www.juabsheriff.org/
kamas police department,utah,city agencies,https://kamascityut.gov/?page_id=294
kanab police department,utah,city agencies,https://kanab.utah.gov/2163/Police-Department
kane county sheriff's office,utah,county agencies,https://kane.utah.gov/gov/dept/sheriff/
kaysville police department,utah,city agencies,https://www.kaysvillecity.com/215/Police
la verkin police department,utah,city agencies,http://www.laverkin.org/police
layton police department,utah,city agencies,https://www.laytoncity.org/LC/Police
lehi police department,utah,city agencies,https://www.lehi-ut.gov/departments/police/
lindon police department,utah,city agencies,http://www.lindoncity.org/public-safety-227.htm
liquor enforcement section,utah,state agencies,https://sbi.utah.gov/alcohol-enforcement-team/
logan police department,utah,city agencies,https://www.loganutah.org/government/departments/police/index.php
