name,state,dept_type,url
addison county sheriff's office,vermont,county agencies,https://www.vtsheriffs.com/addison-county.php?id=1
barre city police department,vermont,municipal agencies,https://www.barrecity.org/police/
barre town police department,vermont,municipal agencies,http://www.barretown.org/departments/emergency_services/police/index.php
bellows falls police department,vermont,municipal agencies,"https://www.reformer.com/stories/bellows-falls-police-future-uncertain,599816"
bennington county sheriff's department,vermont,county agencies,https://www.benningtonsheriff.org/
bennington police department,vermont,municipal agencies,https://benningtonpolice.com/
berlin police department,vermont,municipal agencies,http://www.berlinvt.org/town-administration/berlin-police-department/
bradford police department,vermont,municipal agencies,https://www.bradford-vt.us/public-safety/bradford-police-department/
brandon police department,vermont,municipal agencies,https://www.townofbrandon.com/departments/police/
brattleboro police department,vermont,municipal agencies,http://www.brattleboropolice.org/
brighton police department,vermont,municipal agencies,http://brightonvt.org/town-departments/
bristol police department,vermont,municipal agencies,http://bristolvt.org/towndepartments/police/
burlington police department,vermont,municipal agencies,https://www.burlingtonvt.gov/Police
caledonia county sheriff's office,vermont,county agencies,https://www.vtsheriffs.com/caledonia-county.php?id=3
canaan police department,vermont,municipal agencies,http://canaan-vt.org/publicsafety.html
castleton police department,vermont,municipal agencies,https://www.castletonvermont.org/police-department
chester police department,vermont,municipal agencies,https://www.chestervt.gov/police-department.html
chittenden county sheriff's department,vermont,county agencies,http://chittendencountysheriff.com/
colchester police department,vermont,municipal agencies,https://colchestervt.gov/261/Police-Department
dover police department,vermont,municipal agencies,https://www.doververmont.com/police
essex county sheriff's office,vermont,county agencies,https://vtsheriffs.com/essex-county.php?id=5
essex police department,vermont,municipal agencies,https://www.essex.org/?SEC=4E3C813D-7BE9-461E-B6BF-D89736E588F6
fair haven police department,vermont,municipal agencies,https://www.fairhavenvt.org/?page_id=27
fairlee police department,vermont,municipal agencies,https://www.fairleevt.org/emergency-services/
franklin county sheriff's department,vermont,county agencies,https://www.vtsheriffs.com/franklin-county.php?id=6
grand isle county sheriff's office,vermont,county agencies,https://grandislesheriffvt.org/
hardwick police department,vermont,municipal agencies,https://hardwickvt.org/government/services/hardwick-police-department/
hartford police department,vermont,municipal agencies,https://www.hartford-vt.org/2163/Police-Department
hinesburg community police department,vermont,municipal agencies,https://hinesburg.org/police.html
killington police department,vermont,municipal agencies,https://www.killingtontown.com/police
lamoille county sheriff's department,vermont,county agencies,https://www.vtsheriffs.com/lamoille-county.php?id=8
ludlow police department,vermont,municipal agencies,https://www.ludlow.vt.us/?SEC=FE74B177-8A5A-4259-BD77-35978D71AA8C
lyndonville police department,vermont,municipal agencies,https://vcjtc.vermont.gov/resources/police-contact
manchester police department,vermont,municipal agencies,https://manchestervtpolice.com/
middlebury police department,vermont,municipal agencies,http://middleburypolice.org/
milton police department,vermont,municipal agencies,https://www.miltonvt.gov/148/Police
montpelier police department,vermont,municipal agencies,https://www.montpelier-vt.org/220/Police-Department
morristown police department,vermont,municipal agencies,https://morristownvt.org/police
mount tabor police department,vermont,municipal agencies,https://www.vpr.org/post/mount-tabor-heavy-speed-enforcement-means-low-taxes
newport police department,vermont,municipal agencies,https://newportdispatch.com/
northfield police department,vermont,municipal agencies,http://northfield-vt.gov/text/Police_Department.htm
norwich police department,vermont,municipal agencies,http://norwich.vt.us/norwich-police-department/
