name,state,dept_type,url
abingdon,virginia,town agencies,https://visitabingdonvirginia.com/
accomack county,virginia,county agencies,https://www.co.accomack.va.us/
albemarle county police department,virginia,county agencies,http://www.albemarle.org/police/
albemarle county sheriff's office,virginia,county agencies,https://www.albemarleso.org/
alberta,virginia,town agencies,"https://en.wikipedia.org/wiki/Alberta,_Virginia"
alexandria,virginia,city agencies,http://alexandriava.gov/
alexandria police department,virginia,city agencies,https://www.alexandriava.gov/Police
allegheny county,virginia,county agencies,http://www.co.alleghany.va.us/
altavista,virginia,town agencies,https://www.altavistava.gov/
amelia county,virginia,county agencies,http://ameliacova.com/
amherst,virginia,town agencies,https://www.countyofamherst.com/
amherst county,virginia,county agencies,https://www.countyofamherst.com/
amtrak police department,virginia,railroad police,https://police.amtrak.com/
appalachia,virginia,town agencies,"https://en.wikipedia.org/wiki/Appalachia,_Virginia"
appomattox county,virginia,county agencies,https://www.appomattoxcountyva.gov/
aquia harbour,virginia,authorized private police departments,https://aquiaharbour.org/
arlington county police department,virginia,county agencies,https://police.arlingtonva.us/
arlington county sheriff's office,virginia,county agencies,https://sheriff.arlingtonva.us/
ashland,virginia,town agencies,https://www.ashlandva.gov/
augusta county sheriff's office,virginia,county agencies,https://www.co.augusta.va.us/government/sheriff
bassett,virginia,defunct law enforcement agencies,"https://en.wikipedia.org/wiki/Bassett,_Virginia"
bath county,virginia,county agencies,http://www.bathcountyva.org/
bedford,virginia,town agencies,https://www.bedfordva.gov/
bedford county,virginia,county agencies,https://www.bedfordcountyva.gov/
berryville,virginia,town agencies,https://www.berryvilleva.gov/
big stone gap,virginia,town agencies,http://www.bigstonegap.org/
blacksburg,virginia,town agencies,https://www.blacksburg.gov/
blackstone,virginia,town agencies,"https://en.wikipedia.org/wiki/Blackstone,_Virginia"
bland county,virginia,county agencies,https://www.blandcountyva.gov/
bluefield,virginia,town agencies,https://www.bluefieldva.org/
blue ridge community college,virginia,institutional (university/college campus police) agencies,https://www.brcc.edu/
boones mill,virginia,town agencies,https://www.townofboonesmill.org/
botetourt county,virginia,county agencies,https://botetourtva.gov/
bowling green,virginia,town agencies,https://www.townofbowlinggreen.com/
boydton,virginia,town agencies,https://boydton.org/
boykins,virginia,town agencies,"https://en.wikipedia.org/wiki/Boykins,_Virginia"
bridgewater,virginia,town agencies,https://www.bridgewater.town/
bridgewater college,virginia,institutional (university/college campus police) agencies,https://www.bridgewater.edu/
bristol,virginia,city agencies,https://www.bristolva.org/
broadway,virginia,town agencies,https://www.town.broadway.va.us/
