name,state,dept_type,url
aberdeen police department,washington,local agencies,https://aberdeenwa.gov/214/Police-Department
adams county sheriff's office,washington,county agencies,https://www.co.adams.wa.us/government/sheriff/e911_communications.php
airway heights police department,washington,local agencies,http://www.cawh.org/departments/police-department
algona police department,washington,local agencies,https://www.algonawa.gov/police
anacortes police department,washington,local agencies,https://www.anacorteswa.gov/270/Police
arlington police department,washington,local agencies,https://www.arlingtonwa.gov/325/Police
asotin county sheriff's office,washington,county agencies,http://www.co.asotin.wa.us/sheriff/
auburn police department,washington,local agencies,https://www.auburnwa.gov/city_hall/police
bainbridge island police department,washington,local agencies,https://www.bainbridgewa.gov/134/Police
battle ground police department,washington,local agencies,https://www.cityofbg.org/193/Police
bellevue police department,washington,local agencies,https://bellevuewa.gov/city-government/departments/police
bellingham police department,washington,local agencies,https://www.cob.org/gov/dept/police
benton county sheriff's office,washington,county agencies,https://www.co.benton.wa.us/pview.aspx?id=714&catID=45
bingen-white salmon police department,washington,local agencies,https://www.white-salmon.net/directory-listing/frank-randall
black diamond police department,washington,local agencies,http://www.ci.blackdiamond.wa.us/Depts/Police/police_home.html
blaine police department,washington,local agencies,https://www.ci.blaine.wa.us/175/Police-Operations
bonney lake police department,washington,local agencies,https://www.ci.bonney-lake.wa.us/government/departments/police
bothell police department,washington,local agencies,https://www.bothellwa.gov/266/Police-Department
bremerton police department,washington,local agencies,http://www.bremertonwa.gov/335/Police-Department
brewster police department,washington,local agencies,http://www.cityofbrewsterwashington.org/
brier police department,washington,local agencies,http://www.ci.brier.wa.us/Police/Police_Department.htm
buckley police department,washington,local agencies,https://www.cityofbuckley.com/police
burlington police department,washington,local agencies,https://www.burlingtonwa.gov/104/Police
camas police department,washington,local agencies,https://www.cityofcamas.us/policedept
castle rock police department,washington,local agencies,https://www.crpolice.org/
centralia police department,washington,local agencies,http://www.cityofcentralia.com/SectionIndex.asp?SectionID=14
central washington university public safety and police services,washington,college and university agencies,https://www.cwu.edu/police/
chehalis police department,washington,local agencies,https://www.ci.chehalis.wa.us/police
chehalis tribal police,washington,tribal agencies,https://www.chehalistribe.org/departments/public-safety/law-enforcement/
chelan county sheriff's office,washington,county agencies,https://www.co.chelan.wa.us/sheriff
chelan police department,washington,local agencies,https://www.co.chelan.wa.us/sheriff
cheney police department,washington,local agencies,https://www.cityofcheney.org/198/Police-Department
chewelah police department,washington,local agencies,https://www.cityofchewelah.org/administration/police/
clallam county sheriff's office,washington,county agencies,http://www.clallam.net/sheriff/
clark county sheriff's office,washington,county agencies,https://www.clark.wa.gov/sheriff
clarkston police department,washington,local agencies,https://www.clarkston-wa.com/?SEC=9D8B4F36-DE29-45C6-8ED5-64E174BB5357
cle elum roslyn south cle elum police department,washington,local agencies,http://cityofcleelum.com/city-services/police/
clyde hill police department,washington,local agencies,https://www.clydehill.org/departments/police/
colfax police department,washington,local agencies,https://www.colfaxwa.org/police
college place police department,washington,local agencies,http://www.cpwa.us/departments/police/index.php
columbia county sheriff's office,washington,county agencies,https://www.columbiaco.com/index.aspx?NID=78
colville police department,washington,local agencies,https://www.colville.wa.us/
colville tribal police,washington,tribal agencies,https://www.colvilletribes.com/police
connell police department,washington,local agencies,https://www.cityofconnell.com/?SEC=7E311E71-960F-4DB8-9C6F-7879843AECCF
cosmopolis police department,washington,local agencies,https://www.cosmopoliswa.gov/police-department.html
coulee city police department,washington,local agencies,http://townofcouleedam.org/emergencyservices
coulee dam police department,washington,local agencies,http://townofcouleedam.org/emergencyservices
