name,state,dept_type,url
adams county sheriff's office,wisconsin,county agencies,http://www.adamsso.com/
appleton police department,wisconsin,municipal agencies,https://www.appleton.org/residents/police
arena police department,wisconsin,municipal agencies,http://www.villageofarena.net/police.html
ashland county sheriff's office,wisconsin,county agencies,https://co.ashland.wi.us/sheriff
augusta police department,wisconsin,municipal agencies,https://cityofaugusta.org/city-directory
baraboo police department,wisconsin,municipal agencies,https://www.cityofbaraboo.com/police
barron county sheriff's office,wisconsin,county agencies,http://barronsheriff.org/
bayfield county sheriff's office,wisconsin,county agencies,https://www.bayfieldcounty.org/149/Sheriffs-Office
bayside police department,wisconsin,municipal agencies,https://www.bayside-wi.gov/146/Police
beloit police department,wisconsin,municipal agencies,https://www.beloitwi.gov/police
bloomfield police department,wisconsin,municipal agencies,https://www.bloomfieldpolicedept.com/
brodhead police department,wisconsin,municipal agencies,http://www.cityofbrodheadwi.us/departments/police_department/index.php
 brookfield police department,wisconsin,municipal agencies,https://www.ci.brookfield.wi.us/17/Police
brown county sheriff's office,wisconsin,county agencies,https://www.browncountywi.gov/government/sheriffs-office/
buffalo county sheriff's office,wisconsin,county agencies,https://www.buffalocounty.com/193/Sheriff
burlington police department,wisconsin,municipal agencies,https://www.burlington-wi.gov/140/Police
burnett county sheriff's office,wisconsin,county agencies,https://www.burnettcounty.com/index.aspx?nid=104
caledonia police department,wisconsin,municipal agencies,https://caledonia-wi.gov/police-0
calumet county sheriff's office,wisconsin,county agencies,https://www.co.calumet.wi.us/211/Sheriffs-Office
cedarburg police department,wisconsin,municipal agencies,https://www.ci.cedarburg.wi.us/police-department
chippewa county sheriff's office,wisconsin,county agencies,https://www.co.chippewa.wi.us/government/sheriff
chippewa falls police department,wisconsin,municipal agencies,http://www.chippewafalls-wi.gov/your-government/police-department
clark county sheriff's office,wisconsin,county agencies,https://www.clarkcountywi.com/
colby-abbotsford police department,wisconsin,municipal agencies,http://www.ci.abbotsford.wi.us/police.html
columbia county sheriff's office,wisconsin,county agencies,https://www.co.columbia.wi.us/columbiacounty/sheriff/SheriffsOfficeHomePage/tabid/551/Default.aspx
columbus police department,wisconsin,municipal agencies,https://www.cityofcolumbuswi.com/2183/Police-Department
"conservation wardens, deputy conservation wardens",wisconsin,state agencies,https://dnr.wi.gov/topic/wardenrecruitment/
crawford county sheriff's office,wisconsin,county agencies,http://www.crawfordcountysheriffwi.org/
dane county sheriff's office,wisconsin,county agencies,https://www.danesheriff.com/
delafield police department,wisconsin,municipal agencies,https://www.cityofdelafield.com/146/Police
division of enforcement and science; bureau of law enforcement,wisconsin,state agencies,https://www.doj.state.wi.us/dles/division-law-enforcement-services-dles
division of forestry,wisconsin,state agencies,https://dnr.wi.gov/about/divisions/Forestry/
dodge county sheriff's office,wisconsin,county agencies,https://www.co.dodge.wi.gov/government/departments-p-z/sheriff
door county sheriff's office,wisconsin,county agencies,http://www.doorcountysheriff.org/
douglas county sheriff's office,wisconsin,county agencies,https://www.sheriffofdouglascountywi.org/
dunn county sheriff's office,wisconsin,county agencies,http://www.dunncountysheriff.com/
eau claire county sheriff's office,wisconsin,county agencies,https://www.co.eau-claire.wi.us/departments/departments-l-z/sheriff
eau claire police department,wisconsin,municipal agencies,https://www.eauclairewi.gov/government/our-divisions/police-department
elkhart lake police department,wisconsin,municipal agencies,https://elkhartlakewi.gov/departments/police/
evansville police department,wisconsin,municipal agencies,https://www.ci.evansville.wi.gov/services_by_department/police/
fall river police department,wisconsin,municipal agencies,http://www.fallriverwi.com/Police.html
fitchburg police department,wisconsin,municipal agencies,https://www.fitchburgwi.gov/340/Police-Department
florence county sheriff's office,wisconsin,county agencies,https://www.florencecountywi.com/departments/?department=d051f2f33340
fond du lac city police department,wisconsin,municipal agencies,https://www.fdl.wi.gov/police/
fond du lac county sheriff's office,wisconsin,county agencies,https://www.fdlsheriff.com/
forest county sheriff's office,wisconsin,county agencies,http://www.co.forest.wi.gov/localgov_departments_details.asp?deptid=393&locid=145
"foresters, forester-rangers",wisconsin,state agencies,https://dnr.wi.gov/topic/ForestLandowners/dnrForesters.html
fort atkinson police department,wisconsin,municipal agencies,http://www.fortatkinsonwi.net/new_departments/police_department.php
fox valley metro police department,wisconsin,municipal agencies,http://www.fvmpd.org/
freedom town of police department,wisconsin,municipal agencies,http://www.townoffreedom.org/
genoa city police department,wisconsin,municipal agencies,http://www.genoacitypolice.org/
gillett police department,wisconsin,municipal agencies,https://cityofgillett.com/government/police-department/
grand chute police department,wisconsin,municipal agencies,https://www.grandchute.net/departments/police/
grant county sheriff's office,wisconsin,county agencies,http://www.grantcountysheriffwisconsin.com/
green bay police department,wisconsin,municipal agencies,https://www.gbpolice.org/
green county sheriff's office,wisconsin,county agencies,https://www.greensheriff.com/
greendale police department,wisconsin,municipal agencies,http://www.greendale.org/departments/police/index.php
greenfield police department,wisconsin,municipal agencies,https://www.ci.greenfield.wi.us/252/Police-Department
green lake county sheriff's office,wisconsin,county agencies,https://www.co.green-lake.wi.us/departments/sheriff/
hartford police department,wisconsin,municipal agencies,https://ci.hartford.wi.us/191/Police-Department
hazel green police department,wisconsin,municipal agencies,http://villageofhazelgreen.org/about/
iowa county sheriff's office,wisconsin,county agencies,https://www.iowacounty.org/departments/Sheriff
iron county sheriff's office,wisconsin,county agencies,http://www.co.iron.wi.gov/localgov_departments_details.asp?deptid=251&locid=180
jackson county sheriff's office,wisconsin,county agencies,https://www.co.jackson.wi.us/?SEC=F36F4D0A-D731-4DD2-BEA0-A9D5F213D9DD
janesville police department,wisconsin,municipal agencies,https://www.ci.janesville.wi.us/programs-services/police
jefferson county sheriff's office,wisconsin,county agencies,https://www.jeffersoncountywi.gov/departments/sheriff/index.php
jefferson police department,wisconsin,municipal agencies,https://jeffersonwis.com/police-department/
juneau county sheriff's office,wisconsin,county agencies,http://www.co.juneau.wi.gov/sheriffs-office1.html
kaukauna police department,wisconsin,municipal agencies,https://cityofkaukauna.com/departments/police/
kenosha county sheriff's office,wisconsin,county agencies,https://www.kenoshacounty.org/548/Sheriff
kenosha police department,wisconsin,municipal agencies,https://www.kenosha.org/departments/police
kewaskum police department,wisconsin,municipal agencies,https://www.village.kewaskum.wi.us/?SEC=6383B91B-A499-480C-90A2-789023DF3DCF
kewaunee county sheriff's office,wisconsin,county agencies,http://www.kewauneesheriff.com/
kronenwetter police department,wisconsin,municipal agencies,http://www.kronenwetter.org/department/staff_directory.php
lac courte oreilles tribal police department,wisconsin,indian nations,https://www.lcotribe.com/lco-tribal-police
la crosse county sheriff's office,wisconsin,county agencies,http://www.co.la-crosse.wi.us/sheriff/
