name,state,dept_type,url
afton police department,wyoming,municipal agencies,https://www.aftonwyoming.com/government/emergency-services/police-department/
albany county sheriff's office,wyoming,county agencies,http://www.co.albany.wy.us/sheriff.aspx
alpine police department,wyoming,municipal agencies,https://www.alpinewy.org/public-safety/sheriff/
baggs police department,wyoming,municipal agencies,http://www.disastercenter.com/wyoming/crime/index.html
basin police department,wyoming,municipal agencies,http://www.thetownofbasin.com/basin-pd.html
big horn county sheriff's office,wyoming,county agencies,https://www.bighorncountywy.gov/departments/sheriff
buffalo police department,wyoming,municipal agencies,https://cityofbuffalowy.com/pview.aspx?id=24188&catid=510
campbell county sheriff's office,wyoming,county agencies,https://www.ccgov.net/186/Sheriffs-Office
carbon county sheriff's office,wyoming,county agencies,https://www.carbonwy.com/950/County-Sheriff
casper police department,wyoming,municipal agencies,https://casperpolice.org/
cheyenne police department,wyoming,municipal agencies,https://www.cheyennepd.org/
cody police department,wyoming,municipal agencies,https://www.cityofcody-wy.gov/91/Police
converse county sheriff's office,wyoming,county agencies,https://conversecounty.org/221/Sheriff
crook county sheriff's office,wyoming,county agencies,https://www.crookcounty.wy.gov/elected_officials/sheriff_s_department/index.php
diamondville police department,wyoming,municipal agencies,https://www.kemmerer.org/police-department/
douglas police department,wyoming,municipal agencies,https://www.cityofdouglas.org/202/Police-Department
evanston police department,wyoming,municipal agencies,https://www.evanstonwy.org/123/Police-Department
evansville police department,wyoming,municipal agencies,https://evansvillewy.govoffice3.com/?SEC=FF088CA8-410C-44EF-8BF8-CAE806D5948F
fremont county sheriff's office,wyoming,county agencies,http://wyomingdci.wyo.gov/home/sheriffs-offices
game and fish wardens,wyoming,state agencies,https://wgfd.wyo.gov/Law-Enforcement/Field-Personnel-Contact-Info/Warden-contact-info
gillette police department,wyoming,municipal agencies,https://www.gillettewy.gov/city-government/departments/police
glenrock police department,wyoming,municipal agencies,https://glenrock.org/?SEC=CA3B0D63-413F-467C-A9BB-09B4AFC462B4
goshen county sheriff's office,wyoming,county agencies,http://goshensheriff.org/
green river police department,wyoming,municipal agencies,http://www.cityofgreenriver.org/67/Police-Department
greybull police department,wyoming,municipal agencies,http://greybullpd.com/
guernsey police department,wyoming,municipal agencies,https://www.townofguernseywy.us/departments/public_safety/guernsey_police_department
hanna police department,wyoming,municipal agencies,http://hannaheadlight.com/town-office/hanna-marshalls-office/
hot springs county sheriff's office,wyoming,county agencies,https://www.hscounty.com/departments/sheriff
hulett police department,wyoming,municipal agencies,http://townofhulettwy.com/index.php/personnel/22-chief-of-police
