zipcode,office,official,phones,emails,website
36116,Governor of Alabama,Kay Ivey,['(334) 242-7100'],['constituent.services@governor.alabama.gov'],
36116,Lieutenant Governor of Alabama,Will Ainsworth,['(334) 261-9590'],['ltgov@ltgov.alabama.gov'],
36116,AL Attorney General,Steve Marshall,['(334) 242-7300'],['constituentaffairs@ago.state.al.us'],
36116,AL Public Service Commissioner,Chip Beeker,['(334) 242-5191'],['chip.beeker@psc.alabama.gov'],
36116,AL State Auditor,Jeremy H. Oden,['(334) 242-5203'],['jeremy.oden@psc.alabama.gov'],
36116,AL Secretary of State,Jim Zeigler,['(334) 242-7010'],['Jim.Zeigler@auditor.alabama.gov'],
36116,AL Commissioner of Agriculture and Industries,John H. Merrill,['(334) 242-7200'],['John.Merrill@sos.alabama.gov'],
36116,AL Public Service Commission President,Rick Pate,['(334) 240-7100'],['rick.pate@agi.alabama.gov'],
36116,AL State Treasurer,Twinkle Andress Cavanaugh,['(334) 242-5297'],['twinkle.cavanaugh@psc.alabama.gov'],
36116,AL Supreme Court Chief Justice,John McMillan,['(334) 242-7501'],['alatreas@treasury.alabama.gov'],
36116,AL Supreme Court Associate Justice,Tom Parker,['(334) 229-0700'],,
35601,Governor of Alabama,Kay Ivey,['(334) 242-7100'],['constituent.services@governor.alabama.gov'],
35601,Lieutenant Governor of Alabama,Will Ainsworth,['(334) 261-9590'],['ltgov@ltgov.alabama.gov'],
35601,AL Attorney General,Steve Marshall,['(334) 242-7300'],['constituentaffairs@ago.state.al.us'],
35601,AL Public Service Commissioner,Chip Beeker,['(334) 242-5191'],['chip.beeker@psc.alabama.gov'],
35601,AL State Auditor,Jeremy H. Oden,['(334) 242-5203'],['jeremy.oden@psc.alabama.gov'],
35601,AL Secretary of State,Jim Zeigler,['(334) 242-7010'],['Jim.Zeigler@auditor.alabama.gov'],
35601,AL Commissioner of Agriculture and Industries,John H. Merrill,['(334) 242-7200'],['John.Merrill@sos.alabama.gov'],
35601,AL Public Service Commission President,Rick Pate,['(334) 240-7100'],['rick.pate@agi.alabama.gov'],
35601,AL State Treasurer,Twinkle Andress Cavanaugh,['(334) 242-5297'],['twinkle.cavanaugh@psc.alabama.gov'],
35601,AL Supreme Court Chief Justice,John McMillan,['(334) 242-7501'],['alatreas@treasury.alabama.gov'],
35601,AL Supreme Court Associate Justice,Tom Parker,['(334) 229-0700'],,
36695,Governor of Alabama,Kay Ivey,['(334) 242-7100'],['constituent.services@governor.alabama.gov'],
36695,Lieutenant Governor of Alabama,Will Ainsworth,['(334) 261-9590'],['ltgov@ltgov.alabama.gov'],
36695,AL Attorney General,Steve Marshall,['(334) 242-7300'],['constituentaffairs@ago.state.al.us'],
36695,AL Public Service Commissioner,Chip Beeker,['(334) 242-5191'],['chip.beeker@psc.alabama.gov'],
36695,AL State Auditor,Jeremy H. Oden,['(334) 242-5203'],['jeremy.oden@psc.alabama.gov'],
36695,AL Secretary of State,Jim Zeigler,['(334) 242-7010'],['Jim.Zeigler@auditor.alabama.gov'],
36695,AL Commissioner of Agriculture and Industries,John H. Merrill,['(334) 242-7200'],['John.Merrill@sos.alabama.gov'],
36695,AL Public Service Commission President,Rick Pate,['(334) 240-7100'],['rick.pate@agi.alabama.gov'],
36695,AL State Treasurer,Twinkle Andress Cavanaugh,['(334) 242-5297'],['twinkle.cavanaugh@psc.alabama.gov'],
36695,AL Supreme Court Chief Justice,John McMillan,['(334) 242-7501'],['alatreas@treasury.alabama.gov'],
36695,AL Supreme Court Associate Justice,Tom Parker,['(334) 229-0700'],,
35630,Governor of Alabama,Kay Ivey,['(334) 242-7100'],['constituent.services@governor.alabama.gov'],
35630,Lieutenant Governor of Alabama,Will Ainsworth,['(334) 261-9590'],['ltgov@ltgov.alabama.gov'],
35630,AL Attorney General,Steve Marshall,['(334) 242-7300'],['constituentaffairs@ago.state.al.us'],
35630,AL Public Service Commissioner,Chip Beeker,['(334) 242-5191'],['chip.beeker@psc.alabama.gov'],
35630,AL State Auditor,Jeremy H. Oden,['(334) 242-5203'],['jeremy.oden@psc.alabama.gov'],
35630,AL Secretary of State,Jim Zeigler,['(334) 242-7010'],['Jim.Zeigler@auditor.alabama.gov'],
35630,AL Commissioner of Agriculture and Industries,John H. Merrill,['(334) 242-7200'],['John.Merrill@sos.alabama.gov'],
35630,AL Public Service Commission President,Rick Pate,['(334) 240-7100'],['rick.pate@agi.alabama.gov'],
35630,AL State Treasurer,Twinkle Andress Cavanaugh,['(334) 242-5297'],['twinkle.cavanaugh@psc.alabama.gov'],
35630,AL Supreme Court Chief Justice,John McMillan,['(334) 242-7501'],['alatreas@treasury.alabama.gov'],
35630,AL Supreme Court Associate Justice,Tom Parker,['(334) 229-0700'],,
35209,Governor of Alabama,Kay Ivey,['(334) 242-7100'],['constituent.services@governor.alabama.gov'],
35209,Lieutenant Governor of Alabama,Will Ainsworth,['(334) 261-9590'],['ltgov@ltgov.alabama.gov'],
35209,AL Attorney General,Steve Marshall,['(334) 242-7300'],['constituentaffairs@ago.state.al.us'],
35209,AL Public Service Commissioner,Chip Beeker,['(334) 242-5191'],['chip.beeker@psc.alabama.gov'],
35209,AL State Auditor,Jeremy H. Oden,['(334) 242-5203'],['jeremy.oden@psc.alabama.gov'],
35209,AL Secretary of State,Jim Zeigler,['(334) 242-7010'],['Jim.Zeigler@auditor.alabama.gov'],
35209,AL Commissioner of Agriculture and Industries,John H. Merrill,['(334) 242-7200'],['John.Merrill@sos.alabama.gov'],
35209,AL Public Service Commission President,Rick Pate,['(334) 240-7100'],['rick.pate@agi.alabama.gov'],
35209,AL State Treasurer,Twinkle Andress Cavanaugh,['(334) 242-5297'],['twinkle.cavanaugh@psc.alabama.gov'],
35209,AL Supreme Court Chief Justice,John McMillan,['(334) 242-7501'],['alatreas@treasury.alabama.gov'],
35209,AL Supreme Court Associate Justice,Tom Parker,['(334) 229-0700'],,
36830,Governor of Alabama,Kay Ivey,['(334) 242-7100'],['constituent.services@governor.alabama.gov'],
36830,Lieutenant Governor of Alabama,Will Ainsworth,['(334) 261-9590'],['ltgov@ltgov.alabama.gov'],
36830,AL Attorney General,Steve Marshall,['(334) 242-7300'],['constituentaffairs@ago.state.al.us'],
36830,AL Public Service Commissioner,Chip Beeker,['(334) 242-5191'],['chip.beeker@psc.alabama.gov'],
36830,AL State Auditor,Jeremy H. Oden,['(334) 242-5203'],['jeremy.oden@psc.alabama.gov'],
36830,AL Secretary of State,Jim Zeigler,['(334) 242-7010'],['Jim.Zeigler@auditor.alabama.gov'],
36830,AL Commissioner of Agriculture and Industries,John H. Merrill,['(334) 242-7200'],['John.Merrill@sos.alabama.gov'],
36830,AL Public Service Commission President,Rick Pate,['(334) 240-7100'],['rick.pate@agi.alabama.gov'],
36830,AL State Treasurer,Twinkle Andress Cavanaugh,['(334) 242-5297'],['twinkle.cavanaugh@psc.alabama.gov'],
36830,AL Supreme Court Chief Justice,John McMillan,['(334) 242-7501'],['alatreas@treasury.alabama.gov'],
36830,AL Supreme Court Associate Justice,Tom Parker,['(334) 229-0700'],,
