zipcode,office,official,phones,emails,website
72076,Governor of Arkansas,Asa Hutchinson,['(501) 682-2345'],,
72076,Lieutenant Governor of Arkansas,Tim Griffin,['(501) 682-2144'],['lg.staff@arkansas.gov'],
72076,AR Commissioner of State Lands,Tommy Land,['(501) 324-9422'],['commissioner@cosl.org'],
72076,AR Attorney General,Leslie Rutledge,['(501) 682-2007'],['oag@arkansasag.gov'],
72076,AR State Treasurer,Dennis Milligan,['(501) 682-5888'],['info@artreasury.gov'],
72076,AR Secretary of State,John Thurston,['(501) 682-1010'],,
72076,AR Supreme Court Justice,Rhonda K. Wood,['(501) 682-6849'],,
72076,AR State Auditor,Robin F. Wynne,['(501) 682-6849'],,
71730,Governor of Arkansas,Asa Hutchinson,['(501) 682-2345'],,
71730,Lieutenant Governor of Arkansas,Tim Griffin,['(501) 682-2144'],['lg.staff@arkansas.gov'],
71730,AR Commissioner of State Lands,Tommy Land,['(501) 324-9422'],['commissioner@cosl.org'],
71730,AR Attorney General,Leslie Rutledge,['(501) 682-2007'],['oag@arkansasag.gov'],
71730,AR State Treasurer,Dennis Milligan,['(501) 682-5888'],['info@artreasury.gov'],
71730,AR Secretary of State,John Thurston,['(501) 682-1010'],,
71730,AR Supreme Court Justice,Rhonda K. Wood,['(501) 682-6849'],,
71730,AR State Auditor,Robin F. Wynne,['(501) 682-6849'],,
72204,Governor of Arkansas,Asa Hutchinson,['(501) 682-2345'],,
72204,Lieutenant Governor of Arkansas,Tim Griffin,['(501) 682-2144'],['lg.staff@arkansas.gov'],
72204,AR Commissioner of State Lands,Tommy Land,['(501) 324-9422'],['commissioner@cosl.org'],
72204,AR Attorney General,Leslie Rutledge,['(501) 682-2007'],['oag@arkansasag.gov'],
72204,AR State Treasurer,Dennis Milligan,['(501) 682-5888'],['info@artreasury.gov'],
72204,AR Secretary of State,John Thurston,['(501) 682-1010'],,
72204,AR Supreme Court Justice,Rhonda K. Wood,['(501) 682-6849'],,
72204,AR State Auditor,Robin F. Wynne,['(501) 682-6849'],,
72204,Little Rock Mayor,Courtney Rae Hudson,['(501) 682-6849'],,
72204,Little Rock City Director,Josephine L. Hart,['(501) 682-6849'],,
72315,Governor of Arkansas,Asa Hutchinson,['(501) 682-2345'],,
72315,Lieutenant Governor of Arkansas,Tim Griffin,['(501) 682-2144'],['lg.staff@arkansas.gov'],
72315,AR Commissioner of State Lands,Tommy Land,['(501) 324-9422'],['commissioner@cosl.org'],
72315,AR Attorney General,Leslie Rutledge,['(501) 682-2007'],['oag@arkansasag.gov'],
72315,AR State Treasurer,Dennis Milligan,['(501) 682-5888'],['info@artreasury.gov'],
72315,AR Secretary of State,John Thurston,['(501) 682-1010'],,
72315,AR Supreme Court Justice,Rhonda K. Wood,['(501) 682-6849'],,
72315,AR State Auditor,Robin F. Wynne,['(501) 682-6849'],,
72301,Governor of Arkansas,Asa Hutchinson,['(501) 682-2345'],,
72301,Lieutenant Governor of Arkansas,Tim Griffin,['(501) 682-2144'],['lg.staff@arkansas.gov'],
72301,AR Commissioner of State Lands,Tommy Land,['(501) 324-9422'],['commissioner@cosl.org'],
72301,AR Attorney General,Leslie Rutledge,['(501) 682-2007'],['oag@arkansasag.gov'],
72301,AR State Treasurer,Dennis Milligan,['(501) 682-5888'],['info@artreasury.gov'],
72301,AR Secretary of State,John Thurston,['(501) 682-1010'],,
72301,AR Supreme Court Justice,Rhonda K. Wood,['(501) 682-6849'],,
72301,AR State Auditor,Robin F. Wynne,['(501) 682-6849'],,
