zipcode,office,official,phones,emails,website
85345,Governor of Arizona,Doug Ducey,['(602) 542-4331'],['engage@az.gov'],
85345,AZ Secretary of State,Katie Hobbs,['(602) 542-4285'],,
85345,AZ Supreme Court Justice,William G. Montgomery,['(602) 452-3396'],['scclerk@courts.az.gov'],
85345,AZ State Mine Inspector,Ann A. Scott Timmer,['(602) 452-3396'],['scclerk@courts.az.gov'],
85345,AZ Corporation Commissioner,James P. Beene,['(602) 452-3396'],['scclerk@courts.az.gov'],
85345,AZ Superintendent of Public Instruction,Robert M. Brutinet,['(602) 452-3396'],['scclerk@courts.az.gov'],
85345,AZ Attorney General,Clint Bolick,['(602) 452-3396'],['scclerk@courts.az.gov'],
85345,AZ State Treasurer,"John R. Lopez, IV",['(602) 452-3396'],['scclerk@courts.az.gov'],
85282,Governor of Arizona,Doug Ducey,['(602) 542-4331'],['engage@az.gov'],
85282,AZ Secretary of State,Katie Hobbs,['(602) 542-4285'],,
85282,AZ Supreme Court Justice,William G. Montgomery,['(602) 452-3396'],['scclerk@courts.az.gov'],
85282,AZ State Mine Inspector,Ann A. Scott Timmer,['(602) 452-3396'],['scclerk@courts.az.gov'],
85282,AZ Corporation Commissioner,James P. Beene,['(602) 452-3396'],['scclerk@courts.az.gov'],
85282,AZ Superintendent of Public Instruction,Robert M. Brutinet,['(602) 452-3396'],['scclerk@courts.az.gov'],
85282,AZ Attorney General,Clint Bolick,['(602) 452-3396'],['scclerk@courts.az.gov'],
85282,AZ State Treasurer,"John R. Lopez, IV",['(602) 452-3396'],['scclerk@courts.az.gov'],
85282,Tempe Mayor,Andrew Gould,['(602) 452-3396'],['scclerk@courts.az.gov'],
85282,Tempe City Council Member,Joe Hart,['(602) 542-5971'],,
85281,Governor of Arizona,Doug Ducey,['(602) 542-4331'],['engage@az.gov'],
85281,AZ Secretary of State,Katie Hobbs,['(602) 542-4285'],,
85281,AZ Supreme Court Justice,William G. Montgomery,['(602) 452-3396'],['scclerk@courts.az.gov'],
85281,AZ State Mine Inspector,Ann A. Scott Timmer,['(602) 452-3396'],['scclerk@courts.az.gov'],
85281,AZ Corporation Commissioner,James P. Beene,['(602) 452-3396'],['scclerk@courts.az.gov'],
85281,AZ Superintendent of Public Instruction,Robert M. Brutinet,['(602) 452-3396'],['scclerk@courts.az.gov'],
85281,AZ Attorney General,Clint Bolick,['(602) 452-3396'],['scclerk@courts.az.gov'],
85281,AZ State Treasurer,"John R. Lopez, IV",['(602) 452-3396'],['scclerk@courts.az.gov'],
85201,Governor of Arizona,Doug Ducey,['(602) 542-4331'],['engage@az.gov'],
85201,AZ Secretary of State,Katie Hobbs,['(602) 542-4285'],,
85201,AZ Supreme Court Justice,William G. Montgomery,['(602) 452-3396'],['scclerk@courts.az.gov'],
85201,AZ State Mine Inspector,Ann A. Scott Timmer,['(602) 452-3396'],['scclerk@courts.az.gov'],
85201,AZ Corporation Commissioner,James P. Beene,['(602) 452-3396'],['scclerk@courts.az.gov'],
85201,AZ Superintendent of Public Instruction,Robert M. Brutinet,['(602) 452-3396'],['scclerk@courts.az.gov'],
85201,AZ Attorney General,Clint Bolick,['(602) 452-3396'],['scclerk@courts.az.gov'],
85201,AZ State Treasurer,"John R. Lopez, IV",['(602) 452-3396'],['scclerk@courts.az.gov'],
85022,Governor of Arizona,Doug Ducey,['(602) 542-4331'],['engage@az.gov'],
85022,AZ Secretary of State,Katie Hobbs,['(602) 542-4285'],,
85022,AZ Supreme Court Justice,William G. Montgomery,['(602) 452-3396'],['scclerk@courts.az.gov'],
85022,AZ State Mine Inspector,Ann A. Scott Timmer,['(602) 452-3396'],['scclerk@courts.az.gov'],
85022,AZ Corporation Commissioner,James P. Beene,['(602) 452-3396'],['scclerk@courts.az.gov'],
85022,AZ Superintendent of Public Instruction,Robert M. Brutinet,['(602) 452-3396'],['scclerk@courts.az.gov'],
85022,AZ Attorney General,Clint Bolick,['(602) 452-3396'],['scclerk@courts.az.gov'],
85022,AZ State Treasurer,"John R. Lopez, IV",['(602) 452-3396'],['scclerk@courts.az.gov'],
85022,Phoenix Mayor,Andrew Gould,['(602) 452-3396'],['scclerk@courts.az.gov'],
85746,Governor of Arizona,Doug Ducey,['(602) 542-4331'],['engage@az.gov'],
85746,AZ Secretary of State,Katie Hobbs,['(602) 542-4285'],,
85746,AZ Supreme Court Justice,William G. Montgomery,['(602) 452-3396'],['scclerk@courts.az.gov'],
85746,AZ State Mine Inspector,Ann A. Scott Timmer,['(602) 452-3396'],['scclerk@courts.az.gov'],
85746,AZ Corporation Commissioner,James P. Beene,['(602) 452-3396'],['scclerk@courts.az.gov'],
85746,AZ Superintendent of Public Instruction,Robert M. Brutinet,['(602) 452-3396'],['scclerk@courts.az.gov'],
85746,AZ Attorney General,Clint Bolick,['(602) 452-3396'],['scclerk@courts.az.gov'],
85746,AZ State Treasurer,"John R. Lopez, IV",['(602) 452-3396'],['scclerk@courts.az.gov'],
85051,Governor of Arizona,Doug Ducey,['(602) 542-4331'],['engage@az.gov'],
85051,AZ Secretary of State,Katie Hobbs,['(602) 542-4285'],,
85051,AZ Supreme Court Justice,William G. Montgomery,['(602) 452-3396'],['scclerk@courts.az.gov'],
