zipcode,office,official,phones,emails,website
90201,Governor of California,Gavin Newsom,['(916) 445-2841'],,
90201,Lieutenant Governor of California,Eleni Kounalakis,['(916) 445-8994'],,
90201,CA Supreme Court Justice,Mariano-Florentino Cuéllar,['(415) 865-7000'],,
90201,CA State Superintendent of Public Instruction,Goodwin H. Liu,['(415) 865-7000'],,
90201,CA State Treasurer,Carol A. Corrigan,['(415) 865-7000'],,
90201,CA Attorney General,Tani G. Cantil-Sakauye,['(415) 865-7000'],,
90201,CA State Controller,Joshua P. Groban,['(415) 865-7000'],,
90201,CA Insurance Commissioner,Ming W. Chin,['(415) 865-7000'],,
90201,CA Secretary of State,Leondra R. Kruger,['(415) 865-7000'],,
90650,Governor of California,Gavin Newsom,['(916) 445-2841'],,
90650,Lieutenant Governor of California,Eleni Kounalakis,['(916) 445-8994'],,
90650,CA Supreme Court Justice,Mariano-Florentino Cuéllar,['(415) 865-7000'],,
90650,CA State Superintendent of Public Instruction,Goodwin H. Liu,['(415) 865-7000'],,
90650,CA State Treasurer,Carol A. Corrigan,['(415) 865-7000'],,
90650,CA Attorney General,Tani G. Cantil-Sakauye,['(415) 865-7000'],,
90650,CA State Controller,Joshua P. Groban,['(415) 865-7000'],,
90650,CA Insurance Commissioner,Ming W. Chin,['(415) 865-7000'],,
90650,CA Secretary of State,Leondra R. Kruger,['(415) 865-7000'],,
90011,Governor of California,Gavin Newsom,['(916) 445-2841'],,
90011,Lieutenant Governor of California,Eleni Kounalakis,['(916) 445-8994'],,
90011,CA Supreme Court Justice,Mariano-Florentino Cuéllar,['(415) 865-7000'],,
90011,CA State Superintendent of Public Instruction,Goodwin H. Liu,['(415) 865-7000'],,
90011,CA State Treasurer,Carol A. Corrigan,['(415) 865-7000'],,
90011,CA Attorney General,Tani G. Cantil-Sakauye,['(415) 865-7000'],,
90011,CA State Controller,Joshua P. Groban,['(415) 865-7000'],,
90011,CA Insurance Commissioner,Ming W. Chin,['(415) 865-7000'],,
90011,CA Secretary of State,Leondra R. Kruger,['(415) 865-7000'],,
90011,Los Angeles City Attorney,Tony Thurmond,['(916) 319-0800'],,
90011,Los Angeles City Controller,Fiona Ma,['(916) 653-2995'],,
90011,Los Angeles Mayor,Xavier Becerra,['(916) 445-9555'],,
