zipcode,office,official,phones,emails,website
80231,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80231,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80231,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80231,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80231,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80231,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
80631,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80631,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80631,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80631,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80631,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80631,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
80011,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80011,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80011,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80011,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80011,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80011,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
80011,Aurora City Council Member,Monica M. Márquez,['(720) 625-5450'],,
80011,Aurora Mayor,Brian D. Boatright,['(720) 625-5410'],,
80303,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80303,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80303,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80303,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80303,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80303,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
80123,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80123,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80123,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80123,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80123,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80123,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
80221,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80221,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80221,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80221,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80221,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80221,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
80538,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80538,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80538,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80538,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80538,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80538,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
80204,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80204,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80204,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80204,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80204,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80204,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
80521,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80521,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80521,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80521,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80521,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80521,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
81001,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
81001,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
81001,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
81001,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
81001,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
81001,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
80228,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80228,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80228,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80228,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80228,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80228,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
80120,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80120,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80120,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80120,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80120,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80120,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
80239,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
80239,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
80239,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
80239,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
80239,CO Supreme Court Justice,"Carlos A. Samour, Jr.",['(720) 625-5460'],,
80239,CO Secretary of State,"William W. Hood, III",['(720) 625-5400'],,
81005,Governor of Colorado,Jared Polis,['(303) 866-2471'],['Governorpolis@state.co.us'],
81005,Lieutenant Governor of Colorado,Dianne Primavera,['(303) 866-4075'],,
81005,CO Attorney General,Phil Weiser,['(720) 508-6000'],,
81005,CO State Treasurer,Dave Young,['(303) 866-2441'],['treasurer.young@state.co.us'],
