zipcode,office,official,phones,emails,website
06511,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06511,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06511,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06511,CT Attorney General,William Tong,['(860) 808-5318'],,
06511,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06511,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06511,New Haven Mayor,Justin M. Elicker,['(203) 946-8200'],,
06511,New Haven City/Town Clerk,Michael B. Smart,['(203) 946-8349'],['msmart@newhavenct.gov'],
06511,New Haven Registrar of Voters,Shannel Evans,['(203) 946-8035'],['sevans@newhavenct.gov'],
06460,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06460,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06460,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06460,CT Attorney General,William Tong,['(860) 808-5318'],,
06460,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06460,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06082,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06082,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06082,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06082,CT Attorney General,William Tong,['(860) 808-5318'],,
06082,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06082,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06810,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06810,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06810,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06810,CT Attorney General,William Tong,['(860) 808-5318'],,
06810,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06810,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06360,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06360,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06360,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06360,CT Attorney General,William Tong,['(860) 808-5318'],,
06360,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06360,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06484,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06484,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06484,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06484,CT Attorney General,William Tong,['(860) 808-5318'],,
06484,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06484,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06513,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06513,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06513,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06513,CT Attorney General,William Tong,['(860) 808-5318'],,
06513,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06513,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06790,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06790,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06790,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06790,CT Attorney General,William Tong,['(860) 808-5318'],,
06790,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06790,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06053,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06053,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06053,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06053,CT Attorney General,William Tong,['(860) 808-5318'],,
06053,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06053,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06770,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06770,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06770,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06770,CT Attorney General,William Tong,['(860) 808-5318'],,
06770,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06770,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06604,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06604,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06604,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06604,CT Attorney General,William Tong,['(860) 808-5318'],,
06604,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06604,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06604,Bridgeport City Sheriff,Mitchell Robles,,,
06604,Bridgeport Mayor,Stephen M. Nelson,,,
06604,Bridgeport Town Clerk,Dennis Scinto,,,
06604,Bridgeport City Clerk,Joseph P. Ganim,['(203) 576-7201'],['mayor@bridgeportct.gov'],
06708,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06708,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06708,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06708,CT Attorney General,William Tong,['(860) 808-5318'],,
06708,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06708,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06405,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06405,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06405,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06405,CT Attorney General,William Tong,['(860) 808-5318'],,
06405,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06405,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06410,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06410,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06410,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06410,CT Attorney General,William Tong,['(860) 808-5318'],,
06410,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06410,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
06033,Governor of Connecticut,Ned Lamont,['(860) 566-4840'],,
06033,Lieutenant Governor of Connecticut,Susan Bysiewicz,['(860) 524-7384'],,
06033,CT Secretary of State,Denise W. Merrill,['(860) 509-6200'],,
06033,CT Attorney General,William Tong,['(860) 808-5318'],,
06033,CT State Comptroller,Kevin Lembo,['(860) 702-3300'],['comptroller.lembo@ct.gov'],
06033,CT State Treasurer,Shawn T. Wooden,['(860) 702-3000'],['state.treasurer@ct.gov'],
