zipcode,office,official,phones,emails,website
33012,Governor of Florida,Ron DeSantis,['(850) 717-9337'],['governorron.desantis@eog.myflorida.com'],
33012,Lieutenant Governor of Florida,Jeanette Nuñez,['(850) 488-7146'],['ltgovernorjeanette.nunez@eog.myflorida.com'],
33012,FL Attorney General,Ashley Moody,['(866) 966-7226'],,
33012,FL Commissioner of Agriculture,"Nicole ""Nikki"" Fried",['(850) 617-7700'],['Nikki.Fried@FDACS.gov'],
33012,FL Supreme Court Justice,Alan Lawson,['(850) 921-1096'],['publicinformation@flcourts.org'],
33012,FL Chief Financial Officer,Carlos G. Muñiz,['(850) 488-0007'],['publicinformation@flcourts.org'],
33175,Governor of Florida,Ron DeSantis,['(850) 717-9337'],['governorron.desantis@eog.myflorida.com'],
33175,Lieutenant Governor of Florida,Jeanette Nuñez,['(850) 488-7146'],['ltgovernorjeanette.nunez@eog.myflorida.com'],
33175,FL Attorney General,Ashley Moody,['(866) 966-7226'],,
33175,FL Commissioner of Agriculture,"Nicole ""Nikki"" Fried",['(850) 617-7700'],['Nikki.Fried@FDACS.gov'],
33175,FL Supreme Court Justice,Alan Lawson,['(850) 921-1096'],['publicinformation@flcourts.org'],
33175,FL Chief Financial Officer,Carlos G. Muñiz,['(850) 488-0007'],['publicinformation@flcourts.org'],
32822,Governor of Florida,Ron DeSantis,['(850) 717-9337'],['governorron.desantis@eog.myflorida.com'],
32822,Lieutenant Governor of Florida,Jeanette Nuñez,['(850) 488-7146'],['ltgovernorjeanette.nunez@eog.myflorida.com'],
32822,FL Attorney General,Ashley Moody,['(866) 966-7226'],,
32822,FL Commissioner of Agriculture,"Nicole ""Nikki"" Fried",['(850) 617-7700'],['Nikki.Fried@FDACS.gov'],
32822,FL Supreme Court Justice,Alan Lawson,['(850) 921-1096'],['publicinformation@flcourts.org'],
32822,FL Chief Financial Officer,Carlos G. Muñiz,['(850) 488-0007'],['publicinformation@flcourts.org'],
33176,Governor of Florida,Ron DeSantis,['(850) 717-9337'],['governorron.desantis@eog.myflorida.com'],
33176,Lieutenant Governor of Florida,Jeanette Nuñez,['(850) 488-7146'],['ltgovernorjeanette.nunez@eog.myflorida.com'],
33176,FL Attorney General,Ashley Moody,['(866) 966-7226'],,
33176,FL Commissioner of Agriculture,"Nicole ""Nikki"" Fried",['(850) 617-7700'],['Nikki.Fried@FDACS.gov'],
33176,FL Supreme Court Justice,Alan Lawson,['(850) 921-1096'],['publicinformation@flcourts.org'],
33176,FL Chief Financial Officer,Carlos G. Muñiz,['(850) 488-0007'],['publicinformation@flcourts.org'],
33065,Governor of Florida,Ron DeSantis,['(850) 717-9337'],['governorron.desantis@eog.myflorida.com'],
33065,Lieutenant Governor of Florida,Jeanette Nuñez,['(850) 488-7146'],['ltgovernorjeanette.nunez@eog.myflorida.com'],
33065,FL Attorney General,Ashley Moody,['(866) 966-7226'],,
33065,FL Commissioner of Agriculture,"Nicole ""Nikki"" Fried",['(850) 617-7700'],['Nikki.Fried@FDACS.gov'],
33065,FL Supreme Court Justice,Alan Lawson,['(850) 921-1096'],['publicinformation@flcourts.org'],
33065,FL Chief Financial Officer,Carlos G. Muñiz,['(850) 488-0007'],['publicinformation@flcourts.org'],
33063,Governor of Florida,Ron DeSantis,['(850) 717-9337'],['governorron.desantis@eog.myflorida.com'],
33063,Lieutenant Governor of Florida,Jeanette Nuñez,['(850) 488-7146'],['ltgovernorjeanette.nunez@eog.myflorida.com'],
33063,FL Attorney General,Ashley Moody,['(866) 966-7226'],,
33063,FL Commissioner of Agriculture,"Nicole ""Nikki"" Fried",['(850) 617-7700'],['Nikki.Fried@FDACS.gov'],
33063,FL Supreme Court Justice,Alan Lawson,['(850) 921-1096'],['publicinformation@flcourts.org'],
33063,FL Chief Financial Officer,Carlos G. Muñiz,['(850) 488-0007'],['publicinformation@flcourts.org'],
32792,Governor of Florida,Ron DeSantis,['(850) 717-9337'],['governorron.desantis@eog.myflorida.com'],
32792,Lieutenant Governor of Florida,Jeanette Nuñez,['(850) 488-7146'],['ltgovernorjeanette.nunez@eog.myflorida.com'],
32792,FL Attorney General,Ashley Moody,['(866) 966-7226'],,
32792,FL Commissioner of Agriculture,"Nicole ""Nikki"" Fried",['(850) 617-7700'],['Nikki.Fried@FDACS.gov'],
32792,FL Supreme Court Justice,Alan Lawson,['(850) 921-1096'],['publicinformation@flcourts.org'],
32792,FL Chief Financial Officer,Carlos G. Muñiz,['(850) 488-0007'],['publicinformation@flcourts.org'],
33147,Governor of Florida,Ron DeSantis,['(850) 717-9337'],['governorron.desantis@eog.myflorida.com'],
33147,Lieutenant Governor of Florida,Jeanette Nuñez,['(850) 488-7146'],['ltgovernorjeanette.nunez@eog.myflorida.com'],
33147,FL Attorney General,Ashley Moody,['(866) 966-7226'],,
33147,FL Commissioner of Agriculture,"Nicole ""Nikki"" Fried",['(850) 617-7700'],['Nikki.Fried@FDACS.gov'],
33147,FL Supreme Court Justice,Alan Lawson,['(850) 921-1096'],['publicinformation@flcourts.org'],
33147,FL Chief Financial Officer,Carlos G. Muñiz,['(850) 488-0007'],['publicinformation@flcourts.org'],
32073,Governor of Florida,Ron DeSantis,['(850) 717-9337'],['governorron.desantis@eog.myflorida.com'],
32073,Lieutenant Governor of Florida,Jeanette Nuñez,['(850) 488-7146'],['ltgovernorjeanette.nunez@eog.myflorida.com'],
32073,FL Attorney General,Ashley Moody,['(866) 966-7226'],,
32073,FL Commissioner of Agriculture,"Nicole ""Nikki"" Fried",['(850) 617-7700'],['Nikki.Fried@FDACS.gov'],
