zipcode,office,official,phones,emails,website
30066,Governor of Georgia,Brian Kemp,['(404) 656-1776'],,
30066,Lieutenant Governor of Georgia,Geoff Duncan,['(404) 656-5030'],,
30066,GA Secretary of State,Brad Raffensperger,['(844) 753-7825'],['braffensperger@psc.state.ga.us'],
30066,GA Supreme Court Justice,Nels S.D. Peterson,['(404) 656-3470'],,
30066,GA Commissioner of Insurance,Carla Wong McMillian,['(404) 656-3470'],,
30066,GA Commissioner of Labor,Charles J. Bethel,['(404) 656-3470'],,
30066,GA Commissioner of Agriculture,David E. Nahmias,['(404) 656-3470'],,
30066,GA State School Superintendent,Sarah H. Warren,['(404) 656-3470'],,
30066,GA Attorney General,Keith R. Blackwell,['(404) 656-3470'],,
30907,Governor of Georgia,Brian Kemp,['(404) 656-1776'],,
30907,Lieutenant Governor of Georgia,Geoff Duncan,['(404) 656-5030'],,
30907,GA Secretary of State,Brad Raffensperger,['(844) 753-7825'],['braffensperger@psc.state.ga.us'],
30907,GA Supreme Court Justice,Nels S.D. Peterson,['(404) 656-3470'],,
30907,GA Commissioner of Insurance,Carla Wong McMillian,['(404) 656-3470'],,
30907,GA Commissioner of Labor,Charles J. Bethel,['(404) 656-3470'],,
30907,GA Commissioner of Agriculture,David E. Nahmias,['(404) 656-3470'],,
30907,GA State School Superintendent,Sarah H. Warren,['(404) 656-3470'],,
30907,GA Attorney General,Keith R. Blackwell,['(404) 656-3470'],,
30034,Governor of Georgia,Brian Kemp,['(404) 656-1776'],,
30034,Lieutenant Governor of Georgia,Geoff Duncan,['(404) 656-5030'],,
30034,GA Secretary of State,Brad Raffensperger,['(844) 753-7825'],['braffensperger@psc.state.ga.us'],
30034,GA Supreme Court Justice,Nels S.D. Peterson,['(404) 656-3470'],,
30034,GA Commissioner of Insurance,Carla Wong McMillian,['(404) 656-3470'],,
30034,GA Commissioner of Labor,Charles J. Bethel,['(404) 656-3470'],,
30034,GA Commissioner of Agriculture,David E. Nahmias,['(404) 656-3470'],,
30034,GA State School Superintendent,Sarah H. Warren,['(404) 656-3470'],,
30034,GA Attorney General,Keith R. Blackwell,['(404) 656-3470'],,
31707,Governor of Georgia,Brian Kemp,['(404) 656-1776'],,
31707,Lieutenant Governor of Georgia,Geoff Duncan,['(404) 656-5030'],,
31707,GA Secretary of State,Brad Raffensperger,['(844) 753-7825'],['braffensperger@psc.state.ga.us'],
31707,GA Supreme Court Justice,Nels S.D. Peterson,['(404) 656-3470'],,
31707,GA Commissioner of Insurance,Carla Wong McMillian,['(404) 656-3470'],,
31707,GA Commissioner of Labor,Charles J. Bethel,['(404) 656-3470'],,
31707,GA Commissioner of Agriculture,David E. Nahmias,['(404) 656-3470'],,
31707,GA State School Superintendent,Sarah H. Warren,['(404) 656-3470'],,
31707,GA Attorney General,Keith R. Blackwell,['(404) 656-3470'],,
30004,Governor of Georgia,Brian Kemp,['(404) 656-1776'],,
30004,Lieutenant Governor of Georgia,Geoff Duncan,['(404) 656-5030'],,
30004,GA Secretary of State,Brad Raffensperger,['(844) 753-7825'],['braffensperger@psc.state.ga.us'],
30004,GA Supreme Court Justice,Nels S.D. Peterson,['(404) 656-3470'],,
30004,GA Commissioner of Insurance,Carla Wong McMillian,['(404) 656-3470'],,
30004,GA Commissioner of Labor,Charles J. Bethel,['(404) 656-3470'],,
30004,GA Commissioner of Agriculture,David E. Nahmias,['(404) 656-3470'],,
30004,GA State School Superintendent,Sarah H. Warren,['(404) 656-3470'],,
30004,GA Attorney General,Keith R. Blackwell,['(404) 656-3470'],,
30263,Governor of Georgia,Brian Kemp,['(404) 656-1776'],,
30263,Lieutenant Governor of Georgia,Geoff Duncan,['(404) 656-5030'],,
30263,GA Secretary of State,Brad Raffensperger,['(844) 753-7825'],['braffensperger@psc.state.ga.us'],
30263,GA Supreme Court Justice,Nels S.D. Peterson,['(404) 656-3470'],,
