zipcode,office,official,phones,emails,website
96817,Governor of Hawaii,David Ige,['(808) 586-0034'],['governor.ige@hawaii.gov'],
96817,Lieutenant Governor of Hawaii,Josh Green,['(808) 586-0255'],,
96817,HI Office of Hawaiian Affairs Trustee,John D. Waihe'e IV,['(808) 594-1876'],['crayna@oha.org'],
96734,Governor of Hawaii,David Ige,['(808) 586-0034'],['governor.ige@hawaii.gov'],
96734,Lieutenant Governor of Hawaii,Josh Green,['(808) 586-0255'],,
96734,HI Office of Hawaiian Affairs Trustee,John D. Waihe'e IV,['(808) 594-1876'],['crayna@oha.org'],
96789,Governor of Hawaii,David Ige,['(808) 586-0034'],['governor.ige@hawaii.gov'],
96789,Lieutenant Governor of Hawaii,Josh Green,['(808) 586-0255'],,
96789,HI Office of Hawaiian Affairs Trustee,John D. Waihe'e IV,['(808) 594-1876'],['crayna@oha.org'],
96786,Governor of Hawaii,David Ige,['(808) 586-0034'],['governor.ige@hawaii.gov'],
96786,Lieutenant Governor of Hawaii,Josh Green,['(808) 586-0255'],,
96786,HI Office of Hawaiian Affairs Trustee,John D. Waihe'e IV,['(808) 594-1876'],['crayna@oha.org'],
96701,Governor of Hawaii,David Ige,['(808) 586-0034'],['governor.ige@hawaii.gov'],
96701,Lieutenant Governor of Hawaii,Josh Green,['(808) 586-0255'],,
96701,HI Office of Hawaiian Affairs Trustee,John D. Waihe'e IV,['(808) 594-1876'],['crayna@oha.org'],
96782,Governor of Hawaii,David Ige,['(808) 586-0034'],['governor.ige@hawaii.gov'],
96782,Lieutenant Governor of Hawaii,Josh Green,['(808) 586-0255'],,
96782,HI Office of Hawaiian Affairs Trustee,John D. Waihe'e IV,['(808) 594-1876'],['crayna@oha.org'],
