zipcode,office,official,phones,emails,website
50613,Governor of Iowa,Kim Reynolds,['(515) 281-5211'],,
50613,Lieutenant Governor of Iowa,Adam Gregg,['(515) 281-5211'],,
50613,IA Supreme Court Justice,Dana Oxley,['(515) 348-4700'],,
50613,IA State Treasurer,Brent R. Appel,['(515) 348-4700'],,
50613,IA Attorney General,Thomas D. Waterman,['(515) 348-4700'],,
50613,IA State Auditor,Edward M. Mansfield,['(515) 348-4700'],,
50613,IA Secretary of State,Susan Christensen,['(515) 348-4700'],,
50613,IA Secretary of Agriculture,Matthew McDermott,['(515) 348-4700'],,
52601,Governor of Iowa,Kim Reynolds,['(515) 281-5211'],,
52601,Lieutenant Governor of Iowa,Adam Gregg,['(515) 281-5211'],,
52601,IA Supreme Court Justice,Dana Oxley,['(515) 348-4700'],,
52601,IA State Treasurer,Brent R. Appel,['(515) 348-4700'],,
52601,IA Attorney General,Thomas D. Waterman,['(515) 348-4700'],,
52601,IA State Auditor,Edward M. Mansfield,['(515) 348-4700'],,
52601,IA Secretary of State,Susan Christensen,['(515) 348-4700'],,
52601,IA Secretary of Agriculture,Matthew McDermott,['(515) 348-4700'],,
52240,Governor of Iowa,Kim Reynolds,['(515) 281-5211'],,
52240,Lieutenant Governor of Iowa,Adam Gregg,['(515) 281-5211'],,
52240,IA Supreme Court Justice,Dana Oxley,['(515) 348-4700'],,
52240,IA State Treasurer,Brent R. Appel,['(515) 348-4700'],,
52240,IA Attorney General,Thomas D. Waterman,['(515) 348-4700'],,
52240,IA State Auditor,Edward M. Mansfield,['(515) 348-4700'],,
52240,IA Secretary of State,Susan Christensen,['(515) 348-4700'],,
52240,IA Secretary of Agriculture,Matthew McDermott,['(515) 348-4700'],,
