zipcode,office,official,phones,emails,website
83501,Governor of Idaho,Brad Little,['(208) 334-2100'],['governor@gov.idaho.gov'],
83501,Lieutenant Governor of Idaho,Janice McGeachin,['(208) 334-2200'],,
83501,ID Supreme Court Justice,Gregory W. Moeller,['(208) 334-2210'],,
83501,ID Secretary of State,G. Richard Bevan,['(208) 334-2210'],,
83501,ID State Controller,Roger S. Burdick,['(208) 334-2210'],,
83501,ID State Treasurer,John R. Stegner,['(208) 334-2210'],,
83501,ID Attorney General,Robyn M. Brody,['(208) 334-2210'],,
83501,ID State Superintendent of Public Instruction,Lawerence Denney,['(208) 334-2300'],,
83706,Governor of Idaho,Brad Little,['(208) 334-2100'],['governor@gov.idaho.gov'],
83706,Lieutenant Governor of Idaho,Janice McGeachin,['(208) 334-2200'],,
83706,ID Supreme Court Justice,Gregory W. Moeller,['(208) 334-2210'],,
83706,ID Secretary of State,G. Richard Bevan,['(208) 334-2210'],,
83706,ID State Controller,Roger S. Burdick,['(208) 334-2210'],,
83706,ID State Treasurer,John R. Stegner,['(208) 334-2210'],,
83706,ID Attorney General,Robyn M. Brody,['(208) 334-2210'],,
83706,ID State Superintendent of Public Instruction,Lawerence Denney,['(208) 334-2300'],,
83854,Governor of Idaho,Brad Little,['(208) 334-2100'],['governor@gov.idaho.gov'],
83854,Lieutenant Governor of Idaho,Janice McGeachin,['(208) 334-2200'],,
83854,ID Supreme Court Justice,Gregory W. Moeller,['(208) 334-2210'],,
83854,ID Secretary of State,G. Richard Bevan,['(208) 334-2210'],,
83854,ID State Controller,Roger S. Burdick,['(208) 334-2210'],,
83854,ID State Treasurer,John R. Stegner,['(208) 334-2210'],,
83854,ID Attorney General,Robyn M. Brody,['(208) 334-2210'],,
83854,ID State Superintendent of Public Instruction,Lawerence Denney,['(208) 334-2300'],,
83705,Governor of Idaho,Brad Little,['(208) 334-2100'],['governor@gov.idaho.gov'],
83705,Lieutenant Governor of Idaho,Janice McGeachin,['(208) 334-2200'],,
83705,ID Supreme Court Justice,Gregory W. Moeller,['(208) 334-2210'],,
83705,ID Secretary of State,G. Richard Bevan,['(208) 334-2210'],,
83705,ID State Controller,Roger S. Burdick,['(208) 334-2210'],,
83705,ID State Treasurer,John R. Stegner,['(208) 334-2210'],,
83705,ID Attorney General,Robyn M. Brody,['(208) 334-2210'],,
83705,ID State Superintendent of Public Instruction,Lawerence Denney,['(208) 334-2300'],,
