zipcode,office,official,phones,emails,website
60629,Governor of Illinois,J.B. Pritzker,['(217) 782-6830'],,
60629,Lieutenant Governor of Illinois,Juliana Stratton,['(217) 558-3085'],['LtGovStratton@illinois.gov'],
60629,IL Secretary of State,Jesse White,['(800) 252-8980'],,
60629,IL State Comptroller,Susana A. Mendoza,['(217) 782-6000'],,
60629,IL Attorney General,Kwame Raoul,['(217) 782-1090'],,
60629,IL State Treasurer,Michael W. Frerichs,['(866) 458-7327'],,
60623,Governor of Illinois,J.B. Pritzker,['(217) 782-6830'],,
60623,Lieutenant Governor of Illinois,Juliana Stratton,['(217) 558-3085'],['LtGovStratton@illinois.gov'],
60623,IL Secretary of State,Jesse White,['(800) 252-8980'],,
60623,IL State Comptroller,Susana A. Mendoza,['(217) 782-6000'],,
60623,IL Attorney General,Kwame Raoul,['(217) 782-1090'],,
60623,IL State Treasurer,Michael W. Frerichs,['(866) 458-7327'],,
60623,Chicago City Treasurer,Melissa Conyears-Ervin,['(312) 744-3356'],['city.treasurer@cityofchicago.org'],
60623,Chicago City Clerk,Anna M. Valencia,['(312) 742-5375'],['cityclerk@cityofchicago.org'],
60623,Chicago Mayor,Lori Lightfoot,['(312) 744-5000'],['letterforthemayor@cityofchicago.org'],
60647,Governor of Illinois,J.B. Pritzker,['(217) 782-6830'],,
60647,Lieutenant Governor of Illinois,Juliana Stratton,['(217) 558-3085'],['LtGovStratton@illinois.gov'],
60647,IL Secretary of State,Jesse White,['(800) 252-8980'],,
60647,IL State Comptroller,Susana A. Mendoza,['(217) 782-6000'],,
60647,IL Attorney General,Kwame Raoul,['(217) 782-1090'],,
60647,IL State Treasurer,Michael W. Frerichs,['(866) 458-7327'],,
60647,Chicago City Treasurer,Melissa Conyears-Ervin,['(312) 744-3356'],['city.treasurer@cityofchicago.org'],
60647,Chicago City Clerk,Anna M. Valencia,['(312) 742-5375'],['cityclerk@cityofchicago.org'],
