zipcode,office,official,phones,emails,website
67212,Governor of Kansas,Laura Kelly,['(785) 296-3232'],,
67212,Lieutenant Governor of Kansas,Lynn Rogers,['(785) 296-3232'],,
67212,KS Secretary of State,Scott Schwab,['(785) 296-4575'],['sos@ks.gov'],
67212,KS Supreme Court Justice,Dan Biles,['(785) 296-3229'],['info@kscourts.org'],
67212,KS Attorney General,VACANT,['(785) 296-3229'],['info@kscourts.org'],
67212,KS Insurance Commissioner,Evelyn Z. Wilson,['(785) 296-3229'],['info@kscourts.org'],
67212,KS State Treasurer,Carol A. Beier,['(785) 296-3229'],['info@kscourts.org'],
67203,Governor of Kansas,Laura Kelly,['(785) 296-3232'],,
67203,Lieutenant Governor of Kansas,Lynn Rogers,['(785) 296-3232'],,
67203,KS Secretary of State,Scott Schwab,['(785) 296-4575'],['sos@ks.gov'],
67203,KS Supreme Court Justice,Dan Biles,['(785) 296-3229'],['info@kscourts.org'],
67203,KS Attorney General,VACANT,['(785) 296-3229'],['info@kscourts.org'],
67203,KS Insurance Commissioner,Evelyn Z. Wilson,['(785) 296-3229'],['info@kscourts.org'],
67203,KS State Treasurer,Carol A. Beier,['(785) 296-3229'],['info@kscourts.org'],
67203,Wichita Mayor,Marla Luckert,['(785) 296-3229'],['info@kscourts.org'],
66102,Governor of Kansas,Laura Kelly,['(785) 296-3232'],,
66102,Lieutenant Governor of Kansas,Lynn Rogers,['(785) 296-3232'],,
66102,KS Secretary of State,Scott Schwab,['(785) 296-4575'],['sos@ks.gov'],
66102,KS Supreme Court Justice,Dan Biles,['(785) 296-3229'],['info@kscourts.org'],
66102,KS Attorney General,VACANT,['(785) 296-3229'],['info@kscourts.org'],
66102,KS Insurance Commissioner,Evelyn Z. Wilson,['(785) 296-3229'],['info@kscourts.org'],
66102,KS State Treasurer,Carol A. Beier,['(785) 296-3229'],['info@kscourts.org'],
