zipcode,office,official,phones,emails,website
41042,Governor of Kentucky,Andy Beshear,['(502) 564-2611'],,
41042,Lieutenant Governor of Kentucky,Jacqueline Coleman,['(502) 564-2611'],,
41042,KY Agriculture Commissioner,Ryan Quarles,['(502) 573-0282'],,
41042,KY State Auditor of Public Accounts,Mike Harmon,['(502) 564-5841'],,
41042,KY Attorney General,Daniel Cameron,['(502) 696-5300'],,
41042,KY State Treasurer,Allison Ball,['(502) 564-4722'],['treasury.web@ky.gov'],
41042,KY Secretary of State,Michael Adams,['(502) 564-3490'],,
42301,Governor of Kentucky,Andy Beshear,['(502) 564-2611'],,
42301,Lieutenant Governor of Kentucky,Jacqueline Coleman,['(502) 564-2611'],,
42301,KY Agriculture Commissioner,Ryan Quarles,['(502) 573-0282'],,
42301,KY State Auditor of Public Accounts,Mike Harmon,['(502) 564-5841'],,
42301,KY Attorney General,Daniel Cameron,['(502) 696-5300'],,
42301,KY State Treasurer,Allison Ball,['(502) 564-4722'],['treasury.web@ky.gov'],
42301,KY Secretary of State,Michael Adams,['(502) 564-3490'],,
42701,Governor of Kentucky,Andy Beshear,['(502) 564-2611'],,
42701,Lieutenant Governor of Kentucky,Jacqueline Coleman,['(502) 564-2611'],,
42701,KY Agriculture Commissioner,Ryan Quarles,['(502) 573-0282'],,
42701,KY State Auditor of Public Accounts,Mike Harmon,['(502) 564-5841'],,
42701,KY Attorney General,Daniel Cameron,['(502) 696-5300'],,
42701,KY State Treasurer,Allison Ball,['(502) 564-4722'],['treasury.web@ky.gov'],
42701,KY Secretary of State,Michael Adams,['(502) 564-3490'],,
42303,Governor of Kentucky,Andy Beshear,['(502) 564-2611'],,
42303,Lieutenant Governor of Kentucky,Jacqueline Coleman,['(502) 564-2611'],,
42303,KY Agriculture Commissioner,Ryan Quarles,['(502) 573-0282'],,
42303,KY State Auditor of Public Accounts,Mike Harmon,['(502) 564-5841'],,
42303,KY Attorney General,Daniel Cameron,['(502) 696-5300'],,
42303,KY State Treasurer,Allison Ball,['(502) 564-4722'],['treasury.web@ky.gov'],
42303,KY Secretary of State,Michael Adams,['(502) 564-3490'],,
40391,Governor of Kentucky,Andy Beshear,['(502) 564-2611'],,
40391,Lieutenant Governor of Kentucky,Jacqueline Coleman,['(502) 564-2611'],,
40391,KY Agriculture Commissioner,Ryan Quarles,['(502) 573-0282'],,
40391,KY State Auditor of Public Accounts,Mike Harmon,['(502) 564-5841'],,
40391,KY Attorney General,Daniel Cameron,['(502) 696-5300'],,
40391,KY State Treasurer,Allison Ball,['(502) 564-4722'],['treasury.web@ky.gov'],
40391,KY Secretary of State,Michael Adams,['(502) 564-3490'],,
40220,Governor of Kentucky,Andy Beshear,['(502) 564-2611'],,
40220,Lieutenant Governor of Kentucky,Jacqueline Coleman,['(502) 564-2611'],,
40220,KY Agriculture Commissioner,Ryan Quarles,['(502) 573-0282'],,
40220,KY State Auditor of Public Accounts,Mike Harmon,['(502) 564-5841'],,
40220,KY Attorney General,Daniel Cameron,['(502) 696-5300'],,
40220,KY State Treasurer,Allison Ball,['(502) 564-4722'],['treasury.web@ky.gov'],
40220,KY Secretary of State,Michael Adams,['(502) 564-3490'],,
40218,Governor of Kentucky,Andy Beshear,['(502) 564-2611'],,
40218,Lieutenant Governor of Kentucky,Jacqueline Coleman,['(502) 564-2611'],,
40218,KY Agriculture Commissioner,Ryan Quarles,['(502) 573-0282'],,
40218,KY State Auditor of Public Accounts,Mike Harmon,['(502) 564-5841'],,
40218,KY Attorney General,Daniel Cameron,['(502) 696-5300'],,
40218,KY State Treasurer,Allison Ball,['(502) 564-4722'],['treasury.web@ky.gov'],
40218,KY Secretary of State,Michael Adams,['(502) 564-3490'],,
42141,Governor of Kentucky,Andy Beshear,['(502) 564-2611'],,
42141,Lieutenant Governor of Kentucky,Jacqueline Coleman,['(502) 564-2611'],,
42141,KY Agriculture Commissioner,Ryan Quarles,['(502) 573-0282'],,
42141,KY State Auditor of Public Accounts,Mike Harmon,['(502) 564-5841'],,
42141,KY Attorney General,Daniel Cameron,['(502) 696-5300'],,
42141,KY State Treasurer,Allison Ball,['(502) 564-4722'],['treasury.web@ky.gov'],
42141,KY Secretary of State,Michael Adams,['(502) 564-3490'],,
40508,Governor of Kentucky,Andy Beshear,['(502) 564-2611'],,
40508,Lieutenant Governor of Kentucky,Jacqueline Coleman,['(502) 564-2611'],,
40508,KY Agriculture Commissioner,Ryan Quarles,['(502) 573-0282'],,
40508,KY State Auditor of Public Accounts,Mike Harmon,['(502) 564-5841'],,
40508,KY Attorney General,Daniel Cameron,['(502) 696-5300'],,
40508,KY State Treasurer,Allison Ball,['(502) 564-4722'],['treasury.web@ky.gov'],
40508,KY Secretary of State,Michael Adams,['(502) 564-3490'],,
40701,Governor of Kentucky,Andy Beshear,['(502) 564-2611'],,
40701,Lieutenant Governor of Kentucky,Jacqueline Coleman,['(502) 564-2611'],,
40701,KY Agriculture Commissioner,Ryan Quarles,['(502) 573-0282'],,
40701,KY State Auditor of Public Accounts,Mike Harmon,['(502) 564-5841'],,
40701,KY Attorney General,Daniel Cameron,['(502) 696-5300'],,
40701,KY State Treasurer,Allison Ball,['(502) 564-4722'],['treasury.web@ky.gov'],
40701,KY Secretary of State,Michael Adams,['(502) 564-3490'],,
40502,Governor of Kentucky,Andy Beshear,['(502) 564-2611'],,
40502,Lieutenant Governor of Kentucky,Jacqueline Coleman,['(502) 564-2611'],,
40502,KY Agriculture Commissioner,Ryan Quarles,['(502) 573-0282'],,
40502,KY State Auditor of Public Accounts,Mike Harmon,['(502) 564-5841'],,
40502,KY Attorney General,Daniel Cameron,['(502) 696-5300'],,
40502,KY State Treasurer,Allison Ball,['(502) 564-4722'],['treasury.web@ky.gov'],
40502,KY Secretary of State,Michael Adams,['(502) 564-3490'],,
