zipcode,office,official,phones,emails,website
70119,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
70119,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
70119,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
70119,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
70119,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
70119,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
70119,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
70119,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
70560,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
70560,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
70560,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
70560,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
70560,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
70560,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
70560,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
70560,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
70601,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
70601,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
70601,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
70601,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
70601,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
70601,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
70601,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
70601,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
70458,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
70458,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
70458,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
70458,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
70458,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
70458,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
70458,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
70458,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
71291,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
71291,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
71291,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
71291,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
71291,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
71291,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
71291,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
71291,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
70805,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
70805,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
70805,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
70805,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
70805,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
70805,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
70805,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
70805,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
70501,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
70501,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
70501,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
70501,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
70501,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
70501,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
70501,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
70501,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
70815,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
70815,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
70815,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
70815,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
70815,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
70815,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
70815,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
