zipcode,office,official,phones,emails,website
02169,Governor of Massachusetts,Charles D. Baker,['(617) 725-4005'],['constituent.services@state.ma.us'],
02169,Lieutenant Governor of Massachusetts,Karyn Polito,['(617) 725-4005'],['constituent.services@state.ma.us'],
02169,MA State Auditor,Suzanne M. Bump,['(617) 727-2075'],['Auditor@sao.state.ma.us'],
02169,MA Secretary of the Commonwealth,William Francis Galvin,['(617) 727-7030'],['cis@sec.state.ma.us'],
02169,MA Attorney General,Maura Healey,['(617) 727-2200'],['ago@state.ma.us'],
02169,MA State Treasurer,Deborah B. Goldberg,['(617) 367-6900'],,
02360,Governor of Massachusetts,Charles D. Baker,['(617) 725-4005'],['constituent.services@state.ma.us'],
02360,Lieutenant Governor of Massachusetts,Karyn Polito,['(617) 725-4005'],['constituent.services@state.ma.us'],
02360,MA State Auditor,Suzanne M. Bump,['(617) 727-2075'],['Auditor@sao.state.ma.us'],
02360,MA Secretary of the Commonwealth,William Francis Galvin,['(617) 727-7030'],['cis@sec.state.ma.us'],
02360,MA Attorney General,Maura Healey,['(617) 727-2200'],['ago@state.ma.us'],
02360,MA State Treasurer,Deborah B. Goldberg,['(617) 367-6900'],,
02124,Governor of Massachusetts,Charles D. Baker,['(617) 725-4005'],['constituent.services@state.ma.us'],
02124,Lieutenant Governor of Massachusetts,Karyn Polito,['(617) 725-4005'],['constituent.services@state.ma.us'],
02124,MA State Auditor,Suzanne M. Bump,['(617) 727-2075'],['Auditor@sao.state.ma.us'],
02124,MA Secretary of the Commonwealth,William Francis Galvin,['(617) 727-7030'],['cis@sec.state.ma.us'],
02124,MA Attorney General,Maura Healey,['(617) 727-2200'],['ago@state.ma.us'],
02124,MA State Treasurer,Deborah B. Goldberg,['(617) 367-6900'],,
02124,Boston City Councilor,Michelle Wu,['(617) 635-3115'],['Michelle.Wu@boston.gov'],
02124,Boston Mayor,Michael F. Flaherty,['(617) 635-4205'],['MICHAEL.F.FLAHERTY@BOSTON.GOV'],
01844,Governor of Massachusetts,Charles D. Baker,['(617) 725-4005'],['constituent.services@state.ma.us'],
01844,Lieutenant Governor of Massachusetts,Karyn Polito,['(617) 725-4005'],['constituent.services@state.ma.us'],
01844,MA State Auditor,Suzanne M. Bump,['(617) 727-2075'],['Auditor@sao.state.ma.us'],
01844,MA Secretary of the Commonwealth,William Francis Galvin,['(617) 727-7030'],['cis@sec.state.ma.us'],
01844,MA Attorney General,Maura Healey,['(617) 727-2200'],['ago@state.ma.us'],
01844,MA State Treasurer,Deborah B. Goldberg,['(617) 367-6900'],,
02703,Governor of Massachusetts,Charles D. Baker,['(617) 725-4005'],['constituent.services@state.ma.us'],
02703,Lieutenant Governor of Massachusetts,Karyn Polito,['(617) 725-4005'],['constituent.services@state.ma.us'],
02703,MA State Auditor,Suzanne M. Bump,['(617) 727-2075'],['Auditor@sao.state.ma.us'],
02703,MA Secretary of the Commonwealth,William Francis Galvin,['(617) 727-7030'],['cis@sec.state.ma.us'],
02703,MA Attorney General,Maura Healey,['(617) 727-2200'],['ago@state.ma.us'],
02703,MA State Treasurer,Deborah B. Goldberg,['(617) 367-6900'],,
01453,Governor of Massachusetts,Charles D. Baker,['(617) 725-4005'],['constituent.services@state.ma.us'],
