zipcode,office,official,phones,emails,website
21234,Governor of Maryland,Larry Hogan,['(410) 974-3901'],,
21234,Lieutenant Governor of Maryland,Boyd Rutherford,['(410) 974-3901'],,
21234,MD State Comptroller,Peter Franchot,['(410) 260-7980'],['mdcomptroller@comp.state.md.us'],
21234,MD Attorney General,Brian E. Frosh,['(410) 576-6300'],['oag@oag.state.md.us'],
21401,Governor of Maryland,Larry Hogan,['(410) 974-3901'],,
21401,Lieutenant Governor of Maryland,Boyd Rutherford,['(410) 974-3901'],,
21401,MD State Comptroller,Peter Franchot,['(410) 260-7980'],['mdcomptroller@comp.state.md.us'],
21401,MD Attorney General,Brian E. Frosh,['(410) 576-6300'],['oag@oag.state.md.us'],
21206,Governor of Maryland,Larry Hogan,['(410) 974-3901'],,
21206,Lieutenant Governor of Maryland,Boyd Rutherford,['(410) 974-3901'],,
21206,MD State Comptroller,Peter Franchot,['(410) 260-7980'],['mdcomptroller@comp.state.md.us'],
21206,MD Attorney General,Brian E. Frosh,['(410) 576-6300'],['oag@oag.state.md.us'],
21061,Governor of Maryland,Larry Hogan,['(410) 974-3901'],,
21061,Lieutenant Governor of Maryland,Boyd Rutherford,['(410) 974-3901'],,
21061,MD State Comptroller,Peter Franchot,['(410) 260-7980'],['mdcomptroller@comp.state.md.us'],
21061,MD Attorney General,Brian E. Frosh,['(410) 576-6300'],['oag@oag.state.md.us'],
21217,Governor of Maryland,Larry Hogan,['(410) 974-3901'],,
21217,Lieutenant Governor of Maryland,Boyd Rutherford,['(410) 974-3901'],,
21217,MD State Comptroller,Peter Franchot,['(410) 260-7980'],['mdcomptroller@comp.state.md.us'],
21217,MD Attorney General,Brian E. Frosh,['(410) 576-6300'],['oag@oag.state.md.us'],
21217,Baltimore City Comptroller,Joan M. Pratt,['(410) 396-4755'],,
21217,Baltimore City Council President,Brandon M. Scott,['(410) 396-4804'],['CouncilPresident@baltimorecity.gov'],
21217,Baltimore City Sheriff,John W. Anderson,['(410) 396-1155'],['john.anderson@baltimorecity.gov'],
21217,Baltimore Mayor,"Bernard C. ""Jack"" Young",['(410) 396-3835'],['mayor@baltimorecity.gov'],
21217,Baltimore City Register Of Wills,Belinda K. Conaway,['(410) 752-5131'],,
21217,Baltimore City Clerk of Court,Marilyn Bentley,['(410) 333-3733'],,
21217,Baltimore City State's Attorney,Marilyn J. Mosby,['(443) 984-6000'],['mail@stattorney.org'],
20743,Governor of Maryland,Larry Hogan,['(410) 974-3901'],,
20743,Lieutenant Governor of Maryland,Boyd Rutherford,['(410) 974-3901'],,
20743,MD State Comptroller,Peter Franchot,['(410) 260-7980'],['mdcomptroller@comp.state.md.us'],
20743,MD Attorney General,Brian E. Frosh,['(410) 576-6300'],['oag@oag.state.md.us'],
21117,Governor of Maryland,Larry Hogan,['(410) 974-3901'],,
21117,Lieutenant Governor of Maryland,Boyd Rutherford,['(410) 974-3901'],,
21117,MD State Comptroller,Peter Franchot,['(410) 260-7980'],['mdcomptroller@comp.state.md.us'],
21117,MD Attorney General,Brian E. Frosh,['(410) 576-6300'],['oag@oag.state.md.us'],
21213,Governor of Maryland,Larry Hogan,['(410) 974-3901'],,
21213,Lieutenant Governor of Maryland,Boyd Rutherford,['(410) 974-3901'],,
21213,MD State Comptroller,Peter Franchot,['(410) 260-7980'],['mdcomptroller@comp.state.md.us'],
21213,MD Attorney General,Brian E. Frosh,['(410) 576-6300'],['oag@oag.state.md.us'],
21213,Baltimore City Comptroller,Joan M. Pratt,['(410) 396-4755'],,
21213,Baltimore City Council President,Brandon M. Scott,['(410) 396-4804'],['CouncilPresident@baltimorecity.gov'],
21213,Baltimore City Sheriff,John W. Anderson,['(410) 396-1155'],['john.anderson@baltimorecity.gov'],
21213,Baltimore Mayor,"Bernard C. ""Jack"" Young",['(410) 396-3835'],['mayor@baltimorecity.gov'],
21213,Baltimore City Register Of Wills,Belinda K. Conaway,['(410) 752-5131'],,
21213,Baltimore City Clerk of Court,Marilyn Bentley,['(410) 333-3733'],,
21213,Baltimore City State's Attorney,Marilyn J. Mosby,['(443) 984-6000'],['mail@stattorney.org'],
21921,Governor of Maryland,Larry Hogan,['(410) 974-3901'],,
21921,Lieutenant Governor of Maryland,Boyd Rutherford,['(410) 974-3901'],,
21921,MD State Comptroller,Peter Franchot,['(410) 260-7980'],['mdcomptroller@comp.state.md.us'],
21921,MD Attorney General,Brian E. Frosh,['(410) 576-6300'],['oag@oag.state.md.us'],
21236,Governor of Maryland,Larry Hogan,['(410) 974-3901'],,
21236,Lieutenant Governor of Maryland,Boyd Rutherford,['(410) 974-3901'],,
