zipcode,office,official,phones,emails,website
48221,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48221,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48221,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48221,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48221,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48221,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48221,Detroit City Clerk,Megan K. Cavanagh,['(517) 373-0120'],,
48221,Detroit City Council Member,Bridget Mary McCormack,['(517) 373-0120'],,
48221,Detroit Mayor,Brian K. Zahra,['(517) 373-0120'],,
48203,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48203,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48203,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48203,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48203,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48203,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48098,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48098,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48098,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48098,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48098,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48098,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48187,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48187,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48187,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48187,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48187,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48187,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48238,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48238,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48238,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48238,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48238,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48238,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48238,Detroit City Clerk,Megan K. Cavanagh,['(517) 373-0120'],,
48238,Detroit City Council Member,Bridget Mary McCormack,['(517) 373-0120'],,
48238,Detroit Mayor,Brian K. Zahra,['(517) 373-0120'],,
48192,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48192,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48192,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48192,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48192,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48192,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48858,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48858,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48858,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48858,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48858,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48858,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48310,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48310,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48310,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48310,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48310,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48310,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48310,Sterling Heights City Council Member,Megan K. Cavanagh,['(517) 373-0120'],,
48310,Sterling Heights Mayor,Bridget Mary McCormack,['(517) 373-0120'],,
49001,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
49001,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
49001,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
49001,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
49001,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
49001,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
49221,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
49221,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
49221,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
49221,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
49221,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
49221,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
49441,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
49441,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
49441,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
49441,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
49441,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
49441,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48183,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48183,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48183,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48183,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48183,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48183,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48706,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48706,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48706,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48706,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48706,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48706,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48198,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48198,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48198,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48198,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48198,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48198,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
49203,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
49203,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
49203,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
49203,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
49203,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
49203,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48307,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48307,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48307,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48307,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48307,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48307,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48186,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48186,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48186,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48186,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48186,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48186,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
49120,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
49120,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
49120,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
49120,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
49120,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
49120,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
49022,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
49022,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
49022,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
49022,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
49022,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
49022,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48035,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48035,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48035,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48035,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48035,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48035,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48089,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48089,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48089,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48089,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48089,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48089,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48089,Warren City Council Member,Megan K. Cavanagh,['(517) 373-0120'],,
48089,Warren City Treasurer,Bridget Mary McCormack,['(517) 373-0120'],,
48089,Warren Mayor,Brian K. Zahra,['(517) 373-0120'],,
48089,Warren City Clerk,Lupe Ramos-Montigny,['(833) 633-5788'],['lrmontigny@yahoo.com'],
48602,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48602,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48602,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48602,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48602,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48602,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48214,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48214,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48214,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48214,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48214,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48214,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48214,Detroit City Clerk,Megan K. Cavanagh,['(517) 373-0120'],,
48214,Detroit City Council Member,Bridget Mary McCormack,['(517) 373-0120'],,
48214,Detroit Mayor,Brian K. Zahra,['(517) 373-0120'],,
48237,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48237,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48237,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48237,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48237,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48237,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
48446,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
48446,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
48446,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
48446,MI State Board of Education Member,Elizabeth T. Clement,['(517) 373-0120'],,
48446,MI Attorney General,Stephen J. Markman,['(517) 373-0120'],,
48446,MI Secretary of State,David F. Viviano,['(517) 373-0120'],,
49341,Governor of Michigan,Gretchen Whitmer,['(517) 373-3400'],,
49341,Lieutenant Governor of Michigan,Garlin Gilchrist II,['(517) 373-3400'],,
49341,MI Supreme Court Justice,Richard Bernstein,['(517) 373-0120'],,
