zipcode,office,official,phones,emails,website
55337,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55337,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55337,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55337,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55337,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55337,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55112,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55112,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55112,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55112,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55112,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55112,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
56001,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
56001,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
56001,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
56001,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
56001,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
56001,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55113,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55113,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55113,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55113,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55113,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55113,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55407,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55407,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55407,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55407,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55407,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55407,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55407,Minneapolis Mayor,David L. Lillehaug,['(651) 297-7650'],,
55044,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55044,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55044,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55044,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55044,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55044,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
56560,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
56560,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
56560,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
56560,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
56560,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
56560,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55423,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55423,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55423,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55423,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55423,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55423,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55418,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55418,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55418,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55418,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55418,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55418,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55109,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55109,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55109,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55109,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55109,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55109,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
56301,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
56301,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
56301,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
56301,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
56301,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
56301,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55021,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55021,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55021,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55021,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55021,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55021,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55128,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55128,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55128,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55128,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55128,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55128,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55404,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55404,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55404,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55404,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55404,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55404,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55404,Minneapolis Mayor,David L. Lillehaug,['(651) 297-7650'],,
55416,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55416,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55416,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55416,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55416,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55416,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
55118,Governor of Minnesota,Tim Walz,['(651) 201-3400'],,
55118,Lieutenant Governor of Minnesota,Peggy Flanagan,['(651) 201-3400'],,
55118,MN Supreme Court Justice,G. Barry Anderson,['(651) 297-7650'],,
55118,MN State Auditor,Lorie Skjerven Gildea,['(651) 297-7650'],,
55118,MN Secretary of State,Margaret H. Chutich,['(651) 297-7650'],,
55118,MN Attorney General,Anne K. McKeig,['(651) 297-7650'],,
