zipcode,office,official,phones,emails,website
39401,Governor of Mississippi,Tate Reeves,['(601) 359-3150'],['governor@govreeves.ms.gov'],
39401,Lieutenant Governor of Mississippi,Delbert Hosemann,['(601) 359-3200'],['ltgov@senate.ms.gov'],
39401,MS Commissioner of Insurance,Mike Chaney,['(601) 359-3569'],['mike.chaney@mid.ms.gov'],
39401,MS Commissioner of Agriculture,Andy Gipson,['(601) 359-1100'],,
39401,MS Attorney General,Lynn Fitch,['(601) 359-3680'],['webpage@ago.ms.gov'],
39401,MS Secretary of State,Michael Watson,['(601) 359-1350'],,
39401,MS State Treasurer,David McRae,['(601) 359-3600'],['ms.treasurydept@treasury.ms.gov'],
39401,MS State Auditor,Shad White,['(601) 576-2800'],['auditor@osa.ms.gov'],
39212,Governor of Mississippi,Tate Reeves,['(601) 359-3150'],['governor@govreeves.ms.gov'],
39212,Lieutenant Governor of Mississippi,Delbert Hosemann,['(601) 359-3200'],['ltgov@senate.ms.gov'],
39212,MS Commissioner of Insurance,Mike Chaney,['(601) 359-3569'],['mike.chaney@mid.ms.gov'],
39212,MS Commissioner of Agriculture,Andy Gipson,['(601) 359-1100'],,
39212,MS Attorney General,Lynn Fitch,['(601) 359-3680'],['webpage@ago.ms.gov'],
39212,MS Secretary of State,Michael Watson,['(601) 359-1350'],,
39212,MS State Treasurer,David McRae,['(601) 359-3600'],['ms.treasurydept@treasury.ms.gov'],
39212,MS State Auditor,Shad White,['(601) 576-2800'],['auditor@osa.ms.gov'],
39209,Governor of Mississippi,Tate Reeves,['(601) 359-3150'],['governor@govreeves.ms.gov'],
39209,Lieutenant Governor of Mississippi,Delbert Hosemann,['(601) 359-3200'],['ltgov@senate.ms.gov'],
39209,MS Commissioner of Insurance,Mike Chaney,['(601) 359-3569'],['mike.chaney@mid.ms.gov'],
39209,MS Commissioner of Agriculture,Andy Gipson,['(601) 359-1100'],,
39209,MS Attorney General,Lynn Fitch,['(601) 359-3680'],['webpage@ago.ms.gov'],
39209,MS Secretary of State,Michael Watson,['(601) 359-1350'],,
39209,MS State Treasurer,David McRae,['(601) 359-3600'],['ms.treasurydept@treasury.ms.gov'],
39209,MS State Auditor,Shad White,['(601) 576-2800'],['auditor@osa.ms.gov'],
39402,Governor of Mississippi,Tate Reeves,['(601) 359-3150'],['governor@govreeves.ms.gov'],
39402,Lieutenant Governor of Mississippi,Delbert Hosemann,['(601) 359-3200'],['ltgov@senate.ms.gov'],
39402,MS Commissioner of Insurance,Mike Chaney,['(601) 359-3569'],['mike.chaney@mid.ms.gov'],
39402,MS Commissioner of Agriculture,Andy Gipson,['(601) 359-1100'],,
39402,MS Attorney General,Lynn Fitch,['(601) 359-3680'],['webpage@ago.ms.gov'],
39402,MS Secretary of State,Michael Watson,['(601) 359-1350'],,
39402,MS State Treasurer,David McRae,['(601) 359-3600'],['ms.treasurydept@treasury.ms.gov'],
39402,MS State Auditor,Shad White,['(601) 576-2800'],['auditor@osa.ms.gov'],
39208,Governor of Mississippi,Tate Reeves,['(601) 359-3150'],['governor@govreeves.ms.gov'],
39208,Lieutenant Governor of Mississippi,Delbert Hosemann,['(601) 359-3200'],['ltgov@senate.ms.gov'],
39208,MS Commissioner of Insurance,Mike Chaney,['(601) 359-3569'],['mike.chaney@mid.ms.gov'],
39208,MS Commissioner of Agriculture,Andy Gipson,['(601) 359-1100'],,
39208,MS Attorney General,Lynn Fitch,['(601) 359-3680'],['webpage@ago.ms.gov'],
39208,MS Secretary of State,Michael Watson,['(601) 359-1350'],,
39208,MS State Treasurer,David McRae,['(601) 359-3600'],['ms.treasurydept@treasury.ms.gov'],
39208,MS State Auditor,Shad White,['(601) 576-2800'],['auditor@osa.ms.gov'],
38671,Governor of Mississippi,Tate Reeves,['(601) 359-3150'],['governor@govreeves.ms.gov'],
38671,Lieutenant Governor of Mississippi,Delbert Hosemann,['(601) 359-3200'],['ltgov@senate.ms.gov'],
38671,MS Commissioner of Insurance,Mike Chaney,['(601) 359-3569'],['mike.chaney@mid.ms.gov'],
38671,MS Commissioner of Agriculture,Andy Gipson,['(601) 359-1100'],,
38671,MS Attorney General,Lynn Fitch,['(601) 359-3680'],['webpage@ago.ms.gov'],
38671,MS Secretary of State,Michael Watson,['(601) 359-1350'],,
38671,MS State Treasurer,David McRae,['(601) 359-3600'],['ms.treasurydept@treasury.ms.gov'],
38671,MS State Auditor,Shad White,['(601) 576-2800'],['auditor@osa.ms.gov'],
