zipcode,office,official,phones,emails,website
59102,Governor of Montana,Steve Bullock,['(406) 444-3111'],['governor@mt.gov'],
59102,Lieutenant Governor of Montana,Mike Cooney,['(406) 444-3111'],['cooneyemail@aol.com'],
59102,MT Supreme Court Chief Justice,Mike McGrath,['(406) 444-3858'],,
59102,MT Secretary of State,Corey Stapleton,['(406) 444-2034'],,
59102,MT State Auditor,Matt M. Rosendale,['(406) 444-2040'],,
59102,MT Attorney General,Tim Fox,['(406) 444-2026'],['contactdoj@mt.gov'],
59102,MT Supreme Court Associate Justice,James Jeremiah Shea,['(406) 444-3858'],,
59102,MT Superintendent of Public Instruction,Dirk Sandefur,['(406) 444-3858'],,
59801,Governor of Montana,Steve Bullock,['(406) 444-3111'],['governor@mt.gov'],
59801,Lieutenant Governor of Montana,Mike Cooney,['(406) 444-3111'],['cooneyemail@aol.com'],
59801,MT Supreme Court Chief Justice,Mike McGrath,['(406) 444-3858'],,
59801,MT Secretary of State,Corey Stapleton,['(406) 444-2034'],,
59801,MT State Auditor,Matt M. Rosendale,['(406) 444-2040'],,
59801,MT Attorney General,Tim Fox,['(406) 444-2026'],['contactdoj@mt.gov'],
59801,MT Supreme Court Associate Justice,James Jeremiah Shea,['(406) 444-3858'],,
59801,MT Superintendent of Public Instruction,Dirk Sandefur,['(406) 444-3858'],,
59601,Governor of Montana,Steve Bullock,['(406) 444-3111'],['governor@mt.gov'],
59601,Lieutenant Governor of Montana,Mike Cooney,['(406) 444-3111'],['cooneyemail@aol.com'],
59601,MT Supreme Court Chief Justice,Mike McGrath,['(406) 444-3858'],,
59601,MT Secretary of State,Corey Stapleton,['(406) 444-2034'],,
59601,MT State Auditor,Matt M. Rosendale,['(406) 444-2040'],,
59601,MT Attorney General,Tim Fox,['(406) 444-2026'],['contactdoj@mt.gov'],
59601,MT Supreme Court Associate Justice,James Jeremiah Shea,['(406) 444-3858'],,
59601,MT Superintendent of Public Instruction,Dirk Sandefur,['(406) 444-3858'],,
