zipcode,office,official,phones,emails,website
27514,Governor of North Carolina,Roy Cooper,['(919) 814-2000'],['roy.cooper@nc.gov'],
27514,Lieutenant Governor of North Carolina,Dan Forest,['(919) 814-3680'],['lt.gov@nc.gov'],
27514,NC State Auditor,Beth A. Wood,['(919) 807-7500'],['Beth_Wood@ncauditor.net'],
27514,NC Supreme Court Chief Justice,Cheri Beasley,['(919) 831-5716'],,
27514,NC Commissioner of Labor,Cherie Berry,['(800) 625-2267'],,
27514,NC Secretary of State,Elaine F. Marshall,['(919) 814-5400'],['corpinfo@sosnc.gov'],
27514,NC Attorney General,Josh Stein,['(919) 716-6400'],,
27514,NC Superintendent of Public Instruction,Mark Johnson,['(919) 807-3430'],['mark.johnson@dpi.nc.gov'],
27514,NC Insurance Commissioner,Mike Causey,['(855) 408-1212'],,
27514,NC Commissioner of Agriculture,Steve Troxler,['(919) 707-3021'],,
27514,NC Supreme Court Associate Justice,Mark Davis,['(919) 831-5700'],,
27514,NC State Treasurer,Robin Hudson,['(919) 831-5717'],,
27203,Governor of North Carolina,Roy Cooper,['(919) 814-2000'],['roy.cooper@nc.gov'],
27203,Lieutenant Governor of North Carolina,Dan Forest,['(919) 814-3680'],['lt.gov@nc.gov'],
27203,NC State Auditor,Beth A. Wood,['(919) 807-7500'],['Beth_Wood@ncauditor.net'],
27203,NC Supreme Court Chief Justice,Cheri Beasley,['(919) 831-5716'],,
27203,NC Commissioner of Labor,Cherie Berry,['(800) 625-2267'],,
27203,NC Secretary of State,Elaine F. Marshall,['(919) 814-5400'],['corpinfo@sosnc.gov'],
27203,NC Attorney General,Josh Stein,['(919) 716-6400'],,
27203,NC Superintendent of Public Instruction,Mark Johnson,['(919) 807-3430'],['mark.johnson@dpi.nc.gov'],
27203,NC Insurance Commissioner,Mike Causey,['(855) 408-1212'],,
27203,NC Commissioner of Agriculture,Steve Troxler,['(919) 707-3021'],,
27203,NC Supreme Court Associate Justice,Mark Davis,['(919) 831-5700'],,
27203,NC State Treasurer,Robin Hudson,['(919) 831-5717'],,
